Well name,Cell,Drug,Drug time,Primary,Secondary
M09,HEK293 ARMC5 KO 1A3,Vehicle,240 min,Total Pol II F12,Goat anti-mouse Alexa488
N09,HEK293 ARMC5 KO 2B6,Vehicle,240 min,Total Pol II F12,Goat anti-mouse Alexa488
C10,HEK293 parental,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
D10,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
E10,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
F10,HEK293 parental,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
G10,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
H10,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
I10,HEK293 parental,Vehicle,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
J10,HEK293 ARMC5 KO 1A3,Vehicle,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
K10,HEK293 ARMC5 KO 2B6,Vehicle,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
L10,HEK293 parental,Vehicle,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
M10,HEK293 ARMC5 KO 1A3,Vehicle,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
N10,HEK293 ARMC5 KO 2B6,Vehicle,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
C11,HEK293 parental,Triptolide 300 nM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
D11,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
E11,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
F11,HEK293 parental,Triptolide 300 nM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
G11,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
H11,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
I11,HEK293 parental,Vehicle,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
J11,HEK293 ARMC5 KO 1A3,Vehicle,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
K11,HEK293 ARMC5 KO 2B6,Vehicle,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
L11,HEK293 parental,Vehicle,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
