Well name,Cell,Drug,Drug time,Primary,Secondary
C3,HEK293 parental,DRB 100 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
D3,HEK293 ARMC5 KO 1A3,DRB 100 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
E3,HEK293 ARMC5 KO 2B6,DRB 100 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
F3,HEK293 parental,DRB 100 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
G3,HEK293 ARMC5 KO 1A3,DRB 100 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
H3,HEK293 ARMC5 KO 2B6,DRB 100 µM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
I3,HEK293 parental,Triptolide 300 nM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
J3,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
K3,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
L3,HEK293 parental,Triptolide 300 nM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
M3,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
N3,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,Total Pol II F12,Goat anti-mouse Alexa488
C4,HEK293 parental,DRB 100 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
D4,HEK293 ARMC5 KO 1A3,DRB 100 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
E4,HEK293 ARMC5 KO 2B6,DRB 100 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
F4,HEK293 parental,DRB 100 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
G4,HEK293 ARMC5 KO 1A3,DRB 100 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
H4,HEK293 ARMC5 KO 2B6,DRB 100 µM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
I4,HEK293 parental,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
J4,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
K4,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
L4,HEK293 parental,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
M4,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
N4,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,240 min,pSer5 Pol II 3E8,Goat anti-rat Alexa488
C5,HEK293 parental,DRB 100 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
D5,HEK293 ARMC5 KO 1A3,DRB 100 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
E5,HEK293 ARMC5 KO 2B6,DRB 100 µM,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
