,WELL,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,FISH_647_Intensity_FC,EXPERIMENT
54,I09,396.10425395113714,504.1371613845314,5449.647158131683,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3554,I,9,223.63222060162312,1.0442061889408591,251024_LARP7_7SK
55,I10,213.99128701530262,519.2107576738279,5706.2819672131145,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2745,I,10,41.5192536657886,0.19386589965161416,251024_LARP7_7SK
56,I11,350.99443507639035,513.8771160474855,5100.76290367099,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3623,I,11,178.52240172687632,0.8335748589639395,251024_LARP7_7SK
57,I12,390.7247876882261,241.63179594167187,2750.183673469388,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,49,I,12,218.2527543387121,1.0190878408342292,251024_LARP7_7SK
58,I13,219.7838166245304,485.5442542116084,4925.023446019629,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1834,I,13,47.31178327501638,0.2209129649238128,251024_LARP7_7SK
59,I14,247.40658839430026,217.18928546795217,2591.2625,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,80,I,14,74.93455504478624,0.3498920054220816,251024_LARP7_7SK
10,E05,234.92536473311583,619.7478017455395,4803.726918075423,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1538,E,5,65.77666842336856,0.30423464454528915,251107_LARP7_7SK
11,E06,421.39282005465054,372.2839805289449,4622.518181818182,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,220,E,6,252.24412374490328,1.166696385901244,251107_LARP7_7SK
12,E07,228.2868338608071,639.0332240544199,5542.190236537494,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1987,E,7,59.13813755105983,0.27352966771003423,251107_LARP7_7SK
13,E08,391.5034384906087,681.749803922901,5219.824249165739,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1798,E,8,222.35474218086142,1.0284500199210513,251107_LARP7_7SK
14,E09,369.78212437843405,657.6923990205784,5316.819746376812,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2208,E,9,200.63342806868678,0.9279831456269703,251107_LARP7_7SK
15,E10,272.5622039821119,347.87172424762434,4351.88275862069,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,145,E,10,103.41350767236463,0.4783150697961749,251107_LARP7_7SK
21,F06,235.99059436214796,651.6105628542214,4909.914344685242,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1938,F,6,66.8418980524007,0.30916161584553464,251107_LARP7_7SK
22,F07,443.2935251001825,393.12729813342156,4639.1875,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,144,F,7,274.1448287904352,1.2679929911341639,251107_LARP7_7SK
23,F08,231.9704047642566,625.3034874890838,5750.1875977071395,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1919,F,8,62.82170845450935,0.29056716613204603,251107_LARP7_7SK
24,F09,413.59386666828004,629.4049755977193,5406.148546395858,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2511,F,9,244.44517035853278,1.1306241452694161,251107_LARP7_7SK
25,F10,371.58057995563206,621.375516442478,5055.899277841125,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2631,F,10,202.4318836458848,0.9363014826053286,251107_LARP7_7SK
32,G07,373.0001643716375,633.1100366593761,5943.026243634939,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2553,G,7,203.85146806189022,0.9428674393580426,251107_LARP7_7SK
33,G08,417.321943426525,410.93060181593677,5019.806201550387,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,387,G,8,248.17324711677776,1.1478674951466388,251107_LARP7_7SK
34,G09,237.04509272562376,602.8681840385286,5455.691870629371,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2288,G,9,67.8963964158765,0.31403895217884875,251107_LARP7_7SK
35,G10,365.8712064108856,597.9287357839826,5397.805147058823,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2720,G,10,196.7225101011383,0.9098941063639209,251107_LARP7_7SK
43,H08,235.3943634052839,641.8974075618398,4866.123275068997,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2174,H,8,66.24566709553665,0.3064038885605208,251107_LARP7_7SK
44,H09,458.68838444697514,392.6084266954228,4430.628834355828,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,326,H,9,289.53968813722787,1.3391983238678027,251107_LARP7_7SK
45,H10,241.57338138602802,582.1755836150514,5716.726537943422,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2227,H,10,72.42468507628075,0.3349834956471997,251107_LARP7_7SK
10,E05,219.99395705719343,494.84455031671877,5128.768988764045,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2225,E,5,49.57759712443993,0.24441267044538215,251117_LARP7_7SK
12,E07,219.382038188368,400.98345350953383,5702.487383339095,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2893,E,7,48.965678255614506,0.24139597069589364,251117_LARP7_7SK
13,E08,357.30204335720595,413.3659633931824,5640.544092611508,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2937,E,8,186.88568342445245,0.9213280111000683,251117_LARP7_7SK
14,E09,357.61947381442394,405.80449306801347,5227.923860329777,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4124,E,9,187.20311388167045,0.9228929119873505,251117_LARP7_7SK
15,E10,275.70824626462405,213.8537026906232,4579.483333333334,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,60,E,10,105.29188633187056,0.5190786283976209,251117_LARP7_7SK
21,F06,221.00317513639703,467.0894891435268,5009.143493761141,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2244,F,6,50.58681520364354,0.24938801616818473,251117_LARP7_7SK
22,F07,372.03042791257997,213.9054062556974,5209.254901960784,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,153,F,7,201.61406797982647,0.9939374962167021,251117_LARP7_7SK
23,F08,219.9396468899926,427.6614214014752,5623.585666666667,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3000,F,8,49.523286957239094,0.2441449266706168,251117_LARP7_7SK
24,F09,350.5654391562063,536.348931112507,5533.002640264026,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3030,F,9,180.14907922345282,0.8881172159425872,251117_LARP7_7SK
25,F10,359.46420970732714,526.0239468208722,5039.36797188755,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3984,F,10,189.04784977457365,0.9319872782334437,251117_LARP7_7SK
32,G07,222.28647784135683,430.3673292651501,5358.505357908272,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2333,G,7,51.87011790860333,0.2557145720987138,251117_LARP7_7SK
33,G08,394.40475117680023,226.81523255287328,4609.070175438596,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,114,G,8,223.98839124404674,1.1042407060453308,251117_LARP7_7SK
34,G09,223.54971539080688,477.089347079719,5534.966705836271,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2553,G,9,53.13335545805339,0.2619422087889915,251117_LARP7_7SK
35,G10,371.8247182287547,515.3317092195548,5419.370497427101,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3498,G,10,201.4083582960012,0.9929233677377843,251117_LARP7_7SK
43,H08,227.69799530656093,443.64107278292164,5161.3103205354,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2839,H,8,57.28163537380743,0.2823928201693599,251117_LARP7_7SK
44,H09,382.97124737378414,215.8982779553326,4621.309523809524,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,126,H,9,212.55488744103064,1.0478746584930783,251117_LARP7_7SK
45,H10,225.88645691484047,472.74479640369094,5740.9184608337155,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2183,H,10,55.47009698208697,0.27346211433415385,251117_LARP7_7SK
