,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
106,H09,1499.4768834824267,231.81755677800896,559.621277925801,492.4466186018805,1426.3126308443825,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1433,250825_mACmChPOLR2A_ARMC5
107,H10,1544.5206178813926,224.05757563260545,548.9088571856004,469.45178611421136,1543.7568838146408,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1489,250825_mACmChPOLR2A_ARMC5
108,H11,1620.8639490712956,231.77197849645265,570.8741690704735,498.2408731240658,1438.6398416886543,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1516,250825_mACmChPOLR2A_ARMC5
109,H12,1561.1543215726024,226.29871574741958,554.875144250103,475.11879091723324,1541.6775751072962,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1864,250825_mACmChPOLR2A_ARMC5
110,H13,1618.8250424692617,229.78679497011964,566.5995858349038,486.0116130058361,1598.425879396985,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1592,250825_mACmChPOLR2A_ARMC5
111,H14,1697.3394158276526,233.2524514517385,591.0949844701041,502.86845521704697,1466.6280307510349,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1691,250825_mACmChPOLR2A_ARMC5
112,H15,1582.4528567947916,233.87270121390597,567.9138678947057,499.87595133726285,1483.2260479041915,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1336,250825_mACmChPOLR2A_ARMC5
113,H16,1627.9133467582503,230.17517941950916,575.2487881002081,500.93707933637074,1527.5441988950276,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1448,250825_mACmChPOLR2A_ARMC5
114,H17,1551.2624489246512,228.61337470694053,558.7140141578511,494.48046192655283,1546.8077403245943,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1602,250825_mACmChPOLR2A_ARMC5
115,H18,1851.446026406649,237.4142378531446,610.5414901288156,508.70156544728434,1307.7476007677544,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1042,250825_mACmChPOLR2A_ARMC5
116,H19,1637.0884129372325,231.90649662738102,576.180122512351,504.8917028270877,1449.6331849968215,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1573,250825_mACmChPOLR2A_ARMC5
117,H20,1667.7403378367142,229.7985875767935,582.776562225513,492.75342743075885,1496.0791693705387,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1541,250825_mACmChPOLR2A_ARMC5
118,H21,1527.8006437681847,227.68707682232557,572.9133282595982,489.771145072171,1468.5118974984746,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1639,250825_mACmChPOLR2A_ARMC5
119,H22,1135.783796840897,148.17438481060194,243.18954678564637,380.4248963156096,1532.723700571997,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4021,250825_mACmChPOLR2A_ARMC5
120,I03,1036.2519064854973,150.926997698259,260.5627938094853,372.164562245918,1644.7781350482314,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4665,250825_mACmChPOLR2A_ARMC5
121,I04,2620.3032310330136,275.5324361677145,1054.3434838795613,463.83559393492936,1531.8115157480315,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2032,250825_mACmChPOLR2A_ARMC5
122,I05,2795.57724023363,279.78369792022363,1105.5637480565497,469.86770215244695,1528.6859574468085,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1175,250825_mACmChPOLR2A_ARMC5
123,I06,2439.7311626175574,272.8436834658713,1061.5806843467526,449.1812689498341,1519.91771019678,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1677,250825_mACmChPOLR2A_ARMC5
124,I07,2796.647851226233,281.87939602111396,1094.141079843663,468.46042895633883,1468.7182103610676,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1274,250825_mACmChPOLR2A_ARMC5
125,I08,2570.4532928031417,273.00757864120186,1052.7633650664502,444.9467218066477,1527.2886209495102,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1327,250825_mACmChPOLR2A_ARMC5
126,I09,2179.798367399913,272.6535224178034,1019.2379055107575,451.03976755111637,1526.0541176470588,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1700,250825_mACmChPOLR2A_ARMC5
127,I10,2486.4876620918108,266.79922387282636,1002.0882749918432,453.6285097776171,1574.2206736353078,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1722,250825_mACmChPOLR2A_ARMC5
128,I11,2728.883922894079,276.39979610350196,1068.946770830525,455.1097065368983,1496.7059800664451,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1204,250825_mACmChPOLR2A_ARMC5
129,I12,2660.352289646105,270.13986479531115,1013.263470857573,457.7200045346431,1472.7937584803256,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1474,250825_mACmChPOLR2A_ARMC5
130,I13,2834.373421715099,279.4901024191555,1099.6457243540303,489.53255247862023,1475.7087667161961,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1346,250825_mACmChPOLR2A_ARMC5
