,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT
14,C17,153.93723077750172,3597.1330982129466,1703.1217363950927,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4113,158.4255558904074,1669.752368344989,1637.6338393175472,1675.378279438682,260515_mACPOLR2A_CRC_EU
15,C18,154.56566768534668,4081.8223310001363,1594.0086313193588,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3301,159.54494023953717,1850.6924220784479,1820.2131075062719,1589.3225302616165,260515_mACPOLR2A_CRC_EU
16,C19,154.50840623684041,3895.4979395354617,1704.8224476854787,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3982,158.82784902109776,1710.5012001579398,1737.627215777063,1694.6546850998463,260515_mACPOLR2A_CRC_EU
17,C20,154.75012143972458,3655.008397155471,1673.4199251955117,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3337,159.13006283112927,1830.2309821079564,1772.5887759858183,1655.5689655172414,260515_mACPOLR2A_CRC_EU
18,C21,155.32778887224057,4173.76721317908,1642.4753613666228,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3958,159.17385498197135,1762.3344575224417,1774.067722344065,1644.43007222587,260515_mACPOLR2A_CRC_EU
19,C22,155.34961241780525,2935.611606791058,1659.0631604226705,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4082,157.50338674272734,1717.868265015866,1507.6733251044654,1640.2580335731416,260515_mACPOLR2A_CRC_EU
20,D03,155.72549016697928,2917.846632608103,1683.2183361629882,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3432,368.33283359262407,913.1816273218366,1790.5680648964903,1661.1220752797558,260515_mACPOLR2A_CRC_EU
21,D04,156.52140381930494,2862.323172693412,1779.9149871747893,HCT116 OsTIRF74G,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3472,353.04041659272355,928.032354109779,1810.8107726202327,1737.1864716636198,260515_mACPOLR2A_CRC_EU
22,D05,289.9940625945244,3520.2350802022406,2219.125385405961,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3705,273.3756486929514,776.2644064784172,1805.1041667069576,2213.623463114754,260515_mACPOLR2A_CRC_EU
23,D06,342.04509495318734,3499.324558702776,2282.07171671896,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3678,270.7263052936105,912.8982018280753,1721.9380908674707,2300.6610693769335,260515_mACPOLR2A_CRC_EU
24,D07,342.55150130646143,3332.3130872765514,2217.327296819788,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3993,269.0331874970669,904.264022397406,1620.600250380849,2210.8132815868908,260515_mACPOLR2A_CRC_EU
25,D08,345.8060310350431,3410.9938483857645,2142.240809582817,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3951,278.32963545482477,911.8300790893026,1743.0910691903357,2170.133744855967,260515_mACPOLR2A_CRC_EU
