,EXPERIMENT,WELL,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TotalNumberCells
122,250411_mACmChPOLR2A_Inhibitors,J05,174.27765118705457,249.64881441621773,283.5201827486842,1706.2468581687613,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,1114
123,250411_mACmChPOLR2A_Inhibitors,J06,172.74876548043952,242.72294769645617,287.8897118310021,1589.3241919686582,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,1021
124,250411_mACmChPOLR2A_Inhibitors,J07,188.79455685942756,204.9081448953846,287.19682070621445,1599.616170212766,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,1175
125,250411_mACmChPOLR2A_Inhibitors,J08,176.74467240723342,200.54352559289796,268.38958255364344,1685.057361376673,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,1046
126,250411_mACmChPOLR2A_Inhibitors,J09,178.07164826584173,201.51054693686393,296.8010970254896,1559.330909090909,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,1100
127,250411_mACmChPOLR2A_Inhibitors,J10,190.5666015310764,216.86463794664192,300.6422015165134,1532.7286995515694,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,1338
128,250411_mACmChPOLR2A_Inhibitors,J11,177.12153825649327,220.0285570962784,283.6459215224566,1638.3397260273973,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,1460
129,250411_mACmChPOLR2A_Inhibitors,J12,176.47759733088648,214.96639852588982,298.31143353920055,1572.806104129264,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,1114
130,250411_mACmChPOLR2A_Inhibitors,J13,191.82464147235885,205.41011057179347,297.38140513633664,1588.5257494235204,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,1301
131,250411_mACmChPOLR2A_Inhibitors,J14,183.3161128797149,204.41799538716865,293.61366367978775,1567.6918056562727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,1379
132,250411_mACmChPOLR2A_Inhibitors,J15,177.92183111738444,201.97289680224216,305.0040553557279,1566.0697986577181,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,745
133,250411_mACmChPOLR2A_Inhibitors,J16,207.2097536593977,196.2295452452139,279.5212419804502,1655.559411146162,HCT116 mChPOLR2A Clone 2,Vehicle,240,Vehicle,240,1902
134,250411_mACmChPOLR2A_Inhibitors,J17,194.99068717745874,197.360620045188,280.25064837832343,1713.397147147147,HCT116 mChPOLR2A Clone 2,Vehicle,240,Leptomycin 10 ng/mL,240,1332
135,250411_mACmChPOLR2A_Inhibitors,J18,190.23159375988274,197.2240633063016,282.78502096223815,1693.4435714285714,HCT116 mChPOLR2A Clone 2,Vehicle,240,Cycloheximide 50 µg/mL,240,1400
136,250411_mACmChPOLR2A_Inhibitors,J19,210.8348225664308,199.2836884696851,296.0456929277651,1651.9796380090497,HCT116 mChPOLR2A Clone 2,Vehicle,240,Vehicle,240,884
137,250411_mACmChPOLR2A_Inhibitors,J20,196.45403107244974,199.78537835129302,281.7119929158687,1759.835863377609,HCT116 mChPOLR2A Clone 2,Vehicle,240,Leptomycin 10 ng/mL,240,1054
138,250411_mACmChPOLR2A_Inhibitors,J21,190.08327249841983,197.49841149278797,294.15068226066035,1756.6087824351298,HCT116 mChPOLR2A Clone 2,Vehicle,240,Cycloheximide 50 µg/mL,240,1002
139,250411_mACmChPOLR2A_Inhibitors,J22,150.12391445487148,199.10100186811263,314.88110355006654,1696.1127580730545,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1889
140,250411_mACmChPOLR2A_Inhibitors,K03,146.31831351345463,197.52528543231088,266.27600558400155,1693.0383141762452,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,2088
141,250411_mACmChPOLR2A_Inhibitors,K04,185.28404912235513,253.12203821024403,290.2068781459418,1383.293670886076,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,790
142,250411_mACmChPOLR2A_Inhibitors,K05,176.25897191020084,256.347459664278,281.47144035663393,1630.5255704169945,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,1271
143,250411_mACmChPOLR2A_Inhibitors,K06,178.54630890758818,258.92462609270825,289.728126475399,1641.5366108786611,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,956
144,250411_mACmChPOLR2A_Inhibitors,K07,187.14611071085162,208.0594633901929,297.3280581286523,1528.7383966244727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,948
145,250411_mACmChPOLR2A_Inhibitors,K08,180.65910922023917,205.4326598469073,277.73142058853654,1716.3074454428754,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,1558
146,250411_mACmChPOLR2A_Inhibitors,K09,183.66969271095778,208.2739608214428,308.76527766994667,1412.346106304079,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,809
147,250411_mACmChPOLR2A_Inhibitors,K10,188.60940913173607,236.74555767192757,308.991349323755,1509.282341831917,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,1059
148,250411_mACmChPOLR2A_Inhibitors,K11,180.05242862972835,248.95276854901536,289.0470637877787,1717.6734317343173,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,1626
149,250411_mACmChPOLR2A_Inhibitors,K12,184.8474538888733,237.78253028383207,316.59833643797964,1492.1689814814815,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,864
150,250411_mACmChPOLR2A_Inhibitors,K13,192.98689484519883,212.00973099024233,326.5855743691391,1375.07015130674,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,727
151,250411_mACmChPOLR2A_Inhibitors,K14,181.89567933393872,205.99983770679,291.37113804676005,1687.4069192751235,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,1214
152,250411_mACmChPOLR2A_Inhibitors,K15,185.37439282112854,206.4412298742663,319.3388323350834,1489.9004683840749,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,854
153,250411_mACmChPOLR2A_Inhibitors,K16,210.05224406334554,197.31046763662766,292.2777699943075,1610.4192913385828,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120,1016
154,250411_mACmChPOLR2A_Inhibitors,K17,201.95653720269104,196.402923069295,287.8839631417242,1774.6131934032983,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120,1334
155,250411_mACmChPOLR2A_Inhibitors,K18,200.31038380053698,198.41171502662843,286.4085940239737,1670.2880952380951,HCT116 mChPOLR2A Clone 2,Vehicle,120,Cycloheximide 50 µg/mL,120,1260
156,250411_mACmChPOLR2A_Inhibitors,K19,208.29043339854408,197.40955091740224,305.08628491209475,1729.52487135506,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120,1166
157,250411_mACmChPOLR2A_Inhibitors,K20,202.46521863012097,199.04524074299766,288.0793961366797,1717.4318541996831,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120,1262
158,250411_mACmChPOLR2A_Inhibitors,K21,203.26088897988427,198.89509540821916,307.4010541502089,1617.2068027210885,HCT116 mChPOLR2A Clone 2,Vehicle,120,Cycloheximide 50 µg/mL,120,735
159,250411_mACmChPOLR2A_Inhibitors,K22,149.85030686402735,201.74159509718152,313.1448060812874,1694.6828135368282,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1507
160,250411_mACmChPOLR2A_Inhibitors,L03,146.8868953345603,198.08170356411523,274.0969079347436,1698.4826869806095,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1444
161,250411_mACmChPOLR2A_Inhibitors,L04,183.55692834812277,259.6241706309212,289.4828228345423,1499.621897810219,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,685
162,250411_mACmChPOLR2A_Inhibitors,L05,178.40174946720978,262.3306408780027,275.37456648471255,1730.5281757402101,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1047
163,250411_mACmChPOLR2A_Inhibitors,L06,179.94919562021087,265.54323055198313,281.92209543095163,1579.1677479147359,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1079
164,250411_mACmChPOLR2A_Inhibitors,L07,185.72704839154275,223.1944007865961,298.52414552382373,1487.7030651340997,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1044
165,250411_mACmChPOLR2A_Inhibitors,L08,185.1560560159338,221.75473295455566,291.57542238912896,1653.4931062449311,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1233
166,250411_mACmChPOLR2A_Inhibitors,L09,185.35058977114568,225.5070628445997,304.2339826604035,1436.5244596131968,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,879
167,250411_mACmChPOLR2A_Inhibitors,L10,185.48660128252305,248.96046259319115,306.9206957994396,1511.7157464212678,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,978
168,250411_mACmChPOLR2A_Inhibitors,L11,181.08434657574475,241.78671727122787,286.58832814037424,1665.442218798151,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1298
169,250411_mACmChPOLR2A_Inhibitors,L12,186.60874330317418,249.12081294110726,310.4047498727018,1340.704081632653,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,784
170,250411_mACmChPOLR2A_Inhibitors,L13,188.56158092593904,224.3207512224501,312.6370311297593,1339.560864618885,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,879
171,250411_mACmChPOLR2A_Inhibitors,L14,182.8784689833783,215.8375666117828,295.84594882928985,1693.2884386174017,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,839
172,250411_mACmChPOLR2A_Inhibitors,L15,188.12973697302075,223.10763610772895,318.8825237768561,1366.0949554896142,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,674
173,250411_mACmChPOLR2A_Inhibitors,L16,208.03749634408015,196.84560789407817,286.5891363748689,1722.4814814814815,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60,1404
174,250411_mACmChPOLR2A_Inhibitors,L17,204.99516021334767,196.19842950105368,284.1396153488239,1665.7723024638913,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60,1177
175,250411_mACmChPOLR2A_Inhibitors,L18,205.34324790070815,199.02701969495325,290.01027315322534,1638.4324894514768,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60,948
176,250411_mACmChPOLR2A_Inhibitors,L19,208.09098501064105,197.98786473901174,287.21643944969054,1705.1599657827203,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60,1169
177,250411_mACmChPOLR2A_Inhibitors,L20,206.02544117572842,198.22316258503415,282.0105275195632,1696.772504091653,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60,1222
178,250411_mACmChPOLR2A_Inhibitors,L21,206.4970177607817,196.3473173225263,285.36733824237547,1553.0703363914374,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60,327
179,250411_mACmChPOLR2A_Inhibitors,L22,148.67023702682064,198.98963564297742,293.1791189543808,1716.0311215502056,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1703
180,250411_mACmChPOLR2A_Inhibitors,M03,145.7228768590572,197.41719849817656,264.9992433635686,1731.8061148396719,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1341
181,250411_mACmChPOLR2A_Inhibitors,M04,180.1785079053354,268.85119533641483,273.57221736716514,1532.7757009345794,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30,856
182,250411_mACmChPOLR2A_Inhibitors,M05,177.70995635947838,266.0021563804327,267.3571610789578,1649.7528285465623,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30,1149
183,250411_mACmChPOLR2A_Inhibitors,M06,179.2496041749925,269.38747387274844,278.4363812978668,1427.4274274274273,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30,999
184,250411_mACmChPOLR2A_Inhibitors,M07,184.4654965524279,271.39908414804194,294.9177605026452,1459.9825,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30,800
185,250411_mACmChPOLR2A_Inhibitors,M08,179.21440517929003,268.23185911583164,273.789199050992,1744.9908561928512,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30,1203
186,250411_mACmChPOLR2A_Inhibitors,M09,183.42987206687403,275.12106482337856,288.8734184371322,1465.9193548387098,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30,930
199,250411_mACmChPOLR2A_Inhibitors,M22,149.12756960916488,197.38413144793998,301.6861933155663,1593.9749152542372,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,1475
