,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
0,C03,180.26420757622685,239.47041138676602,238.84186617567678,1742.3170261941448,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1857,960.970711416539,1719.7638356747552,241029_mACmChPOLR2A_ActivePolII
1,C04,182.16168303041175,240.04604652147498,246.876854438697,1674.366129032258,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2346,876.3339126806637,1673.1397551176583,241029_mACmChPOLR2A_ActivePolII
2,C05,180.97332797871184,239.66282560463785,243.54905089450256,1678.1317285822593,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2332,883.9569835505163,1646.175795626759,241029_mACmChPOLR2A_ActivePolII
3,C06,181.0922485794389,239.98061034891523,246.09517550256913,1715.3899738272598,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1760,922.0673218588421,1636.9027005559967,241029_mACmChPOLR2A_ActivePolII
4,C07,180.94516966905763,238.18474772445515,242.69096657303757,1665.1569494335452,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2032,885.173281471666,1686.019629358693,241029_mACmChPOLR2A_ActivePolII
5,C08,179.5570473042578,238.04671725428986,241.55787801957513,1662.0462415970667,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,1572,970.4965735226273,1646.6811232449297,241029_mACmChPOLR2A_ActivePolII
6,C09,178.89394357944994,236.52491226203145,257.0105478777125,1715.9103572230958,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2122,974.2715660390313,1662.7555079194951,241029_mACmChPOLR2A_ActivePolII
7,C10,181.2426173282461,239.29781563070364,261.62863203290505,1665.5580585705509,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2218,927.7204451594862,1586.9480798771121,241029_mACmChPOLR2A_ActivePolII
8,C11,182.291096873491,238.87990409854572,275.2122603240447,1653.1875139353401,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2744,987.9856009229426,1656.9530347608152,241029_mACmChPOLR2A_ActivePolII
9,C12,182.7425864589945,238.3525221941779,290.2956977778142,1685.8466681524403,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1875,889.6461705734126,1669.3250655854997,241029_mACmChPOLR2A_ActivePolII
10,C13,181.59565490744455,237.44658106386876,274.6454178275973,1655.0562187974822,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,1915,1052.852664902119,1644.9836748871137,241029_mACmChPOLR2A_ActivePolII
11,C14,181.6923139736359,236.57992173012607,276.3424018255558,1682.1892464013547,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,2026,148.98606098649282,1551.7896605280675,241029_mACmChPOLR2A_ActivePolII
12,C15,181.01537208455446,235.3009968090719,294.6493667260126,1692.7815502882768,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,1857,147.81162719031278,1576.6894115049133,241029_mACmChPOLR2A_ActivePolII
13,C16,181.9659777488175,236.17551150887704,283.5386648724079,1676.6760596180718,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,1846,148.1537569645957,1563.4215080346107,241029_mACmChPOLR2A_ActivePolII
14,C17,180.87598478754467,233.14466506211662,290.69119496822054,1687.2112956810631,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,1065,147.93509042334333,1574.2995432631312,241029_mACmChPOLR2A_ActivePolII
15,C18,181.1448937048403,234.88645115532591,277.15607361319036,1691.6300181561428,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,1800,146.08022125784814,1576.1391304347826,241029_mACmChPOLR2A_ActivePolII
16,C19,181.71167921118231,234.84295952918478,298.13567505022337,1673.8981065781768,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,1659,145.74972740941078,1558.842623261096,241029_mACmChPOLR2A_ActivePolII
17,C20,181.8523509473553,235.65057518356383,288.1725503613616,1658.4975311080386,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,1484,150.01325240736725,1537.4364028333846,241029_mACmChPOLR2A_ActivePolII
18,C21,184.79451011645867,237.88498459783003,301.1840029821445,1703.5220185220185,HCT116 OsTIRF74G,No addition,No addition,No addition,No primary,No secondary,2727,146.05211731138482,1557.4304518664046,241029_mACmChPOLR2A_ActivePolII
19,C22,191.92522558029805,817.6433482961972,444.04591958297317,2002.4940668824163,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,No addition,No addition,No addition,No primary,No secondary,631,201.68531164576694,1958.864247311828,241029_mACmChPOLR2A_ActivePolII
20,D03,182.67045358676086,234.98484602281843,246.96287042174262,1677.579652255639,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2112,999.9661897164023,1705.6163610719323,241029_mACmChPOLR2A_ActivePolII
