,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
24,D12,591.2445657362415,131.71252576661132,234.48205199225467,330.7497782826127,1791.1081081081081,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2368,250510_mACmChPOLR2A_90min_IF
25,D13,523.4877450428974,132.79571591688952,196.99024630342197,342.23903245607704,1788.1452263558942,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2231,250510_mACmChPOLR2A_90min_IF
26,D14,586.2774678920838,132.460940127847,231.57575276604769,339.108498473073,1780.7241730279898,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1965,250510_mACmChPOLR2A_90min_IF
27,D15,550.057433536754,133.58799794428666,196.46199847156907,350.8679746878176,1802.7990115321252,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1821,250510_mACmChPOLR2A_90min_IF
28,D16,592.0321685758496,132.12303423612212,230.999567875262,337.15681481411514,1806.0548885077187,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,pSer5 3E8,Goat anti-rat Alexa647,1749,250510_mACmChPOLR2A_90min_IF
29,D17,125.06628759951559,132.04879585118206,233.44127957626125,346.26574127735563,1782.9734848484848,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-rat Alexa647,1584,250510_mACmChPOLR2A_90min_IF
30,E03,294.1801953635929,130.2777320781203,230.14458614851435,328.4642577526418,1884.290756302521,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2380,250510_mACmChPOLR2A_90min_IF
31,E04,292.64296632287517,130.43021097559765,229.5374134316659,326.3797741022029,1811.417372881356,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1888,250510_mACmChPOLR2A_90min_IF
32,E05,289.3944863532078,131.4029449167574,194.20647244340512,335.6302776190674,1825.6013655462184,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1904,250510_mACmChPOLR2A_90min_IF
33,E06,303.65791653278905,131.7414549985931,234.57208181127695,342.43415861925297,1788.458663646659,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1766,250510_mACmChPOLR2A_90min_IF
34,E07,286.2814293741435,131.70891110435971,195.4392861160282,332.9655395520454,1795.84944612286,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1986,250510_mACmChPOLR2A_90min_IF
35,E08,278.0155869815319,131.7245125257734,235.0821549073795,332.7702263185387,1827.743670886076,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2212,250510_mACmChPOLR2A_90min_IF
36,E09,280.0334292581536,131.0766744307334,194.87117246824008,325.30538130273555,1843.9648326715826,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1763,250510_mACmChPOLR2A_90min_IF
37,E10,286.162841843841,131.4134215661385,236.53094095976002,339.0792571840193,1841.811135857461,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2245,250510_mACmChPOLR2A_90min_IF
38,E11,280.29558428666473,131.707975960329,194.72730320133562,335.60142844200186,1861.8139145012574,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2386,250510_mACmChPOLR2A_90min_IF
39,E12,293.25960306540486,132.36699336065027,237.8742653029902,343.37762579356666,1783.6769953051644,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2130,250510_mACmChPOLR2A_90min_IF
40,E13,291.8479124479105,132.86685333720348,196.3598650826201,343.24913450984144,1794.0856269113149,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2289,250510_mACmChPOLR2A_90min_IF
41,E14,290.33573782389436,131.42398237244652,234.19261436894666,332.61707809469357,1803.6291841004183,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1912,250510_mACmChPOLR2A_90min_IF
42,E15,279.09304397077904,131.14063481334654,194.18347732610843,324.74781703130986,1807.6885701064323,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2161,250510_mACmChPOLR2A_90min_IF
43,E16,282.0502951852046,131.67709673139672,233.8136920245501,332.735198285276,1867.0980392156862,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2499,250510_mACmChPOLR2A_90min_IF
