,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
174,K17,2672.5397256675456,321.94344908987523,559.8317498320702,949.6200833571374,1402.0152409046214,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2034,251103_mACmChPOLR2A_7SK
175,K18,2927.7847418113197,335.6500676676385,570.9683174188932,950.5022251854177,1165.1245674740485,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,289,251103_mACmChPOLR2A_7SK
176,K19,2803.821579986085,343.85399018071854,296.5777238387554,1033.614825803602,1344.4928619986404,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1471,251103_mACmChPOLR2A_7SK
177,K20,2542.7692575093847,331.8418889443617,293.4617956043136,966.3798131030767,1377.3604887983706,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1964,251103_mACmChPOLR2A_7SK
178,K21,2768.0459576432295,344.08820709663854,290.99616933084525,1000.956434639022,1266.364653243848,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,447,251103_mACmChPOLR2A_7SK
179,K22,2115.3044176736594,286.83680384711585,507.80303922225414,768.954241808701,1666.5924342105263,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3040,251103_mACmChPOLR2A_7SK
180,L03,2152.7573014617274,289.12281465332046,517.165591810289,784.8613134888492,1620.769758507135,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3644,251103_mACmChPOLR2A_7SK
181,L04,3027.1394362823694,339.5193237428854,591.8689148701527,1073.8740480519723,1378.7496598639457,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1470,251103_mACmChPOLR2A_7SK
182,L05,2707.1090043810746,322.21705490178334,561.4340205277216,956.5766550068689,1403.6257828810021,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1916,251103_mACmChPOLR2A_7SK
183,L06,2920.006727450962,332.3309378833914,536.633156930664,961.1504599014982,1265.8864097363082,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,493,251103_mACmChPOLR2A_7SK
184,L07,2546.96164764497,287.44563949161324,332.4192308318605,604.5035997338559,1028.6896551724137,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,29,251103_mACmChPOLR2A_7SK
185,L08,2657.233408570692,325.5360358092657,331.1370213250603,987.2148992065079,1409.2088572990706,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1829,251103_mACmChPOLR2A_7SK
186,L09,2826.718874035131,333.9906117811155,303.1230929779216,845.2311106979253,1168.308988764045,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,178,251103_mACmChPOLR2A_7SK
187,L10,3076.4898123331177,334.85754456371774,589.9310240918311,1065.3757089115245,1396.838063439065,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1198,251103_mACmChPOLR2A_7SK
188,L11,2713.0860296565234,325.11319280900085,548.4867054300317,946.2582148436655,1423.813633864761,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1819,251103_mACmChPOLR2A_7SK
189,L12,2929.54768987223,331.9633807341682,567.2583101660441,929.6156510093679,1231.274111675127,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,394,251103_mACmChPOLR2A_7SK
190,L13,3112.6735248289974,341.45683602497263,339.1383750280191,1074.5483987178816,1420.3097269624573,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1172,251103_mACmChPOLR2A_7SK
