,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,GFP_Intensity_FC,IF_561_Intensity_BGS,IF_561_Intensity_FC,IF_647_Intensity,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
132,J06,1038.2733295737596,691.2355266850836,281.9197159200415,1881.5050906381923,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,4027,250905_mACPOLR2A_Kinetic_pSer2,J,06,430.99316843583523,0.6762367215589656,848.8299937701739,0.6217453161327449,,240,4.0
133,J07,1064.443544136596,700.5665299257718,283.3108768587521,1849.7646072796936,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,4176,250905_mACPOLR2A_Kinetic_pSer2,J,07,440.32417167652335,0.6908772483757577,875.0002083330104,0.6409142998468595,,480,8.0
134,J08,1088.6399022270955,777.3242313425907,281.9705245932849,1841.2412010829437,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,4063,250905_mACPOLR2A_Kinetic_pSer2,J,08,517.0818730933422,0.8113115850704452,899.1965664235098,0.6586374863749641,,60,1.0
135,J09,1040.4809647348593,706.151359194914,277.9404186024602,1831.0982698961939,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,4335,250905_mACPOLR2A_Kinetic_pSer2,J,09,445.9090009456656,0.6996399548686184,851.0376289312736,0.6233623499689871,,120,2.0
136,J10,1030.8030854438487,683.9820239751009,278.80294515272954,1780.2876590046865,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,4481,250905_mACPOLR2A_Kinetic_pSer2,J,10,423.7396657258525,0.664855833759237,841.359749640263,0.6162735616798763,,240,4.0
137,J11,1054.4402042471586,685.1796702137773,274.38461787956373,1799.3892468340368,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,4501,250905_mACPOLR2A_Kinetic_pSer2,J,11,424.9373119645289,0.6667349641616265,864.9968684435729,0.6335871203555731,,480,8.0
138,J12,1547.581963430895,255.81421112797506,335.775215527827,1597.5824175824175,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1911,250905_mACPOLR2A_Kinetic_pSer2,J,12,-4.428147121273355,-0.006947849551161673,1358.1386276273092,0.9948002975668466,,0,0.0
149,K03,1579.4809829119715,271.1839853301065,338.54110299334377,1525.6630360789652,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1469,250905_mACPOLR2A_Kinetic_pSer2,K,03,10.941627080858098,0.017167627163403247,1390.037647108386,1.0181654779883063,,0,0.0
150,K04,939.5226999545264,659.3649691113004,292.7556256397621,1947.6579391891892,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,3552,250905_mACPOLR2A_Kinetic_pSer2,K,04,399.122610862052,0.6262311925939282,750.0793641509407,0.5494131154782737,,60,1.0
151,K05,762.3013372354651,533.8747414592784,285.3097114117282,1951.8179899762595,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,3791,250905_mACPOLR2A_Kinetic_pSer2,K,05,273.63238321003,0.42933456789087227,572.8580014318794,0.41960319712249944,,120,2.0
152,K06,741.5971803897464,473.0097647547014,293.2752006688322,1893.8932630995287,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,3607,250905_mACPOLR2A_Kinetic_pSer2,K,06,212.76740650545298,0.3338362275022273,552.1538445861607,0.40443795480333056,,240,4.0
153,K07,794.36143519843,482.2348114621934,283.3947193269307,1881.2156242394744,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,4109,250905_mACPOLR2A_Kinetic_pSer2,K,07,221.992453212945,0.3483105064434525,604.9180993948443,0.4430863632329413,,480,8.0
154,K08,902.3278941223551,636.8454168718841,282.9551878751856,1845.363590772317,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,3988,250905_mACPOLR2A_Kinetic_pSer2,K,08,376.60305862263573,0.5908975741223725,712.8845583187695,0.5221689128931317,,60,1.0
155,K09,748.1525559108535,528.4406525610458,278.87433550154776,1851.6615204678362,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,4275,250905_mACPOLR2A_Kinetic_pSer2,K,09,268.1982943117974,0.4208083759919678,558.7092201072678,0.4092395924170494,,120,2.0
156,K10,715.7259956416679,460.4662895652356,311.78640119054563,1840.743309285548,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,4297,250905_mACPOLR2A_Kinetic_pSer2,K,10,200.22393131598722,0.3141552692868922,526.2826598380822,0.38548800244776155,,240,4.0
157,K11,778.3696305474097,473.8784133145439,278.5595035985052,1915.5588958731894,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,3659,250905_mACPOLR2A_Kinetic_pSer2,K,11,213.63605506529547,0.335199154103655,588.926294743824,0.4313727931290864,,480,8.0
158,K12,1504.037967067317,258.6740097850609,331.0506098221658,1560.0177584846092,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2534,250905_mACPOLR2A_Kinetic_pSer2,K,12,-1.5683484641875225,-0.00246076945380192,1314.5946312637311,0.9629054823700992,,0,0.0
169,L03,1590.460097629134,271.91141105253496,344.6815440405623,1549.5596816976126,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1131,250905_mACPOLR2A_Kinetic_pSer2,L,03,11.669052803286547,0.018308972367314318,1401.0167618255482,1.0262073864985846,,0,0.0
170,L04,850.930776461751,604.6617882125873,295.1224505669997,2004.9217974905164,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3427,250905_mACPOLR2A_Kinetic_pSer2,L,04,344.4194299633389,0.5404008304931887,661.4874406581653,0.48452189593715866,,60,1.0
171,L05,706.2171648745447,509.40856639647455,286.406824852877,1905.3620981387478,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,4137,250905_mACPOLR2A_Kinetic_pSer2,L,05,249.16620814722614,0.39094666008805673,516.773829070959,0.3785230376906861,,120,2.0
172,L06,602.6899302889484,410.4673243283287,284.8050555637028,1941.7605449305738,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3817,250905_mACPOLR2A_Kinetic_pSer2,L,06,150.22496607908027,0.2357059136837527,413.2465944853627,0.30269210138048985,,240,4.0
173,L07,673.30485883013,426.25131007956844,271.1120535547774,1873.437222715173,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,4508,250905_mACPOLR2A_Kinetic_pSer2,L,07,166.00895183032003,0.26047129643051165,483.8615230265443,0.3544156519050435,,480,8.0
174,L08,873.8002824931978,617.5481628038307,283.2952644712629,1919.711077080143,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3918,250905_mACPOLR2A_Kinetic_pSer2,L,08,357.30580455458227,0.5606198045850262,684.3569466896121,0.5012731987441745,,60,1.0
175,L09,661.9399379368564,473.14179456022305,279.65007788063417,1956.5371167975677,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3947,250905_mACPOLR2A_Kinetic_pSer2,L,09,212.89943631097464,0.33404338485267454,472.4966021332707,0.34609115066749035,,120,2.0
176,L10,627.2971916404312,416.98672202744376,273.98855239868766,1864.5518509438589,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,4079,250905_mACPOLR2A_Kinetic_pSer2,L,10,156.74436377819535,0.24593497634520645,437.85385583684547,0.3207162635807256,,240,4.0
177,L11,663.4756169483564,422.216455569681,273.5185030241652,1914.12245398773,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,4075,250905_mACPOLR2A_Kinetic_pSer2,L,11,161.97409732043258,0.254140530688595,474.03228114477076,0.3472159945578937,,480,8.0
178,L12,1586.6633553327745,261.34179057195746,331.01698053476565,1486.4966236955188,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1629,250905_mACPOLR2A_Kinetic_pSer2,L,12,1.099432322709049,0.0017250308448808099,1397.220019529189,1.0234263740972207,,0,0.0
189,M03,1608.994805688682,267.5406119189377,337.73967287158183,1624.186150409531,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1343,250905_mACPOLR2A_Kinetic_pSer2,M,03,7.298253669689302,0.011451102931881254,1419.5514698850961,1.0397835654819958,,480,8.0
190,M04,886.2732044877038,621.0745758480133,280.63226890158063,1961.192391304348,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3680,250905_mACPOLR2A_Kinetic_pSer2,M,04,360.8322175987649,0.566152815710273,696.8298686841181,0.5104092812170954,,60,1.0
191,M05,680.7871727202005,489.16447649556,284.7662045503328,1929.2996632996633,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3564,250905_mACPOLR2A_Kinetic_pSer2,M,05,228.92211824631158,0.3591832865867491,491.3438369166148,0.3598962471351007,,120,2.0
192,M06,619.0317015481074,415.616624450764,282.3460520582716,1898.0625698324022,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3580,250905_mACPOLR2A_Kinetic_pSer2,M,06,155.37426620151558,0.2437852664163175,429.58836574452175,0.31466201268459704,,240,4.0
193,M07,656.6221344788966,418.2380384148871,280.9011239495024,1902.6072282753123,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,3763,250905_mACPOLR2A_Kinetic_pSer2,M,07,157.9956801656387,0.24789831626205172,467.1787986753109,0.34219600156064073,,480,8.0
194,M08,860.7831954710323,608.8710050237577,276.96879899239104,1882.4055676855896,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3664,250905_mACPOLR2A_Kinetic_pSer2,M,08,348.62864677450926,0.5470051741004133,671.3398596674466,0.4917385299116368,,60,1.0
195,M09,670.7966935438366,473.90986106710784,279.08913149355755,1932.7133794694348,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3468,250905_mACPOLR2A_Kinetic_pSer2,M,09,213.66750281785943,0.3352484962432797,481.3533577402509,0.3525784877729029,,120,2.0
196,M10,618.2053946312495,409.11803173641516,272.10007053610286,1869.0287984111221,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647,4028,250905_mACPOLR2A_Kinetic_pSer2,M,10,148.87567348716675,0.23358884718339298,428.76205882766385,0.31405676492118734,,240,4.0
197,M11,654.0741831328928,408.7497251051044,274.529785697463,1990.0554545454545,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,3300,250905_mACPOLR2A_Kinetic_pSer2,M,11,148.507366855856,0.23301096686619466,464.63084732930713,0.3403296952016069,,480,8.0
198,M12,1581.8899818210682,262.1365392423895,323.53620450744233,1555.0367321089298,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1579,250905_mACPOLR2A_Kinetic_pSer2,M,12,1.8941809931411058,0.0029720070726173124,1392.4466460174826,1.0199300053957878,,480,8.0
209,N03,1521.0836685276868,266.14811821018304,300.4156497909097,1619.5477911646587,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1245,250905_mACPOLR2A_Kinetic_pSer2,N,03,5.905759960934631,0.009266253033175877,1331.640332724101,0.9753910037594995,,0,0.0
210,N04,1566.9755569636923,268.6405453096894,309.4176706840221,1681.190012180268,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1642,250905_mACPOLR2A_Kinetic_pSer2,N,04,8.39818706044099,0.013176919962333545,1377.5322211601065,1.0090055872367398,,0,0.0
211,N05,1650.9600395041884,267.76636973803704,318.15378389575824,1507.8110383536016,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1069,250905_mACPOLR2A_Kinetic_pSer2,N,05,7.524011488788631,0.01180532137113886,1461.5167037006026,1.0705219792476517,,0,0.0
212,N06,1525.6004215172588,265.85304541188907,312.21515917185627,1626.5082530949105,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1454,250905_mACPOLR2A_Kinetic_pSer2,N,06,5.610687162640659,0.008803278034143491,1336.157085713673,0.978699404777378,,0,0.0
213,N07,1571.9716775756092,266.8623638827935,320.18095378655624,1691.9115044247787,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1017,250905_mACPOLR2A_Kinetic_pSer2,N,07,6.620005633545077,0.010386918480813183,1382.5283417720234,1.0126651122442112,,0,0.0
214,N08,1553.1363281608185,263.1639826711039,311.47205565325277,1618.4648464163822,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1465,250905_mACPOLR2A_Kinetic_pSer2,N,08,2.9216244218554834,0.004584085933037932,1363.692992357233,0.9988687214918593,,0,0.0
216,N10,1579.5751816452162,268.48673376688464,300.5887182405049,1683.97417721519,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1975,250905_mACPOLR2A_Kinetic_pSer2,N,10,8.244375517636229,0.012935586639530072,1390.1318458416304,1.018234476046351,,0,0.0
218,N12,1665.1095814226787,264.25091469954367,318.31571392150244,1555.083523158694,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1317,250905_mACPOLR2A_Kinetic_pSer2,N,12,4.008556450295259,0.006289503571412816,1475.666245619093,1.0808861410678183,,0,0.0
10,C13,1565.2432441882727,277.64059568395714,326.799026123435,1689.8156996587031,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1758,250912_mACPOLR2A_Kinetic_pSer2,C,13,7.812500840026473,0.010572732829709861,1381.5122051502692,1.2208855688765667,,0,0.0
11,C14,1490.0705771099692,279.4682961860097,336.4635861268887,1663.4106976744185,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2150,250912_mACPOLR2A_Kinetic_pSer2,C,14,9.640201342079024,0.013046177568675512,1306.3395380719658,1.1544531305182821,,0,0.0
12,C15,1628.4782938844287,276.0765094856157,326.1167307399809,1655.1660516605166,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1355,250912_mACPOLR2A_Kinetic_pSer2,C,15,6.248414641685031,0.008456039873598177,1444.7472548464252,1.2767683611772196,,0,0.0
13,C16,1471.102164513443,273.53836651482294,310.8208915168693,1676.0843860535624,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1979,250912_mACPOLR2A_Kinetic_pSer2,C,16,3.7102716708922685,0.005021146481163415,1287.3711254754396,1.1376901507072739,,0,0.0
14,C17,1507.7618687582758,272.368048135826,337.8967573497683,1673.780487804878,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2255,250912_mACPOLR2A_Kinetic_pSer2,C,17,2.5399532918953014,0.003437343317464538,1324.0308297202723,1.170087478580994,,0,0.0
15,C18,1408.1731329030135,274.2561136986664,326.63653177760796,1688.974040632054,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2658,250912_mACPOLR2A_Kinetic_pSer2,C,18,4.42801885473574,0.0059924806761211405,1224.44209386501,1.082077796165539,,0,0.0
16,C19,1527.7262305873755,272.09847552113035,326.8878630323826,1693.303967327888,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1714,250912_mACPOLR2A_Kinetic_pSer2,C,19,2.2703806771996824,0.0030725280948176704,1343.995191549372,1.1877306098961653,,0,0.0
17,C20,1461.7826336584387,271.9202459953812,326.4565196708865,1693.3428912783752,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2511,250912_mACPOLR2A_Kinetic_pSer2,C,20,2.092151151450537,0.0028313283565139977,1278.0515946204353,1.129454189644348,,0,0.0
18,C21,1624.7911455352512,270.1560060453142,324.80256476768454,1656.704105344694,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1291,250912_mACPOLR2A_Kinetic_pSer2,C,21,0.3279112013835288,0.00044376539536928727,1441.0601064972477,1.273509912795051,,0,0.0
19,C22,1373.7035113055813,269.9541370178551,325.4744678196782,1734.742712294043,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,3156,250912_mACPOLR2A_Kinetic_pSer2,C,22,0.12604217392441797,0.00017057409112216856,1189.9724722675778,1.0516159128639988,,0,0.0
30,D13,1410.4328033166767,276.9741052077842,310.27467321335166,1715.2393405343946,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1759,250912_mACPOLR2A_Kinetic_pSer2,D,13,7.14601036385352,0.009670764832212806,1226.7017642786732,1.084074737624452,,480,8.0
31,D14,716.0286093655502,430.11834070565385,326.8911259180177,2171.3806078147613,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2073,250912_mACPOLR2A_Kinetic_pSer2,D,14,160.29024586172318,0.21692233759795196,532.2975703275467,0.47040802067345716,,480,8.0
32,D15,750.1916086211891,434.42451471613214,324.0667178807851,2110.1179094964946,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1569,250912_mACPOLR2A_Kinetic_pSer2,D,15,164.59641987220147,0.22274992446972156,566.4605695831856,0.5005989322160834,,480,8.0
33,D16,739.0924648841378,425.2110841876466,327.0039013148006,2062.4550468836183,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1813,250912_mACPOLR2A_Kinetic_pSer2,D,16,155.3829893437159,0.2102812999642757,555.3614258461344,0.4907902715579037,,480,8.0
34,D17,731.0812681424835,432.5081654265951,331.3517485774086,2014.5436720142602,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1683,250912_mACPOLR2A_Kinetic_pSer2,D,17,162.68007058266443,0.22015651047059925,547.3502291044799,0.4837105262940875,,480,8.0
35,D18,756.0210591763375,443.5765884728545,331.395701634861,1846.9203480589022,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1494,250912_mACPOLR2A_Kinetic_pSer2,D,18,173.74849362892382,0.2351355142634369,572.2900201383341,0.5057506000990943,,480,8.0
36,D19,724.965345704397,423.12333912132016,320.1665569479837,2034.6512292738707,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1749,250912_mACPOLR2A_Kinetic_pSer2,D,19,153.2952442773895,0.20745593440530838,541.2343066663934,0.47830569424324365,,480,8.0
37,D20,710.1490174321981,420.1620200642492,310.0216862756648,1917.2088495575222,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1695,250912_mACPOLR2A_Kinetic_pSer2,D,20,150.33392522031852,0.20344835272883285,526.4179783941945,0.4652120412853981,,480,8.0
38,D21,745.8955821332808,424.0368894856973,323.1738486686915,1985.5911413969336,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1761,250912_mACPOLR2A_Kinetic_pSer2,D,21,154.20879464176664,0.20869225093529303,562.1645430952772,0.4968023991684233,,480,8.0
39,D22,1436.8665396929473,267.82611916507835,327.9219980072308,1700.5741079597437,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2186,250912_mACPOLR2A_Kinetic_pSer2,D,22,-2.001975678852318,-0.0027092930186502057,1253.1355006549438,1.1074350576802316,,480,8.0
50,E13,1391.4698861223872,273.5050208104549,319.3151463975685,1671.4427860696517,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2613,250912_mACPOLR2A_Kinetic_pSer2,E,13,3.676925966524209,0.004976019417432976,1207.7388470843837,1.067316614272374,,0,0.0
51,E14,726.6042388207352,445.437968106641,320.0084536085705,2109.1228175797714,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1661,250912_mACPOLR2A_Kinetic_pSer2,E,14,175.60987326271032,0.23765453729660707,542.8731997827317,0.4797540353778418,,480,8.0
52,E15,631.8436811218744,427.82388154219393,324.61965594762916,1972.6548619447778,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,1666,250912_mACPOLR2A_Kinetic_pSer2,E,15,157.99578669826326,0.21381722385515983,448.11264208387087,0.39601116509270345,,240,4.0
53,E16,666.5914571041649,469.7836614016713,320.6198329962127,2021.1258278145694,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,1661,250912_mACPOLR2A_Kinetic_pSer2,E,16,199.9555665577406,0.2706017991315948,482.86041806616134,0.4267188621287349,,120,2.0
54,E17,801.1235308985979,578.1183539454662,317.0988659797393,2033.0950131233596,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,1905,250912_mACPOLR2A_Kinetic_pSer2,E,17,308.2902591015355,0.4172121847057004,617.3924918605944,0.5456090658014525,,60,1.0
55,E18,711.4820593752742,447.76700304625206,316.9479480074408,2040.5169154228856,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2010,250912_mACPOLR2A_Kinetic_pSer2,E,18,177.9389082023214,0.2408064427711521,527.7510203372706,0.4663900921668463,,480,8.0
56,E19,630.4350186429656,424.2968756342021,323.43163798962144,1939.8189894503055,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,1801,250912_mACPOLR2A_Kinetic_pSer2,E,19,154.4687807902714,0.2090440927006703,446.70397960496206,0.394766285977263,,240,4.0
57,E20,673.1747832548548,482.7228299295194,317.87816688921464,1960.8814460393407,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,1881,250912_mACPOLR2A_Kinetic_pSer2,E,20,212.8947350855887,0.28811250084987644,489.44374421685126,0.43253675346738635,,120,2.0
58,E21,818.4680399035758,581.9799590573833,318.0612426619756,2219.8402555910543,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,1565,250912_mACPOLR2A_Kinetic_pSer2,E,21,312.15186421345265,0.4224381321939829,634.7370008655723,0.5609369511900031,,60,1.0
59,E22,1377.0218477123185,272.55527371120985,318.64122379507756,1704.0637779941578,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2054,250912_mACPOLR2A_Kinetic_pSer2,E,22,2.7271788672791786,0.00369071749661096,1193.290808674315,1.0545484305909938,,0,0.0
70,F13,1298.4640992814705,266.2794325352442,305.858774461182,1716.244460077383,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2843,250912_mACPOLR2A_Kinetic_pSer2,F,13,-3.5486623086864597,-0.004802438970678714,1114.733060243467,0.9851244899083809,,0,0.0
71,F14,834.1176976754532,523.7310942058778,313.6802073003968,2126.7021803766106,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,2018,250912_mACPOLR2A_Kinetic_pSer2,F,14,253.90299936194708,0.3436093808991851,650.3866586374497,0.5747670435050137,,480,8.0
72,F15,718.6038311032949,482.5289237217595,322.29717869334416,2027.7900302114804,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,1986,250912_mACPOLR2A_Kinetic_pSer2,F,15,212.70082887782883,0.2878500857064228,534.8727920652914,0.4726838247123564,,240,4.0
73,F16,735.5117021913991,525.610383670852,316.2804676920983,1939.0962962962963,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,1755,250912_mACPOLR2A_Kinetic_pSer2,F,16,255.78228882692133,0.3461526414798513,551.7806631533956,0.4876258395095739,,120,2.0
74,F17,881.5643251594756,654.0069560717933,323.72624697246937,2030.5513368983957,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,1870,250912_mACPOLR2A_Kinetic_pSer2,F,17,384.1788612278626,0.5199129627959961,697.8332861214722,0.6166971130122929,,60,1.0
75,F18,853.2958429973495,520.0390625768873,317.29272087790247,1990.0041536863966,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,1926,250912_mACPOLR2A_Kinetic_pSer2,F,18,250.21096773295665,0.3386129188428659,669.5648039593459,0.5917153706888288,,480,8.0
