,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,GFP_Intensity_FC,IF_561_Intensity_BGS,IF_561_Intensity_FC,IF_647_Intensity,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
31,E05,1374.6951114220767,732.7593720049415,317.14831754961205,1835.3828182039426,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,4109,250905_mACPOLR2A_Kinetic_pSer2,E,05,472.5170137556931,0.7413884480411517,1185.2517756184911,0.868165292623181,,120,2.0
32,E06,1379.345871908386,677.6590660141177,337.5768078650541,2036.4329019073568,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,2936,250905_mACPOLR2A_Kinetic_pSer2,E,06,417.4167077648693,0.6549349888938572,1189.9025361048002,0.8715718505559121,,240,4.0
33,E07,1741.5357181722406,933.6464795933653,316.9651504521654,1869.9359203472045,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,3917,250905_mACPOLR2A_Kinetic_pSer2,E,07,673.4041213441169,1.0565842538866994,1552.0923823686549,1.1368662465104948,,0,0.0
34,E08,1414.391575306382,778.8715721204479,311.86673627273154,1860.7681198181333,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,3739,250905_mACPOLR2A_Kinetic_pSer2,E,08,518.6292138711995,0.8137393930529945,1224.9482395027962,0.8972418929651123,,60,1.0
35,E09,1282.3713748342398,706.067340797212,306.64178416860995,1880.5657561962569,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,3954,250905_mACPOLR2A_Kinetic_pSer2,E,09,445.82498254796354,0.6995081283572636,1092.928039030654,0.8005406195877663,,120,2.0
36,E10,1300.2059024048674,653.754430509106,313.7485965740762,1891.9290838852098,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,3624,250905_mACPOLR2A_Kinetic_pSer2,E,10,393.5120722598576,0.6174281476540342,1110.7625666012818,0.8136039350500619,,240,4.0
37,E11,1669.0351171746477,909.7480505135586,314.6941715122989,1909.1819727891157,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2940,250905_mACPOLR2A_Kinetic_pSer2,E,11,649.5056922643103,1.0190871506495656,1479.591781371062,1.0837614912380662,,0,0.0
38,E12,1912.639700177735,254.49412961290054,377.9424239276591,1544.792611795204,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1543,250905_mACPOLR2A_Kinetic_pSer2,E,12,-5.748228636347875,-0.009019083299910724,1723.1963643741492,1.2621953467594917,,0,0.0
49,F03,1786.1962154510331,270.63788806145493,362.93804010854217,1526.002621231979,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1526,250905_mACPOLR2A_Kinetic_pSer2,F,03,10.395529812206519,0.016310789854483747,1596.7528796474476,1.1695788688295017,,0,0.0
50,F04,1012.3654011222718,651.6589263837187,283.32872927454537,1928.7079697498546,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,3438,250905_mACPOLR2A_Kinetic_pSer2,F,04,391.4165681344703,0.6141402606443445,822.9220653186861,0.6027684499950761,,60,1.0
51,F05,936.8434316955991,538.3549960475532,322.2655782288383,1912.0101314348303,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,3652,250905_mACPOLR2A_Kinetic_pSer2,F,05,278.1126377983048,0.4363641750781971,747.4000958920134,0.5474506229852218,,120,2.0
52,F06,879.1923044505437,471.08210740656455,309.057387081976,1845.030547004499,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,4223,250905_mACPOLR2A_Kinetic_pSer2,F,06,210.83974915731613,0.33081169537304306,689.748968646958,0.5052227109210174,,240,4.0
53,F07,940.7330757058058,479.6163765730891,304.8877934927633,1878.2063119457487,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,3834,250905_mACPOLR2A_Kinetic_pSer2,F,07,219.3740183238407,0.34420213082476303,751.2897399022202,0.5502996834125382,,480,8.0
54,F08,1097.4686948474332,645.8664599664138,299.38526933064793,1842.350395532806,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,4298,250905_mACPOLR2A_Kinetic_pSer2,F,08,385.6241017171654,0.6050517673997889,908.0253590438475,0.6651043413389612,,60,1.0
55,F09,924.3764969012393,534.9131738137758,295.28407696078114,1829.9917159763313,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,4225,250905_mACPOLR2A_Kinetic_pSer2,F,09,274.67081556452735,0.4309638885910462,734.9331610976536,0.5383189259766166,,120,2.0
56,F10,825.7859065109466,456.88441693736706,288.29934118658883,1887.0882213812677,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,4228,250905_mACPOLR2A_Kinetic_pSer2,F,10,196.64205868811865,0.3085352409887587,636.3425707073609,0.4661039497860799,,240,4.0
57,F11,954.2929096118578,468.478400127511,299.47189740332317,1866.800131061599,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,3052,250905_mACPOLR2A_Kinetic_pSer2,F,11,208.2360418782626,0.3267264276629389,764.8495738082721,0.5602318998522279,,480,8.0
58,F12,1813.031488142542,253.94718515098558,366.29621998721007,1569.9623983739837,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1968,250905_mACPOLR2A_Kinetic_pSer2,F,12,-6.295173098262836,-0.009877249871651337,1623.5881523389562,1.1892349898732262,,0,0.0
69,G03,1856.3118663925043,268.0106487000382,365.64760361773585,1612.179398148148,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1728,250905_mACPOLR2A_Kinetic_pSer2,G,03,7.768290450789777,0.012188599846315144,1666.8685305889185,1.2209367118374166,,0,0.0
