,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
25,250905_mACPOLR2A_Kinetic_pSer2,D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2841,877.4649174256006,617.2225591763522,0.9684342826231838
26,250905_mACPOLR2A_Kinetic_pSer2,D20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2461,868.9932531377451,608.7508948884968,0.9551420754521078
27,250905_mACPOLR2A_Kinetic_pSer2,D21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2814,870.298879382914,610.0565211336657,0.9571906285992926
28,250905_mACPOLR2A_Kinetic_pSer2,D22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1278,252.4986553370627,-7.743702912185711,-0.012150021516739384
29,250905_mACPOLR2A_Kinetic_pSer2,E03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2009,268.71455760678157,8.472199357533157,0.013293046705878686
30,250905_mACPOLR2A_Kinetic_pSer2,E04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3652,797.1879915063496,536.9456332571012,0.8424782137660316
31,250905_mACPOLR2A_Kinetic_pSer2,E05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4109,732.7593720049415,472.5170137556931,0.7413884480411517
32,250905_mACPOLR2A_Kinetic_pSer2,E06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,2936,677.6590660141177,417.4167077648693,0.6549349888938572
33,250905_mACPOLR2A_Kinetic_pSer2,E07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3917,933.6464795933653,673.4041213441169,1.0565842538866994
34,250905_mACPOLR2A_Kinetic_pSer2,E08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3739,778.8715721204479,518.6292138711995,0.8137393930529945
35,250905_mACPOLR2A_Kinetic_pSer2,E09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3954,706.067340797212,445.82498254796354,0.6995081283572636
36,250905_mACPOLR2A_Kinetic_pSer2,E10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3624,653.754430509106,393.5120722598576,0.6174281476540342
37,250905_mACPOLR2A_Kinetic_pSer2,E11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2940,909.7480505135586,649.5056922643103,1.0190871506495656
38,250905_mACPOLR2A_Kinetic_pSer2,E12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1543,254.49412961290054,-5.748228636347875,-0.009019083299910724
39,250905_mACPOLR2A_Kinetic_pSer2,E13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1716,255.52171089537617,-4.720647353872238,-0.0074067881442390505
40,250905_mACPOLR2A_Kinetic_pSer2,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3850,748.4186068782467,488.1762486289983,0.7659580942173932
41,250905_mACPOLR2A_Kinetic_pSer2,E15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4165,666.8739381725246,406.6315799232762,0.6380129121016376
42,250905_mACPOLR2A_Kinetic_pSer2,E16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4021,628.6055578075274,368.36319955827895,0.5779690738864851
43,250905_mACPOLR2A_Kinetic_pSer2,E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3664,622.5573128755115,362.31495462626305,0.568479259143352
44,250905_mACPOLR2A_Kinetic_pSer2,E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3237,736.6377248222251,476.3953665729767,0.747473659562548
45,250905_mACPOLR2A_Kinetic_pSer2,E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3489,706.0213990080869,445.77904075883845,0.6994360447904329
46,250905_mACPOLR2A_Kinetic_pSer2,E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3189,638.9877248296744,378.74536658042604,0.5942588972616777
