DRUG_CONCENTRATION,Mean,SD,N
0,1.0,0.07243867771126557,36
10,0.9512120606819511,0.070352970661271,12
100,0.8024651342805272,0.06286570426042835,12
1000,0.6970600277575025,0.062269749517573414,12
10000,0.6815418724770311,0.038790798958562606,12
