,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
49,250905_mACPOLR2A_Kinetic_pSer2,F03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1526,1786.1962154510331,1596.7528796474476,1.1695788688295017
50,250905_mACPOLR2A_Kinetic_pSer2,F04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3438,1012.3654011222718,822.9220653186861,0.6027684499950761
51,250905_mACPOLR2A_Kinetic_pSer2,F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3652,936.8434316955991,747.4000958920134,0.5474506229852218
52,250905_mACPOLR2A_Kinetic_pSer2,F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4223,879.1923044505437,689.748968646958,0.5052227109210174
53,250905_mACPOLR2A_Kinetic_pSer2,F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3834,940.7330757058058,751.2897399022202,0.5502996834125382
54,250905_mACPOLR2A_Kinetic_pSer2,F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,4298,1097.4686948474332,908.0253590438475,0.6651043413389612
55,250905_mACPOLR2A_Kinetic_pSer2,F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4225,924.3764969012393,734.9331610976536,0.5383189259766166
56,250905_mACPOLR2A_Kinetic_pSer2,F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4228,825.7859065109466,636.3425707073609,0.4661039497860799
57,250905_mACPOLR2A_Kinetic_pSer2,F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3052,954.2929096118578,764.8495738082721,0.5602318998522279
58,250905_mACPOLR2A_Kinetic_pSer2,F12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1968,1813.031488142542,1623.5881523389562,1.1892349898732262
69,250905_mACPOLR2A_Kinetic_pSer2,G03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1728,1856.3118663925043,1666.8685305889185,1.2209367118374166
70,250905_mACPOLR2A_Kinetic_pSer2,G04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3653,993.8167001415899,804.3733643380042,0.5891820215703892
71,250905_mACPOLR2A_Kinetic_pSer2,G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3898,780.3951238082163,590.9517880046307,0.4328564128845235
72,250905_mACPOLR2A_Kinetic_pSer2,G06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3869,712.4070382613986,522.9637024578129,0.3830569547458994
73,250905_mACPOLR2A_Kinetic_pSer2,G07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4250,791.710477870995,602.2671420674093,0.4411446077416212
74,250905_mACPOLR2A_Kinetic_pSer2,G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3880,970.8500318749223,781.4066960713366,0.5723595500192232
75,250905_mACPOLR2A_Kinetic_pSer2,G09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3869,755.9333498686307,566.490014065045,0.41493881633060936
76,250905_mACPOLR2A_Kinetic_pSer2,G10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3889,693.0790515053058,503.6357157017201,0.36889972028897217
77,250905_mACPOLR2A_Kinetic_pSer2,G11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3374,773.0876383440998,583.6443025405141,0.42750387481050633
78,250905_mACPOLR2A_Kinetic_pSer2,G12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2293,1657.9812749438147,1468.537939140229,1.075664846818416
89,250905_mACPOLR2A_Kinetic_pSer2,H03,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1662,1560.9833963288459,1371.5400605252603,1.0046164894956446
90,250905_mACPOLR2A_Kinetic_pSer2,H04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3649,878.2662180871795,688.8228822835938,0.5045443773760414
91,250905_mACPOLR2A_Kinetic_pSer2,H05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4187,744.4196902326098,554.9763544290241,0.40650536793366115
92,250905_mACPOLR2A_Kinetic_pSer2,H06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3646,682.3649280229331,492.9215922193474,0.36105191078586374
93,250905_mACPOLR2A_Kinetic_pSer2,H07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4140,738.4331147036386,548.9897789000529,0.40212036113355915
94,250905_mACPOLR2A_Kinetic_pSer2,H08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,4302,936.1138546531141,746.6705188495284,0.5469162272731803
95,250905_mACPOLR2A_Kinetic_pSer2,H09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3915,747.0188165776683,557.5754807740826,0.4084091586137003
96,250905_mACPOLR2A_Kinetic_pSer2,H10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4137,673.6744458750112,484.2311100714255,0.3546863645515625
97,250905_mACPOLR2A_Kinetic_pSer2,H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3880,722.730324396474,533.2869885928883,0.3906184863231154
98,250905_mACPOLR2A_Kinetic_pSer2,H12,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2502,1569.5022299973486,1380.058894193763,1.0108563077998733
109,250905_mACPOLR2A_Kinetic_pSer2,I03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1621,1639.1529119690388,1449.7095761654532,1.0618735734469151
110,250905_mACPOLR2A_Kinetic_pSer2,I04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3759,1360.1138139395814,1170.6704781359958,0.8574848813754438
111,250905_mACPOLR2A_Kinetic_pSer2,I05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3934,1509.6334230414445,1320.1900872378587,0.9670040045348129
112,250905_mACPOLR2A_Kinetic_pSer2,I06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,4049,1520.6623915818666,1331.219055778281,0.9750824296400874
113,250905_mACPOLR2A_Kinetic_pSer2,I07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,4156,1480.0222618298287,1290.5789260262432,0.945314619235407
114,250905_mACPOLR2A_Kinetic_pSer2,I08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3749,1457.1021411072043,1267.6588053036185,0.9285262425179517
115,250905_mACPOLR2A_Kinetic_pSer2,I09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3918,1432.336901123745,1242.8935653201593,0.9103863651860625
116,250905_mACPOLR2A_Kinetic_pSer2,I10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,4003,1482.0370913628196,1292.593755559234,0.9467904280948218
117,250905_mACPOLR2A_Kinetic_pSer2,I11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3963,1386.8240175543658,1197.3806817507802,0.8770493926584187
118,250905_mACPOLR2A_Kinetic_pSer2,I12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2027,1639.3226449866122,1449.8793091830266,1.061997898352307
129,250905_mACPOLR2A_Kinetic_pSer2,J03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1956,1561.7808898504527,1372.337554046867,1.0052006322160294
130,250905_mACPOLR2A_Kinetic_pSer2,J04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3641,1131.1909107381553,941.7475749345696,0.6898049644714545
131,250905_mACPOLR2A_Kinetic_pSer2,J05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4048,1089.6045225461237,900.161186742538,0.6593440450140368
132,250905_mACPOLR2A_Kinetic_pSer2,J06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4027,1038.2733295737596,848.8299937701739,0.6217453161327449
133,250905_mACPOLR2A_Kinetic_pSer2,J07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4176,1064.443544136596,875.0002083330104,0.6409142998468595
134,250905_mACPOLR2A_Kinetic_pSer2,J08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,4063,1088.6399022270955,899.1965664235098,0.6586374863749641
135,250905_mACPOLR2A_Kinetic_pSer2,J09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4335,1040.4809647348593,851.0376289312736,0.6233623499689871
136,250905_mACPOLR2A_Kinetic_pSer2,J10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4481,1030.8030854438487,841.359749640263,0.6162735616798763
137,250905_mACPOLR2A_Kinetic_pSer2,J11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4501,1054.4402042471586,864.9968684435729,0.6335871203555731
138,250905_mACPOLR2A_Kinetic_pSer2,J12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1911,1547.581963430895,1358.1386276273092,0.9948002975668466
149,250905_mACPOLR2A_Kinetic_pSer2,K03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1469,1579.4809829119715,1390.037647108386,1.0181654779883063
150,250905_mACPOLR2A_Kinetic_pSer2,K04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3552,939.5226999545264,750.0793641509407,0.5494131154782737
151,250905_mACPOLR2A_Kinetic_pSer2,K05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3791,762.3013372354651,572.8580014318794,0.41960319712249944
152,250905_mACPOLR2A_Kinetic_pSer2,K06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3607,741.5971803897464,552.1538445861607,0.40443795480333056
153,250905_mACPOLR2A_Kinetic_pSer2,K07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4109,794.36143519843,604.9180993948443,0.4430863632329413
154,250905_mACPOLR2A_Kinetic_pSer2,K08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3988,902.3278941223551,712.8845583187695,0.5221689128931317
155,250905_mACPOLR2A_Kinetic_pSer2,K09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4275,748.1525559108535,558.7092201072678,0.4092395924170494
156,250905_mACPOLR2A_Kinetic_pSer2,K10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4297,715.7259956416679,526.2826598380822,0.38548800244776155
157,250905_mACPOLR2A_Kinetic_pSer2,K11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3659,778.3696305474097,588.926294743824,0.4313727931290864
158,250905_mACPOLR2A_Kinetic_pSer2,K12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2534,1504.037967067317,1314.5946312637311,0.9629054823700992
169,250905_mACPOLR2A_Kinetic_pSer2,L03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1131,1590.460097629134,1401.0167618255482,1.0262073864985846
170,250905_mACPOLR2A_Kinetic_pSer2,L04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3427,850.930776461751,661.4874406581653,0.48452189593715866
171,250905_mACPOLR2A_Kinetic_pSer2,L05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4137,706.2171648745447,516.773829070959,0.3785230376906861
172,250905_mACPOLR2A_Kinetic_pSer2,L06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3817,602.6899302889484,413.2465944853627,0.30269210138048985
173,250905_mACPOLR2A_Kinetic_pSer2,L07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4508,673.30485883013,483.8615230265443,0.3544156519050435
174,250905_mACPOLR2A_Kinetic_pSer2,L08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3918,873.8002824931978,684.3569466896121,0.5012731987441745
