,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
218,250905_mACPOLR2A_Kinetic_pSer2,N12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1317,1665.1095814226787,1475.666245619093,1.0808861410678183
10,250912_mACPOLR2A_Kinetic_pSer2,C13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1758,1565.2432441882727,1381.5122051502692,1.2208855688765667
11,250912_mACPOLR2A_Kinetic_pSer2,C14,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2150,1490.0705771099692,1306.3395380719658,1.1544531305182821
12,250912_mACPOLR2A_Kinetic_pSer2,C15,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1355,1628.4782938844287,1444.7472548464252,1.2767683611772196
13,250912_mACPOLR2A_Kinetic_pSer2,C16,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1979,1471.102164513443,1287.3711254754396,1.1376901507072739
14,250912_mACPOLR2A_Kinetic_pSer2,C17,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2255,1507.7618687582758,1324.0308297202723,1.170087478580994
15,250912_mACPOLR2A_Kinetic_pSer2,C18,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2658,1408.1731329030135,1224.44209386501,1.082077796165539
16,250912_mACPOLR2A_Kinetic_pSer2,C19,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1714,1527.7262305873755,1343.995191549372,1.1877306098961653
17,250912_mACPOLR2A_Kinetic_pSer2,C20,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2511,1461.7826336584387,1278.0515946204353,1.129454189644348
18,250912_mACPOLR2A_Kinetic_pSer2,C21,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1291,1624.7911455352512,1441.0601064972477,1.273509912795051
19,250912_mACPOLR2A_Kinetic_pSer2,C22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3156,1373.7035113055813,1189.9724722675778,1.0516159128639988
30,250912_mACPOLR2A_Kinetic_pSer2,D13,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1759,1410.4328033166767,1226.7017642786732,1.084074737624452
31,250912_mACPOLR2A_Kinetic_pSer2,D14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2073,716.0286093655502,532.2975703275467,0.47040802067345716
32,250912_mACPOLR2A_Kinetic_pSer2,D15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1569,750.1916086211891,566.4605695831856,0.5005989322160834
33,250912_mACPOLR2A_Kinetic_pSer2,D16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1813,739.0924648841378,555.3614258461344,0.4907902715579037
34,250912_mACPOLR2A_Kinetic_pSer2,D17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1683,731.0812681424835,547.3502291044799,0.4837105262940875
35,250912_mACPOLR2A_Kinetic_pSer2,D18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1494,756.0210591763375,572.2900201383341,0.5057506000990943
36,250912_mACPOLR2A_Kinetic_pSer2,D19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1749,724.965345704397,541.2343066663934,0.47830569424324365
37,250912_mACPOLR2A_Kinetic_pSer2,D20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1695,710.1490174321981,526.4179783941945,0.4652120412853981
38,250912_mACPOLR2A_Kinetic_pSer2,D21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1761,745.8955821332808,562.1645430952772,0.4968023991684233
39,250912_mACPOLR2A_Kinetic_pSer2,D22,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2186,1436.8665396929473,1253.1355006549438,1.1074350576802316
50,250912_mACPOLR2A_Kinetic_pSer2,E13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2613,1391.4698861223872,1207.7388470843837,1.067316614272374
51,250912_mACPOLR2A_Kinetic_pSer2,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1661,726.6042388207352,542.8731997827317,0.4797540353778418
52,250912_mACPOLR2A_Kinetic_pSer2,E15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1666,631.8436811218744,448.11264208387087,0.39601116509270345
53,250912_mACPOLR2A_Kinetic_pSer2,E16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1661,666.5914571041649,482.86041806616134,0.4267188621287349
54,250912_mACPOLR2A_Kinetic_pSer2,E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1905,801.1235308985979,617.3924918605944,0.5456090658014525
55,250912_mACPOLR2A_Kinetic_pSer2,E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2010,711.4820593752742,527.7510203372706,0.4663900921668463
56,250912_mACPOLR2A_Kinetic_pSer2,E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1801,630.4350186429656,446.70397960496206,0.394766285977263
57,250912_mACPOLR2A_Kinetic_pSer2,E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1881,673.1747832548548,489.44374421685126,0.43253675346738635
58,250912_mACPOLR2A_Kinetic_pSer2,E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1565,818.4680399035758,634.7370008655723,0.5609369511900031
59,250912_mACPOLR2A_Kinetic_pSer2,E22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2054,1377.0218477123185,1193.290808674315,1.0545484305909938
70,250912_mACPOLR2A_Kinetic_pSer2,F13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2843,1298.4640992814705,1114.733060243467,0.9851244899083809
71,250912_mACPOLR2A_Kinetic_pSer2,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2018,834.1176976754532,650.3866586374497,0.5747670435050137
72,250912_mACPOLR2A_Kinetic_pSer2,F15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1986,718.6038311032949,534.8727920652914,0.4726838247123564
73,250912_mACPOLR2A_Kinetic_pSer2,F16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1755,735.5117021913991,551.7806631533956,0.4876258395095739
74,250912_mACPOLR2A_Kinetic_pSer2,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1870,881.5643251594756,697.8332861214722,0.6166971130122929
75,250912_mACPOLR2A_Kinetic_pSer2,F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1926,853.2958429973495,669.5648039593459,0.5917153706888288
76,250912_mACPOLR2A_Kinetic_pSer2,F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1743,704.7124003451361,520.9813613071326,0.4604075326315063
77,250912_mACPOLR2A_Kinetic_pSer2,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1567,794.3996108344876,610.668571796484,0.5396669272217509
78,250912_mACPOLR2A_Kinetic_pSer2,F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1712,931.6207418235826,747.8897027855792,0.6609335348890243
79,250912_mACPOLR2A_Kinetic_pSer2,F22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2036,1391.3148513228723,1207.5838122848688,1.0671796051683677
90,250912_mACPOLR2A_Kinetic_pSer2,G13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2913,1257.3985857380685,1073.667546700065,0.948833610481665
91,250912_mACPOLR2A_Kinetic_pSer2,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2775,1001.3269384102766,817.5958993722732,0.7225350822055829
92,250912_mACPOLR2A_Kinetic_pSer2,G15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,2306,1006.2296711551184,822.4986321171148,0.7268677805588231
93,250912_mACPOLR2A_Kinetic_pSer2,G16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,2029,1030.914932381597,847.1838933435936,0.7486829184077703
94,250912_mACPOLR2A_Kinetic_pSer2,G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,2307,1030.964118177712,847.2330791397085,0.7487263854350225
95,250912_mACPOLR2A_Kinetic_pSer2,G18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2371,1046.4616500817465,862.730611043743,0.7624220393599778
96,250912_mACPOLR2A_Kinetic_pSer2,G19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,2125,962.4295480346515,778.6985089966479,0.6881602410717013
97,250912_mACPOLR2A_Kinetic_pSer2,G20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1828,1063.5948646222475,879.8638255842441,0.7775631972179995
98,250912_mACPOLR2A_Kinetic_pSer2,G21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1747,1143.7803931900055,960.049354152002,0.848425658147519
99,250912_mACPOLR2A_Kinetic_pSer2,G22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1770,1348.069285594085,1164.3382465560815,1.0289621454026492
110,250912_mACPOLR2A_Kinetic_pSer2,H13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3067,1238.7182162260292,1054.9871771880257,0.9323251833584679
111,250912_mACPOLR2A_Kinetic_pSer2,H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2647,1298.692946751233,1114.9619077132295,0.9853267295789863
112,250912_mACPOLR2A_Kinetic_pSer2,H15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,2343,574.1981366448338,390.46709760683024,0.34506799347273504
113,250912_mACPOLR2A_Kinetic_pSer2,H16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,2543,601.7447156194879,418.0136765814844,0.3694117673581172
114,250912_mACPOLR2A_Kinetic_pSer2,H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1931,797.9651023118919,614.2340632738883,0.5428178636191907
115,250912_mACPOLR2A_Kinetic_pSer2,H18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2201,1357.3988047871035,1173.6677657491,1.0372069334724545
116,250912_mACPOLR2A_Kinetic_pSer2,H19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,2002,562.5306731583853,378.79963412038177,0.33475709086695615
117,250912_mACPOLR2A_Kinetic_pSer2,H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1740,637.607691061008,453.8766520230045,0.40110500105543667
118,250912_mACPOLR2A_Kinetic_pSer2,H21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1944,772.350179006408,588.6191399684044,0.5201811542980858
119,250912_mACPOLR2A_Kinetic_pSer2,H22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1844,1258.9080945465332,1075.1770555085297,0.9501676106544296
130,250912_mACPOLR2A_Kinetic_pSer2,I13,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3651,1151.5325546898546,967.8015156518511,0.8552764858618763
131,250912_mACPOLR2A_Kinetic_pSer2,I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2730,633.1817636507624,449.45072461275885,0.39719367049757426
132,250912_mACPOLR2A_Kinetic_pSer2,I15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2293,625.4323753532104,441.7013363152069,0.3903452935488719
133,250912_mACPOLR2A_Kinetic_pSer2,I16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2189,639.5004634593529,455.76942442134936,0.40277770325646844
134,250912_mACPOLR2A_Kinetic_pSer2,I17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2305,600.3716998662724,416.64066082826884,0.3681983903697042
135,250912_mACPOLR2A_Kinetic_pSer2,I18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2340,632.16779672399,448.4367576859865,0.39629759619320004
136,250912_mACPOLR2A_Kinetic_pSer2,I19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2508,623.2550633446839,439.52402430668036,0.38842113478991064
137,250912_mACPOLR2A_Kinetic_pSer2,I20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1800,651.9495528275319,468.21851378952834,0.41377935311421343
138,250912_mACPOLR2A_Kinetic_pSer2,I21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1982,646.3290980261689,462.5980589881654,0.4088123813191574
139,250912_mACPOLR2A_Kinetic_pSer2,I22,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1937,1246.9156424897596,1063.1846034517562,0.9395695054788286
150,250912_mACPOLR2A_Kinetic_pSer2,J13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3341,1193.3470872886471,1009.6160482506436,0.8922292968677202
151,250912_mACPOLR2A_Kinetic_pSer2,J14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2221,633.0585220137273,449.32748297572374,0.39708475800618986
152,250912_mACPOLR2A_Kinetic_pSer2,J15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,2545,565.644744737021,381.9137056990175,0.33750909337307333
153,250912_mACPOLR2A_Kinetic_pSer2,J16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,2073,617.7533600280805,434.02232099007693,0.3835591073981578
154,250912_mACPOLR2A_Kinetic_pSer2,J17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,2233,807.9544918889992,624.2234528509957,0.5516457997974671
155,250912_mACPOLR2A_Kinetic_pSer2,J18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2059,616.2360502844522,432.50501124644865,0.38221821329486605
156,250912_mACPOLR2A_Kinetic_pSer2,J19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1848,563.2122741620854,379.4812351240818,0.33535944300401793
157,250912_mACPOLR2A_Kinetic_pSer2,J20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,2116,584.0075260469166,400.2764870089131,0.35373685786339815
158,250912_mACPOLR2A_Kinetic_pSer2,J21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1892,765.2983993724679,581.5673603344644,0.5139492759564547
159,250912_mACPOLR2A_Kinetic_pSer2,J22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2121,1245.0263234121323,1061.2952843741289,0.9378998550853834
170,250912_mACPOLR2A_Kinetic_pSer2,K13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,3209,1103.593551328471,919.8625122904675,0.8129112883833117
171,250912_mACPOLR2A_Kinetic_pSer2,K14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2300,750.0359383056954,566.3048992676918,0.5004613614867187
172,250912_mACPOLR2A_Kinetic_pSer2,K15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,2088,650.188552642252,466.4575136042485,0.41222310214156044
173,250912_mACPOLR2A_Kinetic_pSer2,K16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1987,698.2924190301961,514.5613799921925,0.4547339942359371
174,250912_mACPOLR2A_Kinetic_pSer2,K17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,2386,768.6365046846677,584.9054656466642,0.5168992640838571
175,250912_mACPOLR2A_Kinetic_pSer2,K18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2266,723.1929214172116,539.461882379208,0.4767393474342296
176,250912_mACPOLR2A_Kinetic_pSer2,K19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1929,660.8879762333786,477.15693719537506,0.4216785175979031
177,250912_mACPOLR2A_Kinetic_pSer2,K20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1955,646.3701210571309,462.63908201912733,0.40884863465539745
178,250912_mACPOLR2A_Kinetic_pSer2,K21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,2148,776.0036617067815,592.272622668778,0.5234098512928699
179,250912_mACPOLR2A_Kinetic_pSer2,K22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1958,1174.3456499663905,990.614610928387,0.8754371320731049
190,250912_mACPOLR2A_Kinetic_pSer2,L13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1911,1222.912233573067,1039.1811945350635,0.9183569418539957
191,250912_mACPOLR2A_Kinetic_pSer2,L14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,2061,1013.7563042352394,830.025265197236,0.7335193017509573
192,250912_mACPOLR2A_Kinetic_pSer2,L15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,2320,924.7848042779873,741.0537652399837,0.6548924029554477
193,250912_mACPOLR2A_Kinetic_pSer2,L16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1910,960.1394601774977,776.4084211394941,0.6861364187660891
194,250912_mACPOLR2A_Kinetic_pSer2,L17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1561,1049.825669136789,866.0946300987855,0.7653949282728777
195,250912_mACPOLR2A_Kinetic_pSer2,L18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1805,1006.8078780367018,823.0768389986983,0.7273787600745443
196,250912_mACPOLR2A_Kinetic_pSer2,L19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1977,894.2402930949411,710.5092540569376,0.6278992625599101
197,250912_mACPOLR2A_Kinetic_pSer2,L20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1893,995.0418336192511,811.3107945812476,0.7169807384150368
198,250912_mACPOLR2A_Kinetic_pSer2,L21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1954,1029.8708793098428,846.1398402718394,0.7477602560355567
199,250912_mACPOLR2A_Kinetic_pSer2,L22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1648,1232.6848171192357,1048.9537780812323,0.9269932797579814
210,250912_mACPOLR2A_Kinetic_pSer2,M13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2237,1177.0006864269983,993.2696473889948,0.8777834708803286
211,250912_mACPOLR2A_Kinetic_pSer2,M14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1733,1333.4172956781326,1149.6862566401292,1.0160137233930402
212,250912_mACPOLR2A_Kinetic_pSer2,M15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1506,554.528824913049,370.79778587504546,0.3276856071618891
213,250912_mACPOLR2A_Kinetic_pSer2,M16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1241,601.9384708846975,418.20743184669396,0.3695829949493802
214,250912_mACPOLR2A_Kinetic_pSer2,M17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1656,746.5163577050625,562.7853186670591,0.4973509979678216
215,250912_mACPOLR2A_Kinetic_pSer2,M18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1917,1271.6778164930029,1087.9467774549994,0.9614526135555189
216,250912_mACPOLR2A_Kinetic_pSer2,M19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,1859,536.0165367381296,352.2854977001261,0.31132571877625953
217,250912_mACPOLR2A_Kinetic_pSer2,M20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,1713,584.9168391047218,401.1858000667183,0.3545404462687171
218,250912_mACPOLR2A_Kinetic_pSer2,M21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,1729,749.2456903195406,565.514651281537,0.4997629946112518
219,250912_mACPOLR2A_Kinetic_pSer2,M22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2562,1131.5503430583858,947.8193040203823,0.837617580117758
230,250912_mACPOLR2A_Kinetic_pSer2,N13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1916,183.62841412333114,-0.10262491467238988,-9.06928486506433e-05
231,250912_mACPOLR2A_Kinetic_pSer2,N14,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,2241,1170.0553536019963,986.3243145639929,0.8716456629149134
232,250912_mACPOLR2A_Kinetic_pSer2,N15,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1554,183.89977679747875,0.16873775947522063,0.00014911883854508117
233,250912_mACPOLR2A_Kinetic_pSer2,N16,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1791,1180.0587962244297,996.3277571864262,0.8804860182091218
