,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
60,250905_mACPOLR2A_Kinetic_pSer2,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4212,1317.760267872654,1137.035002558937,0.8224520109578622
61,250905_mACPOLR2A_Kinetic_pSer2,F15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3696,1379.2858126225822,1198.5605473088654,0.8669553093532285
62,250905_mACPOLR2A_Kinetic_pSer2,F16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3946,1294.4961636868657,1113.7708983731488,0.8056243766038855
63,250905_mACPOLR2A_Kinetic_pSer2,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3595,1328.6510295893254,1147.9257642756086,0.8303296302524144
64,250905_mACPOLR2A_Kinetic_pSer2,F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3638,1512.127198457986,1331.4019331442692,0.9630435253473478
65,250905_mACPOLR2A_Kinetic_pSer2,F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2831,1418.2873185653475,1237.5620532516307,0.8951662851990224
66,250905_mACPOLR2A_Kinetic_pSer2,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2838,1383.288665163366,1202.5633998496492,0.8698506943803617
67,250905_mACPOLR2A_Kinetic_pSer2,F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3469,1260.8212494727056,1080.0959841589888,0.7812662866137458
68,250905_mACPOLR2A_Kinetic_pSer2,F22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1243,2358.864338398841,2178.1390730851244,1.5755142601354513
79,250905_mACPOLR2A_Kinetic_pSer2,G13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2105,1952.40100195008,1771.6757366363631,1.2815069624791964
80,250905_mACPOLR2A_Kinetic_pSer2,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3952,1364.7799740693197,1184.0547087556029,0.8564627949962288
81,250905_mACPOLR2A_Kinetic_pSer2,G15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3580,1302.5566480928583,1121.8313827791414,0.8114547702101365
82,250905_mACPOLR2A_Kinetic_pSer2,G16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3615,1141.7147753704528,960.9895100567361,0.6951129501526541
83,250905_mACPOLR2A_Kinetic_pSer2,G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3756,1199.7767180472977,1019.051452733581,0.7371109197905465
84,250905_mACPOLR2A_Kinetic_pSer2,G18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3496,1438.4446226730477,1257.7193573593308,0.9097466765339918
85,250905_mACPOLR2A_Kinetic_pSer2,G19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3714,1268.7056270589121,1087.9803617451953,0.7869692967993012
86,250905_mACPOLR2A_Kinetic_pSer2,G20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3055,1188.664831301844,1007.9395659881274,0.7290733540350801
87,250905_mACPOLR2A_Kinetic_pSer2,G21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3416,1155.4843899529294,974.7591246392127,0.7050729313124122
88,250905_mACPOLR2A_Kinetic_pSer2,G22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1342,2103.1560153087275,1922.4307499950107,1.3905526502722354
99,250905_mACPOLR2A_Kinetic_pSer2,H13,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2250,2043.2320303706956,1862.5067650569788,1.347207808815309
100,250905_mACPOLR2A_Kinetic_pSer2,H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3843,1385.2088251661037,1204.4835598523869,0.8712396045300566
101,250905_mACPOLR2A_Kinetic_pSer2,H15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3935,1290.1936515212515,1109.4683862075346,0.8025122386531485
102,250905_mACPOLR2A_Kinetic_pSer2,H16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3778,1154.6459042510644,973.9206389373477,0.7044664290938295
103,250905_mACPOLR2A_Kinetic_pSer2,H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3645,1188.7682172980346,1008.0429519843179,0.7291481362715816
104,250905_mACPOLR2A_Kinetic_pSer2,H18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3719,1390.1127447971376,1209.3874794834207,0.8747867587979925
105,250905_mACPOLR2A_Kinetic_pSer2,H19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3321,1317.224091290189,1136.4988259764723,0.822064178122915
106,250905_mACPOLR2A_Kinetic_pSer2,H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3447,1153.9418622387905,973.2165969250738,0.7039571740862964
107,250905_mACPOLR2A_Kinetic_pSer2,H21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3766,1113.645741317307,932.9204760035904,0.6748097638385127
108,250905_mACPOLR2A_Kinetic_pSer2,H22,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,987,2336.158977549465,2155.4337122357483,1.5590907818361317
119,250905_mACPOLR2A_Kinetic_pSer2,I13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1950,1833.4485527115219,1652.723287397805,1.195465036888129
120,250905_mACPOLR2A_Kinetic_pSer2,I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3917,1483.3712476556734,1302.6459823419566,0.9422434712495045
121,250905_mACPOLR2A_Kinetic_pSer2,I15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3964,1494.3941194829267,1313.66885416921,0.9502166498064112
122,250905_mACPOLR2A_Kinetic_pSer2,I16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3441,1536.0183571143202,1355.2930918006034,0.9803247272776261
123,250905_mACPOLR2A_Kinetic_pSer2,I17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4185,1452.5409365191053,1271.8156712053885,0.9199429692107269
124,250905_mACPOLR2A_Kinetic_pSer2,I18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3636,1605.6958174916438,1424.970552177927,1.0307245542634238
125,250905_mACPOLR2A_Kinetic_pSer2,I19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4030,1465.6312093681715,1284.9059440544547,0.9294115618261451
126,250905_mACPOLR2A_Kinetic_pSer2,I20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3673,1531.1527576349727,1350.4274923212558,0.9768052911412723
127,250905_mACPOLR2A_Kinetic_pSer2,I21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3785,1433.688752122199,1252.9634868084822,0.906306610670058
128,250905_mACPOLR2A_Kinetic_pSer2,I22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1517,2060.6436392860955,1879.9183739723787,1.3598021552815605
139,250905_mACPOLR2A_Kinetic_pSer2,J13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2455,1795.9516083338217,1615.2263430201049,1.1683423561977286
140,250905_mACPOLR2A_Kinetic_pSer2,J14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4307,1509.8144723065343,1329.0892069928175,0.9613706601586988
141,250905_mACPOLR2A_Kinetic_pSer2,J15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3963,1419.500528909237,1238.77526359552,0.8960438371519536
142,250905_mACPOLR2A_Kinetic_pSer2,J16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3905,1444.5052028435298,1263.779937529813,0.9141304785608128
143,250905_mACPOLR2A_Kinetic_pSer2,J17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3652,1382.4587529857774,1201.7334876720606,0.8692503936527324
144,250905_mACPOLR2A_Kinetic_pSer2,J18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3457,1532.060256775097,1351.3349914613802,0.9774617128794406
145,250905_mACPOLR2A_Kinetic_pSer2,J19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2984,1542.2216733084645,1361.4964079947476,0.9848117746130197
146,250905_mACPOLR2A_Kinetic_pSer2,J20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3785,1455.1809650740174,1274.4556997603006,0.9218525821857779
147,250905_mACPOLR2A_Kinetic_pSer2,J21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3594,1400.090075252725,1219.3648099390082,0.8820036654708051
148,250905_mACPOLR2A_Kinetic_pSer2,J22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1854,2069.094452184575,1888.3691868708581,1.3659148853619372
159,250905_mACPOLR2A_Kinetic_pSer2,K13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2180,1975.0265973380147,1794.3013320242978,1.297872743993439
160,250905_mACPOLR2A_Kinetic_pSer2,K14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4148,1385.0513929951637,1204.326127681447,0.8711257290510365
161,250905_mACPOLR2A_Kinetic_pSer2,K15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3835,1309.0777390314008,1128.352473717684,0.8161716736862591
162,250905_mACPOLR2A_Kinetic_pSer2,K16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3514,1211.6527822323837,1030.927516918667,0.7457012383377386
163,250905_mACPOLR2A_Kinetic_pSer2,K17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4358,1207.0971811499091,1026.3719158361923,0.7424060334733581
164,250905_mACPOLR2A_Kinetic_pSer2,K18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3495,1414.759675015054,1234.0344097013372,0.892614633292659
165,250905_mACPOLR2A_Kinetic_pSer2,K19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3649,1266.6893971526763,1085.9641318389595,0.785510896365537
166,250905_mACPOLR2A_Kinetic_pSer2,K20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3586,1253.470469681973,1072.7452043682563,0.7759492439480491
167,250905_mACPOLR2A_Kinetic_pSer2,K21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3619,1184.4770564884643,1003.7517911747476,0.7260442091020293
168,250905_mACPOLR2A_Kinetic_pSer2,K22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1780,1951.8596247194025,1771.1343594056857,1.2811153678571703
179,250905_mACPOLR2A_Kinetic_pSer2,L13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2104,1915.5035038330868,1734.77823851937,1.2548178795069578
180,250905_mACPOLR2A_Kinetic_pSer2,L14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4389,1342.6653657853003,1161.9401004715835,0.8404666260007239
181,250905_mACPOLR2A_Kinetic_pSer2,L15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4100,1166.4384729603944,985.7132076466777,0.7129963528231076
182,250905_mACPOLR2A_Kinetic_pSer2,L16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3738,1105.7774182879673,925.0521529742506,0.6691183664023892
183,250905_mACPOLR2A_Kinetic_pSer2,L17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3859,1097.4826680786966,916.7574027649799,0.6631185212132309
184,250905_mACPOLR2A_Kinetic_pSer2,L18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3292,1377.4610541276706,1196.7357888139538,0.8656354060166779
185,250905_mACPOLR2A_Kinetic_pSer2,L19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3958,1169.8176050450822,989.0923397313655,0.7154405818680262
186,250905_mACPOLR2A_Kinetic_pSer2,L20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3852,1081.0804753487785,900.3552100350618,0.6512543161848194
187,250905_mACPOLR2A_Kinetic_pSer2,L21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4002,1125.7581635036522,945.0328981899355,0.6835710473190657
