,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
139,J06,1211.5026308293316,212.07096570565147,443.48005229472597,573.009249487389,1737.6804541768045,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1233,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1050.150279841187,0.9000642892011125,Vehicle
142,J09,1204.7492243799475,212.54842120521147,444.9521092465602,603.9220765807208,1651.09140625,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1280,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1043.396873391803,0.8942760700364513,Vehicle
145,J12,1172.459510069417,224.3047013857093,253.28395101419773,595.3254628887289,1671.83407079646,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1356,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1011.1071590812726,0.8666011559624297,4 hrs
148,J15,1196.5118647777856,223.97149022034637,247.4587308006251,611.2959155266417,1678.125,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1376,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1035.159513789641,0.8872159822018463,4 hrs
151,J18,1240.5742019757827,231.93126042424018,243.45738907282734,614.6678155242581,1688.3166101694915,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1475,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1079.2218509876382,0.9249809925741261,24 hrs
154,J21,1265.0748928355235,233.41582651531596,245.98617749737954,614.1206111293423,1610.9103504482478,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1227,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1103.722541847379,0.9459800793971509,24 hrs
40,E06,2568.696558797402,213.66317867345967,437.4729425252595,661.6803753087567,1705.4837962962963,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1296,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,2407.3442078092576,1.0751345318890095,Vehicle
43,E09,2528.127591696951,216.93628138695507,440.7135821377684,702.8817033225833,1650.611111111111,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1350,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,2366.7752407088065,1.0570161849940065,Vehicle
46,E12,2461.9785615285978,224.69141797853203,252.5859577683345,657.5265282179561,1674.2416918429003,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1324,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,2300.626210540453,1.0274736267033147,4 hrs
49,E15,2668.3492380190046,224.84595188290683,249.80882447664564,648.6561323067102,1667.304347826087,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1403,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,2506.9968870308603,1.1196400231597836,4 hrs
52,E18,2736.649837941126,230.199252670217,242.14383320336057,638.4054870749209,1632.6717267552183,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,1054,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2575.2974869529817,1.1501434855590529,24 hrs
55,E21,2992.4687682658637,232.77366576989272,244.34145631401455,630.2335666364127,1653.3333333333333,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,834,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2831.116417277719,1.2643937722487684,24 hrs
159,K06,2198.1790709461584,210.68091417102886,436.1835728546238,578.2502975769285,1668.1127224785762,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1517,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,2036.8267199580139,0.9096591733734308,Vehicle
162,K09,2306.8451635186875,212.29831446940975,443.19342221221524,608.8452003851368,1687.6824324324325,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1036,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,2145.4928125305432,0.9581901097435533,Vehicle
165,K12,2265.24532046221,225.7639899994957,254.29859724501557,618.8585202386424,1636.5378250591016,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,846,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,2103.8929694740655,0.9396113673908411,4 hrs
