,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
42,250915_mACmChPOLR2A_PTEFB,E08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,2021,700.5374796189406,160.883634330374,2186.650227397465,2025.2978764093207,1.033253154741919
45,250915_mACmChPOLR2A_PTEFB,E11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1936,334.6760119538443,160.44311418656207,1801.2661592963175,1639.913808308173,0.8366404446852835
48,250915_mACmChPOLR2A_PTEFB,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1830,335.02278738641417,159.42280541169518,1849.2557016014753,1687.9033506133308,0.8611234338588739
51,250915_mACmChPOLR2A_PTEFB,E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,807,326.69948707651196,159.9611449153415,2840.442459991075,2679.09010900293,1.3668005774404364
54,250915_mACmChPOLR2A_PTEFB,E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,778,332.7507584911269,159.35439874929725,3064.375487697938,2903.023136709793,1.4810452572103288
158,250915_mACmChPOLR2A_PTEFB,K05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,2007,728.310850632611,159.76045143592927,2078.815576299601,1917.4632253114567,0.9782387814316081
161,250915_mACmChPOLR2A_PTEFB,K08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1937,707.1406394481994,156.30266161081926,2052.233202314941,1890.8808513267966,0.9646771606448057
164,250915_mACmChPOLR2A_PTEFB,K11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1985,339.43827926762856,156.16600044443328,1670.996885350072,1509.6445343619275,0.7701805229924145
167,250915_mACmChPOLR2A_PTEFB,K14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,2084,337.0798566419468,155.1063981472096,1660.1554237299258,1498.8030727417813,0.764649497383041
170,250915_mACmChPOLR2A_PTEFB,K17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,728,333.60730955872134,158.51853893299003,2546.1509426862235,2384.798591698079,1.2166608660375255
