,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
144,J11,1120.2230275193876,155.64827740236754,331.8662351108841,559.4438115731494,2064.6643092880718,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,2121,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,958.8706765312431,0.8888882288071677,4 hrs
147,J14,1182.4465005136715,155.54965416481187,327.6799049450512,567.9238225028806,1988.0456852791879,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1970,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1021.094149525527,0.9465703689057728,4 hrs
150,J17,1174.8841493190187,157.31817969968498,328.8848627381573,600.4921318874262,1772.7868504772005,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,943,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1013.5317983308742,0.9395599501667724,24 hrs
153,J20,1258.028541723837,158.19083547939042,332.4984964926199,616.0155249992655,1874.3337209302326,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,860,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1096.6761907356924,1.0166361122695968,24 hrs
39,E05,2168.1815046179645,162.11982105081796,694.1571249283045,644.3446857057942,2080.3405253283304,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,2132,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,2006.82915362982,1.0238309031816668,Vehicle
42,E08,2186.650227397465,160.883634330374,700.5374796189406,635.6775891486501,1953.2963879267688,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,2021,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,2025.2978764093207,1.033253154741919,Vehicle
45,E11,1801.2661592963175,160.44311418656207,334.6760119538443,651.8838359507671,2006.6652892561983,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1936,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1639.913808308173,0.8366404446852835,4 hrs
48,E14,1849.2557016014753,159.42280541169518,335.02278738641417,639.5797034697786,1998.8896174863387,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1830,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1687.9033506133308,0.8611234338588739,4 hrs
51,E17,2840.442459991075,159.9611449153415,326.69948707651196,654.064687698822,1785.0520446096655,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,807,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2679.09010900293,1.3668005774404364,24 hrs
54,E20,3064.375487697938,159.35439874929725,332.7507584911269,628.3412912650595,2014.4678663239074,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,778,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2903.023136709793,1.4810452572103288,24 hrs
158,K05,2078.815576299601,159.76045143592927,728.310850632611,584.0626862746357,2044.7234678624814,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,2007,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1917.4632253114567,0.9782387814316081,Vehicle
161,K08,2052.233202314941,156.30266161081926,707.1406394481994,557.3276921665164,2025.006711409396,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1937,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1890.8808513267966,0.9646771606448057,Vehicle
