,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
164,251007_mACmChPOLR2A_PTEFB,K18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,948,567.292498131313,294.1241754191905,1552.1438686330614,1347.7629096478952,1.0054723909060344
167,251007_mACmChPOLR2A_PTEFB,K21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,926,607.7238983096157,309.4040964732373,1619.6408781639016,1415.2599191787353,1.0558272263642319
52,251007_mACmChPOLR2A_PTEFB,F06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1096,293.7907582293065,317.2499220447799,493.6810550863996,289.3000961012334,0.9742071164272103
55,251007_mACmChPOLR2A_PTEFB,F09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1126,297.02654443163516,318.7637165098743,515.888120211462,311.5071612262958,1.0489885671469084
58,251007_mACmChPOLR2A_PTEFB,F12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1345,308.2233490347311,312.13518172863513,473.6246392017897,269.2436802166235,0.9066678955692486
61,251007_mACmChPOLR2A_PTEFB,F15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1145,302.04644888297963,301.59850399030717,435.18960820959944,230.80864922443322,0.7772393844235432
64,251007_mACmChPOLR2A_PTEFB,F18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1219,572.4323919178648,299.9612745836268,518.4867738767795,314.10581489161325,1.0577394349412834
67,251007_mACmChPOLR2A_PTEFB,F21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,904,586.0867133370886,301.72812518878436,487.5035881621749,283.12262917700866,0.9534047305304301
172,251007_mACmChPOLR2A_PTEFB,L06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,872,306.220763460384,325.777687678863,483.37999549333125,278.99903650816503,0.9395186883984952
175,251007_mACmChPOLR2A_PTEFB,L09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1202,304.29867163974626,319.96145312481616,488.54301046260264,284.1620514774364,0.9569049457591714
178,251007_mACmChPOLR2A_PTEFB,L12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1103,309.6435931932029,311.8283278645734,492.2533808585436,287.8724218733774,0.9693994775378324
181,251007_mACmChPOLR2A_PTEFB,L15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1021,304.6115169629329,307.45091957218233,471.6916684858032,267.31070950063696,0.9001586898941129
184,251007_mACmChPOLR2A_PTEFB,L18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,760,585.1572782551207,297.6182708137955,510.84229608892116,306.46133710375494,1.0319969455240132
187,251007_mACmChPOLR2A_PTEFB,L21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,943,587.7064365694416,301.46835409997135,488.5293334699044,284.14837448473816,0.9568588890042738
72,251007_mACmChPOLR2A_PTEFB,G06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1199,295.58519963395366,316.11727188469087,964.5881415009499,760.2071825157836,0.9555282298115549
75,251007_mACmChPOLR2A_PTEFB,G09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1533,295.82870758972894,316.0513906990629,935.8277170511009,731.4467580659347,0.9193783510742246
78,251007_mACmChPOLR2A_PTEFB,G12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1340,310.04667217575394,308.27071637813503,818.5931415108198,614.2121825256536,0.7720225393756315
81,251007_mACmChPOLR2A_PTEFB,G15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1806,303.12710418303664,301.73059921849136,798.0773069613265,593.6963479761603,0.7462355440392949
84,251007_mACmChPOLR2A_PTEFB,G18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,967,587.8759384056344,295.5788425299092,1028.8396222955917,824.4586633104254,1.0362879294283112
87,251007_mACmChPOLR2A_PTEFB,G21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1208,582.9181123486868,294.33327359381815,878.2617409019737,673.8807819168075,0.8470218717456336
192,251007_mACmChPOLR2A_PTEFB,M06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,903,309.20764249503384,320.6130079570997,923.1937410896302,718.812782104464,0.9034983107857402
195,251007_mACmChPOLR2A_PTEFB,M09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,959,305.02622862187417,315.6185543915808,910.87355268299,706.4925936978237,0.8880126799078744
198,251007_mACmChPOLR2A_PTEFB,M12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1012,310.40754570323134,307.8870182852365,919.068655291871,714.6876963067048,0.8983133611814633
201,251007_mACmChPOLR2A_PTEFB,M15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,999,308.190850436119,301.7511156416896,903.5284761546502,699.147517169484,0.8787804230516204
204,251007_mACmChPOLR2A_PTEFB,M18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,845,608.4285046648241,305.0945355545624,1076.0636452110582,871.682686225892,1.0956452836585957
207,251007_mACmChPOLR2A_PTEFB,M21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,637,595.0532936224149,299.54920089258803,1016.7124568568744,812.3314978717082,1.02104491516746
92,251007_mACmChPOLR2A_PTEFB,H06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,992,298.05788870415034,320.58572761620087,1787.451673055341,1583.0707140701747,0.9657997731936998
95,251007_mACmChPOLR2A_PTEFB,H09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,1244,302.30443363235185,317.95167273818646,1509.8268691019912,1305.445910116825,0.7964264342089166
98,251007_mACmChPOLR2A_PTEFB,H12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1515,310.8119893342821,308.6859281938434,1567.974020320697,1363.5930613355308,0.8319008479288815
101,251007_mACmChPOLR2A_PTEFB,H15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1286,303.7108749045604,303.4004466504052,1531.3137805686563,1326.93282158349,0.8095351690472886
104,251007_mACmChPOLR2A_PTEFB,H18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1032,582.5969426218772,295.84376872594856,1675.5012936164621,1471.120334631296,0.8975010862746359
107,251007_mACmChPOLR2A_PTEFB,H21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,825,584.3335295905973,295.82776398619933,1715.9107447358474,1511.5297857506812,0.9221540840081623
212,251007_mACmChPOLR2A_PTEFB,N06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,913,315.9926435799931,333.9612560624371,2079.472970958961,1875.0920119737948,1.1439561251344912
215,251007_mACmChPOLR2A_PTEFB,N09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,821,309.4675877073091,326.0114969543936,1929.0612812677011,1724.680322282535,1.0521929622521409
218,251007_mACmChPOLR2A_PTEFB,N12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,859,313.0528112970196,306.63523330116743,1827.1964698149022,1622.815510829736,0.9900472785987631
221,251007_mACmChPOLR2A_PTEFB,N15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,863,317.2768408763234,322.41057521474835,2006.8073992948796,1802.4264403097134,1.099624313543004
224,251007_mACmChPOLR2A_PTEFB,N18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,848,586.852398104707,293.3206196641061,1993.5568277361967,1789.1758687510305,1.0915404049138309
227,251007_mACmChPOLR2A_PTEFB,N21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,906,579.9765455019709,293.7263393647499,1989.072202550559,1784.6912435653928,1.088804424803371
