,WELL,IF_647_Intensity,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
23,D06,2283.039294974013,973.5039223804209,664.0007571992857,398.4206880869545,2462.596252129472,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2348,260522_mACPOLR2A_Kinetic_pSer2,D,06
24,D07,2477.309628767798,1052.7799797437053,683.235793962579,412.90897170160036,2285.974403723095,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,1719,260522_mACPOLR2A_Kinetic_pSer2,D,07
25,D08,2423.1268655634117,1085.700196045044,678.6353203095049,415.90681516459455,2360.274496644295,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,1490,260522_mACPOLR2A_Kinetic_pSer2,D,08
26,D09,2130.5331244919566,943.7746322248832,644.9579008432675,394.07985532592096,2500.5595903165736,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2148,260522_mACPOLR2A_Kinetic_pSer2,D,09
27,D10,2271.6409468862175,981.3766784510437,653.510920127233,407.23154889738896,2414.500466853408,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2142,260522_mACPOLR2A_Kinetic_pSer2,D,10
28,D11,2305.2429242441654,1004.8748088968061,668.9310653794676,426.2767043534845,2469.3171487603304,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,1936,260522_mACPOLR2A_Kinetic_pSer2,D,11
29,D12,2263.233470368772,1024.638684654177,247.04690524055997,404.6353425945474,1682.5490399584846,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,3854,260522_mACPOLR2A_Kinetic_pSer2,D,12
30,D13,2753.078857243197,836.0187149327459,249.10383969697477,444.1224404494794,1706.941393442623,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2440,260522_mACPOLR2A_Kinetic_pSer2,D,13
31,D14,2780.62614391354,825.4491038564066,668.213989117918,418.42078519087227,2444.1941209095953,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa568,1803,260522_mACPOLR2A_Kinetic_pSer2,D,14
32,D15,2824.280302823748,842.0404506335051,680.2321501895168,425.2467587473558,2393.3290358744393,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa568,1784,260522_mACPOLR2A_Kinetic_pSer2,D,15
33,D16,2816.251832736697,850.1412218051778,669.721206625152,419.170903153611,2526.397571277719,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa568,1894,260522_mACPOLR2A_Kinetic_pSer2,D,16
34,D17,2647.848404057979,814.9088489385991,648.1764065973856,400.07664102188954,2404.915254237288,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2242,260522_mACPOLR2A_Kinetic_pSer2,D,17
35,D18,2726.8577458420277,836.9367972844876,666.3796521105173,431.7638167013824,2346.647810218978,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa568,1644,260522_mACPOLR2A_Kinetic_pSer2,D,18
36,D19,2726.3384186806943,828.4304022186519,656.9285774073333,423.7514672355112,2399.6524035921816,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa568,1893,260522_mACPOLR2A_Kinetic_pSer2,D,19
37,D20,2872.2957063608073,886.0705018643215,666.2750563619023,431.28808598099056,2395.017554479419,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa568,1652,260522_mACPOLR2A_Kinetic_pSer2,D,20
38,D21,2825.305092623801,855.0418312784934,649.6176520163158,414.1204359406282,2289.5238536359425,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2159,260522_mACPOLR2A_Kinetic_pSer2,D,21
39,D22,2880.1996647197448,827.4362146472565,241.45598342881993,404.729797744818,1772.7966034755134,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2532,260522_mACPOLR2A_Kinetic_pSer2,D,22
40,E03,2309.1547251308966,1130.6703826161465,245.15970241581567,416.2409409183975,1780.4929747089523,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2491,260522_mACPOLR2A_Kinetic_pSer2,E,03
41,E04,1481.622474080345,992.9139257871608,517.139186185793,416.0227892107013,2384.7994143484625,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2049,260522_mACPOLR2A_Kinetic_pSer2,E,04
42,E05,1321.5974289034004,946.6504547350248,484.17608272871445,409.16260489730104,2370.742158671587,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2168,260522_mACPOLR2A_Kinetic_pSer2,E,05
43,E06,1312.6669152992824,934.284087209932,472.613242705451,408.4077702715433,2387.398696088265,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,1994,260522_mACPOLR2A_Kinetic_pSer2,E,06
44,E07,1440.7501669739554,952.2814878536061,490.14371615733035,403.6062418492619,2428.545913218971,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,1982,260522_mACPOLR2A_Kinetic_pSer2,E,07
