,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
0,C03,2593.2489339273325,275.54706372969923,458.7232144577456,1567.7804208600182,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1093,250905_mACPOLR2A_Kinetic_pSer2,C,03
1,C04,2269.083878975587,271.6190389126815,432.36593693534934,1663.1464108031273,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1407,250905_mACPOLR2A_Kinetic_pSer2,C,04
2,C05,2245.798431497741,272.1624857781509,411.88775564217,1646.881934566145,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1406,250905_mACPOLR2A_Kinetic_pSer2,C,05
3,C06,275.40860990860995,259.0146472162097,153.85438537157287,31.75,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,4,250905_mACPOLR2A_Kinetic_pSer2,C,06
4,C12,2172.1050049017167,259.53717048739577,389.2406979646787,1579.478834524464,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1819,250905_mACPOLR2A_Kinetic_pSer2,C,12
5,C13,2479.962438391381,258.0332006314005,453.1682114669231,1509.5020815986677,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1201,250905_mACPOLR2A_Kinetic_pSer2,C,13
6,C14,2216.1645140303544,257.9859189103405,399.4528002764804,1606.5588988476313,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1562,250905_mACPOLR2A_Kinetic_pSer2,C,14
7,C15,2345.7428752231085,254.88533918434305,431.0998862878229,1612.445588235294,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1360,250905_mACPOLR2A_Kinetic_pSer2,C,15
8,C16,2163.7754337725005,254.41471954505704,395.1102290827884,1622.3995061728394,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2025,250905_mACPOLR2A_Kinetic_pSer2,C,16
9,D03,2155.910886322869,271.4893327999883,405.80622193404116,1561.7441462021702,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1751,250905_mACPOLR2A_Kinetic_pSer2,D,03
10,D04,1751.5326855593253,945.7652556201078,316.2842977136059,1892.4781136008337,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647,3838,250905_mACPOLR2A_Kinetic_pSer2,D,04
