,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells
17,D19,395.2281212824272,901.3158417973706,13243.459872135685,556.4578941104623,1321.9856195061518,545.1919123180376,6081.493793527693,237.98708184728403,484.61087880585814,6283.359777665488,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,91034
18,D20,411.976283241209,917.1561157141471,14021.568923683119,590.5719615849722,1365.1829695260296,533.7927618243427,6120.299968892576,251.37555426298812,512.9135432707843,7130.679832019909,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,96440
19,D21,414.07409789481915,936.5561384680431,13519.09641687323,586.5757395967789,1378.190558618841,557.5604528743934,6101.661473087819,253.41085184848075,521.1494446616073,6860.150451487252,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,90368
20,E03,161.48060141046824,126.87513229612155,8198.11753254761,161.31512384534744,126.65204060925824,564.7709471378048,5767.944356358896,161.09097052919424,127.00322040264682,1806.433081408664,HCT116,Vehicle,No addition,No primary,No primary,Goat anti-mouse Alexa647,No primary,Goat anti-rabbit Alexa568,113526
21,F04,413.40066019433664,150.88169258607547,13606.638784280021,644.1347329358701,162.49749754711937,624.7853982545068,5723.571263379951,220.57465284990784,139.9670576243696,7204.196968513165,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,63995
22,F05,462.05190174707496,152.55576510920477,10674.908521593914,637.6881838339204,165.94479051393725,660.3787425456457,4904.6642969801,293.04995864004024,138.70448819723535,5112.351359187271,HCT116,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,86228
23,F06,426.1026709094085,153.80817628800003,11805.898204065175,639.615662165673,165.79389623744422,610.2887649330971,5368.0171266795805,220.55550569684692,141.23444806207914,5716.284562323058,HCT116,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,114091
24,F07,411.2597930129002,145.63574325414942,14600.235681724891,711.2270332812458,159.7381791277601,614.3815649510659,5453.940566465746,205.92877832760837,134.69462133543658,8220.08903147752,HCT116,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,46287
25,F08,321.64394395035555,148.74332997534066,12437.445397008056,401.93855521190426,157.300107709589,582.3496019611841,5416.491148830073,246.66727265853598,139.41293665543387,6287.16893939394,HCT116,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,104280
26,F09,359.23288596767526,154.9089099749138,9636.411153863164,440.77260930029786,164.39105892675977,558.2517848756927,5188.362354606165,257.8173586873543,140.98310496840438,3916.3967449471497,HCT116,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,113055
