,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,511.5658399102782,208.83258480705032,255.9007757469009,1635.8182863714778,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,5217,250505_ARMC5mAC_PhosphoPolII
1,C04,476.46952284163586,209.30628540573588,264.15688555821725,1743.9031763417306,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4565,250505_ARMC5mAC_PhosphoPolII
2,C05,476.8951145683286,209.16184731209287,262.42665809296733,1691.0376003379806,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4734,250505_ARMC5mAC_PhosphoPolII
3,C06,465.6174369306222,210.03914747912253,260.9018111236681,1738.1232939035488,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4396,250505_ARMC5mAC_PhosphoPolII
4,C07,468.81602994242644,211.09671832372734,262.4327658676163,1648.938098888463,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,5218,250505_ARMC5mAC_PhosphoPolII
5,C08,465.3104667434299,209.97391345213708,256.95116729056184,1670.6898682042834,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4856,250505_ARMC5mAC_PhosphoPolII
6,C09,468.03608996047905,210.84532720500653,258.7259721575527,1651.8808324205916,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4565,250505_ARMC5mAC_PhosphoPolII
7,C10,479.3191111196633,210.46101563298942,261.0164627867882,1650.6863917525773,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4850,250505_ARMC5mAC_PhosphoPolII
8,C11,477.9060373908979,210.52822480217276,259.2307959018359,1684.250233426704,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4284,250505_ARMC5mAC_PhosphoPolII
9,C12,464.9344392312692,210.71096828512285,258.3264326973177,1648.7037492317147,HCT116 OsTIRF74G,Vehicle,48.0,pSer5 Pol II 3E8,Goat anti-rat Alexa647,4881,250505_ARMC5mAC_PhosphoPolII
10,C13,215.75157868196555,208.60122300773742,256.46008677775797,1666.0774225774226,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4004,250505_ARMC5mAC_PhosphoPolII
11,C14,235.05373682403263,206.03748571205364,259.1697502666021,1691.1845777233782,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4085,250505_ARMC5mAC_PhosphoPolII
12,C15,229.31364653478795,205.17041789285776,249.89193840998257,1623.420087135978,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4361,250505_ARMC5mAC_PhosphoPolII
13,C16,235.50249942559702,205.01346162527736,258.948135930288,1666.7896715968914,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3989,250505_ARMC5mAC_PhosphoPolII
14,C17,228.35645685077682,205.6021443567245,250.82754722118017,1667.178586453513,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4754,250505_ARMC5mAC_PhosphoPolII
15,C18,232.80056396197023,204.71522760868615,251.44449810857853,1757.223708366116,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3813,250505_ARMC5mAC_PhosphoPolII
16,C19,228.00713820182736,204.95398183008513,250.63670740003994,1675.225352112676,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4828,250505_ARMC5mAC_PhosphoPolII
17,C20,235.93837814542766,206.15915729857736,255.6657404561863,1742.5252939567952,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3657,250505_ARMC5mAC_PhosphoPolII
18,C21,235.11090849439148,206.55521056410896,255.01168215107361,1700.1267707082834,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4165,250505_ARMC5mAC_PhosphoPolII
19,C22,245.45786827101665,206.4109190214235,257.23885071063546,1688.7307533964595,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4858,250505_ARMC5mAC_PhosphoPolII
20,D03,513.4120631997005,212.35571923266477,267.2572812442497,1582.5103881902678,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3658,250505_ARMC5mAC_PhosphoPolII
21,D04,537.1746929806037,212.02542053379008,270.4418649065929,1689.136507936508,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2205,250505_ARMC5mAC_PhosphoPolII
22,D05,524.5024002192803,229.96301174292597,274.40470656743855,1542.8800249298847,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3209,250505_ARMC5mAC_PhosphoPolII
23,D06,530.194799725348,229.0836193289225,274.0809805127168,1689.0227272727273,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2332,250505_ARMC5mAC_PhosphoPolII
24,D07,516.1055425659695,215.94082012024376,274.7711880078818,1549.1486527399334,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3303,250505_ARMC5mAC_PhosphoPolII
25,D08,537.6774308323281,212.52555510011015,270.18546424147837,1720.7194304857621,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,2388,250505_ARMC5mAC_PhosphoPolII
26,D09,499.5178064378123,229.82698668891487,270.3033632060555,1571.584920847867,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer5 Pol II 3E8,Goat anti-rat Alexa647,3727,250505_ARMC5mAC_PhosphoPolII
