,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,IF_647_Intensity_BGS,IF_647_Intensity_FC
50,250324_mACmChPOLR2A_90min_IF,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,782,332.8522476325527,1.0366616094721814
51,250324_mACmChPOLR2A_90min_IF,F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1105,314.06058484712435,0.9781353548761603
52,250324_mACmChPOLR2A_90min_IF,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1394,306.2173409886137,0.9537077301277095
53,250324_mACmChPOLR2A_90min_IF,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1068,300.7650150607517,0.9367265710340085
54,250324_mACmChPOLR2A_90min_IF,F12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1145,304.1654955292096,0.9473172988433691
55,250324_mACmChPOLR2A_90min_IF,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1209,309.6344828761652,0.9643503495906687
56,250324_mACmChPOLR2A_90min_IF,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1320,310.2429531380857,0.9662454179446454
57,250324_mACmChPOLR2A_90min_IF,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1250,299.7539872908561,0.933577745443628
61,250324_mACmChPOLR2A_90min_IF,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,561,1034.2376027277367,1.06435346284604
62,250324_mACmChPOLR2A_90min_IF,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,659,876.573120256303,0.9020979642606967
63,250324_mACmChPOLR2A_90min_IF,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,457,1009.7428764545737,1.0391454771167006
64,250324_mACmChPOLR2A_90min_IF,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1054,833.4177390846286,0.8576859459107854
65,250324_mACmChPOLR2A_90min_IF,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,755,1013.0236712149449,1.0425218050077758
66,250324_mACmChPOLR2A_90min_IF,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1201,857.878567548598,0.8828590467640547
67,250324_mACmChPOLR2A_90min_IF,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1187,920.3918904090922,0.9471926887483475
68,250324_mACmChPOLR2A_90min_IF,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,801,847.3300804545082,0.87200339934148
69,250324_mACmChPOLR2A_90min_IF,G12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1254,933.0906183821946,0.9602611896965475
70,250324_mACmChPOLR2A_90min_IF,G13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1154,830.4901018391585,0.8546730590925583
71,250324_mACmChPOLR2A_90min_IF,G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1208,919.7434598297696,0.9465253765845885
72,250324_mACmChPOLR2A_90min_IF,G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,946,826.7505863025322,0.8508246529813539
76,250324_mACmChPOLR2A_90min_IF,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,695,57.157516434261595,1.0412820752296899
77,250324_mACmChPOLR2A_90min_IF,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,821,55.38237982914143,1.008943057663704
78,250324_mACmChPOLR2A_90min_IF,H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,797,49.693696159861844,0.9053079680725475
79,250324_mACmChPOLR2A_90min_IF,H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1216,58.28808051742189,1.0618784234990775
80,250324_mACmChPOLR2A_90min_IF,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1669,53.832801467651905,0.9807132066722141
81,250324_mACmChPOLR2A_90min_IF,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1114,59.64198836869946,1.0865435955533869
82,250324_mACmChPOLR2A_90min_IF,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1184,55.5346671803747,1.0117173925021636
