,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,IF_647_Intensity_BGS,IF_647_Intensity_FC
114,J12,631.5566361710438,160.3216737475527,326.2292144851419,445.58622015986793,1674.7286295793758,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,737,250324_mACmChPOLR2A_90min_IF,504.3654375918828,1.0167082373584424
115,J13,704.0417763816642,161.71236176858898,218.62550033943364,439.16913180081673,1563.109271523179,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,604,250324_mACmChPOLR2A_90min_IF,576.8505778025033,1.1628249885182478
116,J14,672.2311167664005,159.8685927697177,329.4061867706606,438.1041201444102,1676.604086845466,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,783,250324_mACmChPOLR2A_90min_IF,545.0399181872396,1.0987005318126823
117,J15,696.1284296196584,160.7674551679715,219.24311819479925,429.24596292698806,1637.1787122207622,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,761,250324_mACmChPOLR2A_90min_IF,568.9372310404974,1.1468731325060295
16,D04,582.390398339264,131.94148254499663,231.7170828256279,335.9325678256738,1814.5410447761194,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2144,250510_mACmChPOLR2A_90min_IF,457.26276798770647,0.9949562514936746
17,D05,509.71017754223055,131.83645741610613,193.63334864060556,329.9138796967092,1823.7447368421053,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1900,250510_mACmChPOLR2A_90min_IF,384.582547190673,0.8368116460183974
18,D06,587.782126310903,132.02056309156035,237.36765565493025,342.2089059580182,1823.8670187229957,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2083,250510_mACmChPOLR2A_90min_IF,462.6544959593454,1.0066880910994735
19,D07,530.0296763469487,132.02508394760451,193.77518091650526,335.5629004180107,1764.3557422969188,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1785,250510_mACmChPOLR2A_90min_IF,404.9020459953911,0.8810247632418755
20,D08,569.9396561832287,131.37792904594252,231.7084291944592,335.13709708544303,1823.3552754435107,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2142,250510_mACmChPOLR2A_90min_IF,444.8120258316712,0.9678647307945386
21,D09,529.1468309901696,132.2336911693253,194.27159559380988,336.5382637891725,1774.607666290868,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1774,250510_mACmChPOLR2A_90min_IF,404.01920063861206,0.8791037835157215
22,D10,590.6162347447494,132.64903833962956,234.1271874987226,341.37156013746403,1854.2328111401218,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2298,250510_mACmChPOLR2A_90min_IF,465.4886043931918,1.0128548164510163
23,D11,527.0866299019452,132.45937643462176,194.63727008273727,333.7584080560832,1812.5949579831934,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1785,250510_mACmChPOLR2A_90min_IF,401.95899955038766,0.8746210001019665
24,D12,591.2445657362415,131.71252576661132,234.48205199225467,330.7497782826127,1791.1081081081081,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2368,250510_mACmChPOLR2A_90min_IF,466.1169353846839,1.0142219993746195
25,D13,523.4877450428974,132.79571591688952,196.99024630342197,342.23903245607704,1788.1452263558942,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2231,250510_mACmChPOLR2A_90min_IF,398.3601146913398,0.8667902007463281
26,D14,586.2774678920838,132.460940127847,231.57575276604769,339.108498473073,1780.7241730279898,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1965,250510_mACmChPOLR2A_90min_IF,461.1498375405262,1.0034141107866767
27,D15,550.057433536754,133.58799794428666,196.46199847156907,350.8679746878176,1802.7990115321252,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1821,250510_mACmChPOLR2A_90min_IF,424.9298031851965,0.924603081037323
31,E04,292.64296632287517,130.43021097559765,229.5374134316659,326.3797741022029,1811.417372881356,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1888,250510_mACmChPOLR2A_90min_IF,167.5153359713176,1.011862519018325
32,E05,289.3944863532078,131.4029449167574,194.20647244340512,335.6302776190674,1825.6013655462184,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1904,250510_mACmChPOLR2A_90min_IF,164.26685600165024,0.9922403446900535
33,E06,303.65791653278905,131.7414549985931,234.57208181127695,342.43415861925297,1788.458663646659,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1766,250510_mACmChPOLR2A_90min_IF,178.53028618123147,1.07839741387818
34,E07,286.2814293741435,131.70891110435971,195.4392861160282,332.9655395520454,1795.84944612286,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1986,250510_mACmChPOLR2A_90min_IF,161.15379902258593,0.9734361817253985
35,E08,278.0155869815319,131.7245125257734,235.0821549073795,332.7702263185387,1827.743670886076,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2212,250510_mACmChPOLR2A_90min_IF,152.88795662997433,0.9235070450484525
36,E09,280.0334292581536,131.0766744307334,194.87117246824008,325.30538130273555,1843.9648326715826,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1763,250510_mACmChPOLR2A_90min_IF,154.90579890659603,0.9356956542713938
37,E10,286.162841843841,131.4134215661385,236.53094095976002,339.0792571840193,1841.811135857461,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2245,250510_mACmChPOLR2A_90min_IF,161.03521149228345,0.9727198635659878
38,E11,280.29558428666473,131.707975960329,194.72730320133562,335.60142844200186,1861.8139145012574,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2386,250510_mACmChPOLR2A_90min_IF,155.16795393510716,0.937279180018362
39,E12,293.25960306540486,132.36699336065027,237.8742653029902,343.37762579356666,1783.6769953051644,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2130,250510_mACmChPOLR2A_90min_IF,168.1319727138473,1.0155872622127164
40,E13,291.8479124479105,132.86685333720348,196.3598650826201,343.24913450984144,1794.0856269113149,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2289,250510_mACmChPOLR2A_90min_IF,166.72028209635295,1.0070600619058925
41,E14,290.33573782389436,131.42398237244652,234.19261436894666,332.61707809469357,1803.6291841004183,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,1912,250510_mACmChPOLR2A_90min_IF,165.2081074723368,0.9979258962763373
42,E15,279.09304397077904,131.14063481334654,194.18347732610843,324.74781703130986,1807.6885701064323,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2161,250510_mACmChPOLR2A_90min_IF,153.96541361922147,0.9300153347936982
46,F04,260.7379330428412,130.3481921000083,236.1649472716556,328.7985887114517,1909.7451433857539,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2162,250510_mACmChPOLR2A_90min_IF,135.6103026912836,0.988501474354019
47,F05,224.5786402059842,130.89522795700822,194.30831311032836,327.41470163617663,1871.387254901961,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2244,250510_mACmChPOLR2A_90min_IF,99.45100985442663,0.7249262623570233
48,F06,258.3427178796365,131.19941448476519,235.08428401924172,339.6570378642189,1894.9444695259594,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2215,250510_mACmChPOLR2A_90min_IF,133.21508752807893,0.9710420802428434
49,F07,225.26604323671535,131.5516996922764,196.17855524636082,336.170626725564,1873.614973262032,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2244,250510_mACmChPOLR2A_90min_IF,100.13841288515779,0.729936935557127
50,F08,264.3112614869068,130.78641943162802,234.45798150778762,330.38888585767404,1844.5827848101267,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1975,250510_mACmChPOLR2A_90min_IF,139.18363113534923,1.0145484661032458
51,F09,222.05729235635795,131.73148563598085,196.65216873394334,335.86557464399897,1820.171921182266,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2030,250510_mACmChPOLR2A_90min_IF,96.92966200480039,0.7065474517707162
52,F10,266.1955446347816,130.85295533563112,234.28676287030427,328.5757280940612,1815.9502487562188,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2211,250510_mACmChPOLR2A_90min_IF,141.067914283224,1.0282835336667693
53,F11,231.73621446332942,131.854323708843,196.02449256195126,329.1017800637727,1805.0756180319922,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2063,250510_mACmChPOLR2A_90min_IF,106.60858411177186,0.7770998256171169
54,F12,263.66078746882545,130.67750959869213,232.85469907376233,317.36001862956954,1868.980714957667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2126,250510_mACmChPOLR2A_90min_IF,138.53315711726788,1.0098069788184179
55,F13,227.77492536657803,132.82443299591614,198.24483066511317,349.5928742326946,1782.017578125,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2048,250510_mACmChPOLR2A_90min_IF,102.64729501502048,0.7482248800210185
56,F14,260.64409558092933,131.42302985369344,234.0561264281608,327.20348914122656,1854.403474903475,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2072,250510_mACmChPOLR2A_90min_IF,135.51646522937176,0.987817466814705
57,F15,226.71453318364897,132.63465755464185,198.39992502628232,344.5572240806509,1833.738621586476,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2307,250510_mACmChPOLR2A_90min_IF,101.58690283209141,0.740495384433909
61,G04,242.16457862028997,130.62236864323393,235.96940134539298,321.8981041477345,1811.3044758539459,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,1698,250510_mACmChPOLR2A_90min_IF,117.03694826873242,1.0391330581830165
62,G05,243.81624642493802,132.31622375492404,195.80975409026496,335.8818542114383,1796.944502074689,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1928,250510_mACmChPOLR2A_90min_IF,118.68861607338046,1.0537976802731748
63,G06,234.9306250815978,132.25487145823953,236.77844369700722,337.50990980705836,1878.9192130598576,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2389,250510_mACmChPOLR2A_90min_IF,109.80299473004025,0.9749051338000694
64,G07,244.83247861383157,132.24199344287277,195.43211383154522,335.2644819539066,1783.1416216216217,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1850,250510_mACmChPOLR2A_90min_IF,119.70484826227401,1.0628204758765278
65,G08,240.65799196914617,131.2334611969365,231.78664058972296,326.76676004895086,1805.4890410958903,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2190,250510_mACmChPOLR2A_90min_IF,115.53036161758861,1.025756564542512
66,G09,249.87994883795983,132.4545713965612,195.60174463677743,343.549319199176,1823.225927469779,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2399,250510_mACmChPOLR2A_90min_IF,124.75231848640227,1.1076353249278112
67,G10,239.14519983145928,131.14253746990562,234.41132025725767,329.1383938941486,1878.5342407486175,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2351,250510_mACmChPOLR2A_90min_IF,114.01756947990172,1.0123249744021035
68,G11,238.8179371701473,131.986936933572,194.85114511623084,325.4363213702642,1792.3792233988906,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1983,250510_mACmChPOLR2A_90min_IF,113.69030681858975,1.0094193155045612
69,G12,232.58597011031742,131.4403615610689,232.90791865540314,332.47717381999905,1792.6648101265823,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,1975,250510_mACmChPOLR2A_90min_IF,107.45833975875986,0.9540877036916194
70,G13,237.5971673715941,131.05948742123707,194.12256442905723,321.390594716467,1806.5046094129063,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2061,250510_mACmChPOLR2A_90min_IF,112.46953702003655,0.99858049688469
71,G14,237.05790544807385,131.85446437881149,234.95159575597543,334.84375512926346,1806.5306704707561,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2103,250510_mACmChPOLR2A_90min_IF,111.9302750965163,0.9937925653806783
72,G15,236.9972927960256,132.01064862202585,195.66209577930616,326.0212323046146,1872.012733060482,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2199,250510_mACmChPOLR2A_90min_IF,111.86966244446803,0.9932544053259332
76,H04,173.6161522788328,130.85329775786406,233.81361186024452,322.76283618568516,1828.421029082774,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2235,250510_mACmChPOLR2A_90min_IF,48.488521927275244,1.0437072709171822
77,H05,172.37590900552442,131.02043373534977,193.3783779419253,320.92314421824165,1845.1749876421156,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2023,250510_mACmChPOLR2A_90min_IF,47.248278653966864,1.0170112432675964
78,H06,170.55037039441288,131.85363359832243,235.62114081186476,336.9837261382544,1835.7964774951076,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2044,250510_mACmChPOLR2A_90min_IF,45.422740042855324,0.977716832012602
79,H07,172.37831938382507,131.37717841925962,193.0588014302342,328.43611816382645,1816.565811965812,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2340,250510_mACmChPOLR2A_90min_IF,47.250689032267516,1.0170631262547047
80,H08,169.520065338104,131.09701310363806,234.52607007964036,331.71509046463996,1841.8775790921595,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2181,250510_mACmChPOLR2A_90min_IF,44.392434986546434,0.9555396891385595
81,H09,173.34972188903774,131.76428665170803,195.93383797688068,332.0813183429898,1884.0312104597217,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2371,250510_mACmChPOLR2A_90min_IF,48.22209153748018,1.0379724016332827
82,H10,169.92483189007578,130.56522558055994,233.72396450577085,320.4450385524873,1842.4252445272473,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2147,250510_mACmChPOLR2A_90min_IF,44.79720153851822,0.9642522210229227
83,H11,174.30359640063878,131.93253560138254,195.16758272707128,323.6969783560908,1886.475231574708,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2483,250510_mACmChPOLR2A_90min_IF,49.175966049081225,1.0585043899003983
84,H12,172.57574840638054,130.7613391414182,234.23304234696505,318.6647029608833,1812.2564372044142,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1903,250510_mACmChPOLR2A_90min_IF,47.448118054822984,1.0213127527258985
85,H13,172.09150362775523,131.53466263113413,194.0766968088345,322.0050165944797,1856.8274021352313,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2248,250510_mACmChPOLR2A_90min_IF,46.963873276197674,1.0108894653938378
86,H14,173.32643866625352,132.66761752975935,232.32587796094035,338.55050963126115,1836.943949711891,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1909,250510_mACmChPOLR2A_90min_IF,48.19880831469597,1.0374712341828352
87,H15,172.91655788340114,132.3003827967703,195.36466267297723,334.1751821145868,1834.3246985261278,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2239,250510_mACmChPOLR2A_90min_IF,47.78892753184358,1.0286486193398032
91,I04,313.08545640638715,131.25167064904338,236.20037865044597,328.4576201646504,1817.6272189349113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1859,250510_mACmChPOLR2A_90min_IF,187.95782605482958,1.065617492016339
92,I05,318.28077577869493,131.39484742836112,195.32292083107006,325.7348731101364,1765.0590121872995,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1559,250510_mACmChPOLR2A_90min_IF,193.15314542713736,1.0950720952959467
93,I06,306.8797777400032,130.77460445254334,235.1801015479011,322.99358311869537,1806.9495317377732,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1922,250510_mACmChPOLR2A_90min_IF,181.75214738844562,1.030434707263326
94,I07,290.4117700468933,130.85752298874152,196.77776455827475,318.4182175650407,1828.276821192053,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2265,250510_mACmChPOLR2A_90min_IF,165.28413969533574,0.9370701614778346
95,I08,291.86674371765264,130.94827046123618,235.45620219176345,324.8734223119494,1767.1114769520225,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2126,250510_mACmChPOLR2A_90min_IF,166.73911336609507,0.9453190619175114
96,I09,289.0229578120762,131.2551747636763,195.80443460968675,321.69067288431665,1833.4695960940967,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2253,250510_mACmChPOLR2A_90min_IF,163.89532746051862,0.9291963599894321
97,I10,302.50416253399857,131.60561340424303,238.28838941014072,327.4125445274254,1822.4043859649123,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2280,250510_mACmChPOLR2A_90min_IF,177.376532182441,1.0056273757479517
98,I11,293.9539667530821,132.34696949545796,198.0285513272277,329.85792821607674,1880.3087907184292,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2241,250510_mACmChPOLR2A_90min_IF,168.82633640152454,0.9571524685012004
99,I12,305.11984969999713,131.80826158943043,238.45066002161815,331.1362862905989,1781.0828544061303,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2088,250510_mACmChPOLR2A_90min_IF,179.99221934843956,1.02045688328289
100,I13,282.8723594363458,131.60506482724,195.75624635506261,326.18352945928564,1814.0771985674492,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2513,250510_mACmChPOLR2A_90min_IF,157.74472908478822,0.8943258501888257
101,I14,289.6135124157815,132.72584565854638,245.4283093536617,335.9541979819027,1737.5282208588958,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1630,250510_mACmChPOLR2A_90min_IF,164.48588206422392,0.9325444797719814
102,I15,296.00570108807904,132.49487346312557,199.2606952469113,338.15722395074766,1786.3028901734103,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1730,250510_mACmChPOLR2A_90min_IF,170.87807073652147,0.9687846736731491
106,J04,448.28839247654525,130.68731258742596,234.48544132220047,315.0616809724695,1836.7543859649122,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,1938,250510_mACmChPOLR2A_90min_IF,323.1607621249877,1.000891840876268
107,J05,469.41480878058917,131.62774986535555,197.4452295698207,325.31710816085314,1818.668181818182,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,1980,250510_mACmChPOLR2A_90min_IF,344.2871784290316,1.0663244681749207
108,J06,464.7576222632323,131.57323067928064,237.10821414934844,328.10946635415263,1769.0603496897913,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,1773,250510_mACmChPOLR2A_90min_IF,339.6299919116747,1.0519002541830667
109,J07,444.6419439881416,131.61166207479764,196.38142274613142,325.1643558474048,1833.9207746478874,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2272,250510_mACmChPOLR2A_90min_IF,319.514313636584,0.989598079479557
110,J08,420.82780549380936,131.1702592391439,235.88588559420364,322.62919242844504,1846.8870241506345,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2443,250510_mACmChPOLR2A_90min_IF,295.7001751422518,0.9158410529156209
111,J09,443.7551454434948,131.8207297203412,198.19306605425268,327.48759671514705,1850.5284360189573,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2532,250510_mACmChPOLR2A_90min_IF,318.62751509193725,0.98685149161412
112,J10,441.9067594183931,130.4694332639414,234.27790815593784,313.6737836311671,1874.283446712018,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2205,250510_mACmChPOLR2A_90min_IF,316.77912906683554,0.981126679978113
113,J11,450.9241982290333,132.419491611917,199.17265600119558,330.38851502156166,1827.6114800759012,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2108,250510_mACmChPOLR2A_90min_IF,325.79656787747575,1.0090554448189386
114,J12,460.9985760874331,131.05140101870515,235.7892114390905,319.70210108052163,1881.210606060606,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,1980,250510_mACmChPOLR2A_90min_IF,335.8709457358755,1.0402577558113757
115,J13,457.3504991991195,132.32240614768807,195.6357092946181,329.21420024918257,1811.5486935866984,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2105,250510_mACmChPOLR2A_90min_IF,332.2228688475619,1.028958950942887
116,J14,451.2234920959909,131.8829726431351,238.69656716801174,329.2711818208901,1811.3698689956332,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2290,250510_mACmChPOLR2A_90min_IF,326.0958617444333,1.009982416235556
117,J15,416.74171828943025,131.37998871462403,198.01291194372965,323.35832515511623,1856.2210084033613,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2380,250510_mACmChPOLR2A_90min_IF,291.6140879378727,0.9031856447618606
106,J04,199.28770781223125,129.87374713525244,179.5329495736747,256.9936856881329,1705.7212089630016,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1919,250523_mACmChPOLR2A_90min_IF,73.69760373865283,1.0671250649202262
107,J05,200.16563529535566,130.4565342129347,217.47392922467475,269.52582771247074,1682.1110572259943,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2062,250523_mACmChPOLR2A_90min_IF,74.57553122177724,1.0798372614489857
108,J06,198.3400265476512,129.94501632451323,181.1122713124907,262.4560862211144,1728.3045774647887,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2272,250523_mACmChPOLR2A_90min_IF,72.74992247407279,1.0534028490042935
109,J07,194.8471129505335,129.35315667152028,212.79074206389802,261.8535983595871,1750.0301665916254,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2221,250523_mACmChPOLR2A_90min_IF,69.25700887695508,1.002826229684308
