,EXPERIMENT,WELL,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TotalNumberCells,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM,RFP_561_Intensity_NORM2,TIME_MIN,TIME_HOUR
35,250407_mACmChPOLR2A_Inhibitors,E18,188.05874029504122,255.57895898738556,356.9039796043855,1383.8037267080745,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,805,50.71276589065596,0.7586641521036955,1.113369371504588,60,1.0
36,250407_mACmChPOLR2A_Inhibitors,E19,192.40342180030805,214.48783604751847,394.32471176532835,1384.5358778625955,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,655,55.05744739592279,0.8236606880343299,1.2087543348752772,60,1.0
37,250407_mACmChPOLR2A_Inhibitors,E20,180.0557421304395,246.45338009293602,337.9015154593297,1718.4169653524493,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,837,42.70976772605425,0.638939114232044,0.9376681869963944,60,1.0
38,250407_mACmChPOLR2A_Inhibitors,E21,193.68324228534604,215.0212061265902,404.7021980712904,1297.4353741496598,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,588,56.33726788096078,0.8428068321279059,1.2368520515752055,60,1.0
47,250407_mACmChPOLR2A_Inhibitors,F10,182.52784421885758,255.89799459825932,331.3589763240367,1534.667496886675,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,803,45.18186981447232,0.6759218187224144,0.9919417550051222,120,2.0
48,250407_mACmChPOLR2A_Inhibitors,F11,174.55499751688205,182.58812379901366,298.88761520948896,1761.9868105515588,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,834,37.209023112496794,0.5566478474298822,0.8169025283768524,120,2.0
49,250407_mACmChPOLR2A_Inhibitors,F12,180.31916225407912,253.94175242765417,340.9438138823588,1458.2285714285715,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,700,42.97318784969386,0.6428798853818367,0.9434514230780282,120,2.0
50,250407_mACmChPOLR2A_Inhibitors,F13,191.98011376768366,188.38981338242058,342.3794871489706,1409.2992366412213,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,655,54.6341393632984,0.8173279900635249,1.1994608524560368,120,2.0
51,250407_mACmChPOLR2A_Inhibitors,F14,172.85692410627303,220.4848380530866,318.3524480453223,1701.992876224399,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,1123,35.51094970188777,0.5312446298840827,0.7796223112020527,120,2.0
52,250407_mACmChPOLR2A_Inhibitors,F15,185.28728645027368,185.6813919901368,353.28030804403835,1422.2807486631016,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,748,47.941312045888424,0.7172031384061069,1.0525237092514994,120,2.0
