,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,862.5379388454351,149.1649654761516,253.55582077071753,397.26725124342573,1678.0704934541793,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,1986,250908_mACmChPOLR2A_ARMC5
1,C04,1015.9528549161067,151.20762080383824,258.310506466173,384.38067063130785,1683.224320827943,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3865,250908_mACmChPOLR2A_ARMC5
2,C05,1002.5952510731292,152.1299455210445,261.5595542266382,381.0137992745397,1597.5714285714287,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4942,250908_mACmChPOLR2A_ARMC5
3,C06,1044.853867519765,153.91979946704043,266.62252724087153,397.5490015022242,1561.6707350901527,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3605,250908_mACmChPOLR2A_ARMC5
4,C07,992.0959461077899,152.41783078523383,261.84053569516516,390.843084432125,1635.2656878995974,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4223,250908_mACmChPOLR2A_ARMC5
5,C09,963.7482022095004,151.28010217143068,256.13444980294804,365.9948890024026,1696.7903225806451,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,1054,250908_mACmChPOLR2A_ARMC5
6,C10,1046.8628132997114,150.63268202835187,256.4689339739692,392.6540290626474,1506.9473056747736,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4194,250908_mACmChPOLR2A_ARMC5
7,C11,997.6206742821688,150.87493294337648,254.37955261846218,388.01861366991636,1639.144982191494,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4773,250908_mACmChPOLR2A_ARMC5
8,C12,1012.1607420654974,149.64953663991318,252.92805632196004,364.8400439690698,1610.5531471446436,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4798,250908_mACmChPOLR2A_ARMC5
9,C13,1020.873235950245,151.97967927628352,257.5225305332733,374.82224021167093,1618.6998451669986,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4521,250908_mACmChPOLR2A_ARMC5
10,C14,1005.2374315081311,150.3777956061785,252.40612951946218,368.93399354423156,1667.1436731107206,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4552,250908_mACmChPOLR2A_ARMC5
11,C15,965.2942257510327,150.38915766189163,251.26046266545873,367.50931959229257,1654.1906138790036,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4496,250908_mACmChPOLR2A_ARMC5
12,C16,999.7847291510124,148.84058617046958,249.1623083980532,358.3457941344329,1595.3489251592357,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,5024,250908_mACmChPOLR2A_ARMC5
13,C17,934.7947610032932,148.77850700447718,247.39391350275116,358.9019255630853,1667.2575423105225,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4077,250908_mACmChPOLR2A_ARMC5
14,C18,958.2006161035565,147.39684549532558,246.4278754619569,345.1034171344122,1665.3397707979627,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4712,250908_mACmChPOLR2A_ARMC5
15,C19,933.2883762337791,147.37582817293014,242.7860926813202,364.90642863810405,1703.6672892832128,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4283,250908_mACmChPOLR2A_ARMC5
16,C20,961.0034486970753,147.1539429108978,243.6252068932044,354.69815423054587,1655.665828619317,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4773,250908_mACmChPOLR2A_ARMC5
17,C21,973.1886448432022,147.67458094336803,243.15391206387946,368.288617142511,1620.7246035147878,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4666,250908_mACmChPOLR2A_ARMC5
18,C22,870.6308222081223,147.76209789637076,244.4076602605501,378.1675617415396,1675.7200277200277,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4329,250908_mACmChPOLR2A_ARMC5
19,D03,876.8793229807106,148.91193910337796,251.8374366687666,377.24459137200347,1555.6543921003909,HCT116,Media only,1440,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4861,250908_mACmChPOLR2A_ARMC5
20,D04,1232.0049986706952,306.37767054666926,297.9905293459287,427.14254101591746,1666.241460541814,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,3396,250908_mACmChPOLR2A_ARMC5
21,D05,1289.3892445568551,304.02582948412834,317.0875451852131,418.0968861787737,1677.231336110221,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,3121,250908_mACmChPOLR2A_ARMC5
22,D06,1179.817690688281,289.389165955378,315.53192885414626,426.04055415491695,1595.6374115797746,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,3817,250908_mACmChPOLR2A_ARMC5
23,D07,1239.744083763834,289.93147367385455,340.2423041944437,429.8977165053292,1604.4383942766297,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2516,250908_mACmChPOLR2A_ARMC5
24,D08,1243.6724705414154,291.4654535393354,433.7222330767366,461.5900349694848,1545.0351966873707,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2415,250908_mACmChPOLR2A_ARMC5
