,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
23,D06,465.81716057220757,261.1025926182064,465.83252959295976,1572.3679283679285,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,4446,165.58542807756612,1426.1588954277954,250203_ARMC5mAC_TotalPolII
24,D07,455.15647529582355,257.6890712278157,446.70729582614666,1741.7355212355212,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,2443,166.09406227446328,1613.7391304347825,250203_ARMC5mAC_TotalPolII
25,D08,464.6248748001224,310.2050514827855,495.2307945582722,1614.141048824593,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,2489,160.85659986464375,1509.7694204685574,250203_ARMC5mAC_TotalPolII
26,D09,462.75998484602945,308.92720589394077,459.712580532906,1572.336993822924,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,4000,160.56157204467203,1419.2961966961198,250203_ARMC5mAC_TotalPolII
27,D10,451.46720157837,257.5806609211306,466.0520981204393,1663.506488240065,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,2051,170.10510698574552,1569.7105590062113,250203_ARMC5mAC_TotalPolII
28,D11,565.8541074072864,263.2736934785475,528.6608062716391,1527.0823436262867,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,2010,166.0083131104912,1457.5607779578606,250203_ARMC5mAC_TotalPolII
29,D12,509.8453334472484,261.87644524900867,472.9331048983015,1592.095491657792,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,3987,166.97841051622532,1434.2245810055865,250203_ARMC5mAC_TotalPolII
30,D13,473.044034662156,258.0174062871556,466.32210961447976,1664.9112021857923,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,2029,,,250203_ARMC5mAC_TotalPolII
31,D14,513.2882884400954,304.94133718649584,514.3860919602856,1637.0766062602966,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,2027,159.4960461671848,1586.8108108108108,250203_ARMC5mAC_TotalPolII
32,D15,490.76042193539536,306.79563999840815,478.24841791441594,1525.7348586810228,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,3642,163.5513569645109,1378.803554724041,250203_ARMC5mAC_TotalPolII
33,D16,454.987229761041,251.44964458328377,476.21646835281166,1680.7299349240782,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,2101,170.23633907962247,1558.5604436229205,250203_ARMC5mAC_TotalPolII
34,D17,560.5049719537814,252.17721541043866,508.9438451629029,1640.7547425474254,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,2303,164.730525082765,1579.111262798635,250203_ARMC5mAC_TotalPolII
35,D18,488.1041457291811,250.63397068307557,446.49893433055644,1558.2891131939439,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,2,Total Pol II F12,Goat anti-mouse Alexa647,3435,166.1066851008551,1413.3986723935961,250203_ARMC5mAC_TotalPolII
36,D19,456.0479647899009,247.453114638081,452.1779452953394,1664.3633720930231,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,1898,170.02825664448233,1537.2419512195122,250203_ARMC5mAC_TotalPolII
37,D20,486.2695012102947,295.18370312249726,491.2174164074647,1654.5205992509364,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,2836,161.44996780996658,1600.4369811320755,250203_ARMC5mAC_TotalPolII
38,D21,478.6363779561529,302.01575728558413,494.40477185973475,1542.0353000504285,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,2,Total Pol II F12,Goat anti-mouse Alexa647,4143,167.3177835672819,1393.638961038961,250203_ARMC5mAC_TotalPolII
39,D22,433.30873372074194,247.32840735913092,442.64257769786235,1695.5539510629762,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4395,170.66184138741195,1576.4142799515935,250203_ARMC5mAC_TotalPolII
40,E03,426.9581230880855,255.28507706833523,425.7477192635573,1724.8683580660604,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4501,164.95117591997646,1598.7103746397695,250203_ARMC5mAC_TotalPolII
41,E04,413.9172779364106,257.01224048748855,442.57645777174713,1701.8153721024808,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2300,173.60711699906665,1588.237913486005,250203_ARMC5mAC_TotalPolII
42,E05,669.2994647476431,259.4892564327517,502.02213812734425,1564.4703557312253,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2599,165.46012619430388,1517.5065590312815,250203_ARMC5mAC_TotalPolII
43,E06,535.8623295866547,258.79530339196424,445.95566795464583,1581.0106719367589,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,4028,168.1425407850236,1422.1132631578948,250203_ARMC5mAC_TotalPolII
44,E07,431.8995160569203,255.22598566767994,441.38258785405696,1699.6296146044624,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,1937,167.36242698456587,1573.4490968801313,250203_ARMC5mAC_TotalPolII
45,E08,490.41185920006865,315.17672642955927,507.26340410856346,1637.3985294117647,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,1995,159.54347026044377,1537.1299477221808,250203_ARMC5mAC_TotalPolII
46,E09,439.76454300283405,317.2233778061216,443.5195705244588,1547.1037012337447,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,3473,164.06787274494036,1417.0208858480376,250203_ARMC5mAC_TotalPolII
47,E10,424.3132719677262,253.1981585712337,423.3302129214321,1657.292239010989,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,1814,171.60351411937668,1549.4332977588047,250203_ARMC5mAC_TotalPolII
48,E11,624.3342171030562,260.59849579230274,506.6960991652421,1623.0170648464164,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2640,165.4668046344573,1524.2005669737775,250203_ARMC5mAC_TotalPolII
