,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_IN_AUXIN
34,D17,3615.8267377654474,305.3728728592455,380.57633004234816,737.28187784573,1476.1935853379152,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,873,251017_mACmChPOLR2A_7SK,152.87633004234817,0.5464872966400044,160.97287285924548,1.1981854619071612,3432.237161640044,1.3540522360185248,0.5
35,D18,3575.341867693484,304.05040188452455,535.8162278544169,746.4272515720762,1573.5931603773586,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,848,251017_mACmChPOLR2A_7SK,308.1162278544169,1.1014236433098088,159.65040188452454,1.1883417816176856,3391.752291568081,1.3380805457581506,0.0
36,D19,3394.4710231197564,294.53835340840965,510.05175122892354,718.8660813919078,1534.371707317073,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1025,251017_mACmChPOLR2A_7SK,282.35175122892355,1.009323321588911,150.13835340840964,1.1175398011684534,3210.8814469943536,1.2667251702430773,0.0
37,D20,3511.712992198436,296.3511099160481,520.9459027504478,730.0288610617584,1520.831566548881,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,849,251017_mACmChPOLR2A_7SK,293.2459027504478,1.0482666649602177,151.95110991604807,1.1310328727329348,3328.123416073033,1.3129783115354299,0.0
38,D21,3455.353436882557,297.9534193138938,512.728178894463,739.4180636865431,1539.2215320910973,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,966,251017_mACmChPOLR2A_7SK,285.028178894463,1.0188907524605704,153.55341931389378,1.1429595023064447,3271.7638607571544,1.2907438975650358,0.0
39,D22,3607.385524317976,294.5014038780591,516.9606596462922,688.1942116623716,1527.2002551020407,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,784,251017_mACmChPOLR2A_7SK,289.26065964629225,1.0340206091460842,150.10140387805907,1.1172647710388175,3423.7959481925727,1.3507220920322636,0.0
40,E03,2976.661465799171,314.0456681556694,263.7362355442712,620.3012363495819,1551.0372429127292,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1799,251017_mACmChPOLR2A_7SK,36.03623554427122,0.12881879711670197,169.64566815566937,1.2627405453426064,2793.071889673768,1.101895078767254,8.0
41,E04,3012.0440208923005,310.1250170113036,269.16470333643446,648.0630529712371,1531.5397631133671,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1773,251017_mACmChPOLR2A_7SK,41.46470333643447,0.14822395086296766,165.7250170113036,1.2335575711001303,2828.4544447668977,1.115853854219999,4.0
42,E05,2674.067413930467,289.5594110950634,281.12066932226674,592.2694930938987,1620.241365131579,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2432,251017_mACmChPOLR2A_7SK,53.42066932226675,0.19096296434208118,145.1594110950634,1.0804795425698368,2490.477837805064,0.9825186682097324,2.0
43,E06,2884.103771640927,289.8114168176309,320.7614414660596,626.9343721897949,1607.6616575591986,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2196,251017_mACmChPOLR2A_7SK,93.06144146605959,0.33266690503442276,145.4114168176309,1.0823553219339896,2700.514195515524,1.0653801333152317,1.0
44,E07,2884.4041744540414,287.5344919322118,375.5352875915991,612.4648283841047,1598.0968824940048,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2085,251017_mACmChPOLR2A_7SK,147.83528759159913,0.5284670729703609,143.13449193221177,1.0654072595238135,2700.8145983286386,1.0654986452599629,0.5
45,E08,2773.136831038671,283.05615255839393,513.7045851350698,598.752983995052,1649.504301515772,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2441,251017_mACmChPOLR2A_7SK,286.0045851350698,1.022381113634886,138.65615255839393,1.0320731887832928,2589.5472549132683,1.0216025541531841,0.0
46,E09,2719.5413412611106,283.30960035489005,513.5876444760582,612.0968453951107,1554.6096436058701,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2385,251017_mACmChPOLR2A_7SK,285.88764447605826,1.0219630856472124,138.90960035489005,1.0339597020803475,2535.9517651357073,1.0004585919628972,0.0
47,E10,2967.932701534756,293.74031260227514,528.2222872699841,651.4083720201089,1609.6645126548196,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1857,251017_mACmChPOLR2A_7SK,300.52228726998413,1.0742775700119878,149.34031260227513,1.1115996643308936,2784.343125409353,1.098451493078594,0.0
48,E11,2956.912990616178,289.70144003142957,525.0261510196532,615.4533962446199,1564.3141025641025,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2184,251017_mACmChPOLR2A_7SK,297.3261510196532,1.062852335911636,145.30144003142956,1.081536720737197,2773.3234144907747,1.0941041057895267,0.0
49,E12,3187.7178120620583,296.27183559389783,538.6158687296675,642.7677245633258,1527.0533260032985,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1819,251017_mACmChPOLR2A_7SK,310.91586872966747,1.1114315246676012,151.87183559389783,1.1304428022532582,3004.128235936655,1.1851589396615883,0.0
50,E13,2835.27195981296,320.59171898820796,278.57067446881933,674.4845807663098,1497.7551020408164,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,833,251017_mACmChPOLR2A_7SK,50.870674468819345,0.18184749307507492,176.19171898820795,1.3114654192989237,2651.6823836875574,1.0461154902033032,8.0
51,E14,3186.3427978588147,316.78153882058103,282.66014461143635,647.8644433168577,1292.5640138408305,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,289,251017_mACmChPOLR2A_7SK,54.96014461143636,0.19646612947424616,172.38153882058103,1.2831047247110257,3002.753221733412,1.1846164826666967,4.0
52,E15,3113.6497667477474,314.07134352436776,281.2697142876832,690.0899997510509,1205.3618090452262,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,398,251017_mACmChPOLR2A_7SK,53.56971428768321,0.1914957556525848,169.67134352436776,1.2629316573787968,2930.0601906223446,1.1559383474786635,2.0
53,E16,3076.5678907487945,302.03649818438436,297.6980943122369,634.4160072514085,1189.1042654028436,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,211,251017_mACmChPOLR2A_7SK,69.9980943122369,0.25022231577674553,157.63649818438435,1.1733514910654448,2892.9783146233913,1.1413091727604012,1.0
54,E17,3198.766567841409,301.69314151875784,331.16072754650065,634.987284569911,1227.319209039548,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,354,251017_mACmChPOLR2A_7SK,103.46072754650066,0.36984125200829376,157.29314151875784,1.1707957501030384,3015.1769917160063,1.1895177854416696,0.5
56,E19,2915.9763146896594,292.4390860418992,532.268044181824,665.0709344873285,1270.6666666666667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,630,251017_mACmChPOLR2A_7SK,304.56804418182406,1.088739944645141,148.0390860418992,1.1019141147125229,2732.386738564256,1.0779541735549543,0.0
57,E20,2850.0735930867518,284.5351679784422,507.4937816882168,611.8235758928024,1421.0583832335328,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,668,251017_mACmChPOLR2A_7SK,279.7937816882168,1.0001793431927717,140.13516797844218,1.0430820919777328,2666.484016961349,1.051954884070109,0.0
58,E21,2947.626426729751,288.6548970253132,523.8188122967244,636.5721674805401,1236.168181818182,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,440,251017_mACmChPOLR2A_7SK,296.11881229672446,1.0585364599703482,144.25489702531317,1.0737468826550642,2764.036850604348,1.0904404625145565,0.0
59,E22,2655.2547218489517,249.77429182951832,459.20867368771513,467.7100099824352,1009.4642857142857,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,28,251017_mACmChPOLR2A_7SK,231.50867368771515,0.8275744793014465,105.37429182951831,0.7843429907552885,2471.6651457235484,0.9750968711197165,0.0
60,F03,3434.6514651838834,323.7481644605705,265.9260211474787,621.9287187125933,1604.5085574572126,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,818,251017_mACmChPOLR2A_7SK,38.22602114747872,0.13664662771798974,179.34816446057047,1.3349601051370426,3251.06188905848,1.2825767605787364,8.0
61,F04,3393.9569568132138,314.14170345957285,271.62819750165494,650.6156536568726,1457.1021126760563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1136,251017_mACmChPOLR2A_7SK,43.92819750165495,0.15703020796154424,169.74170345957285,1.2634553745117896,3210.3673806878105,1.2665223658915552,4.0
62,F05,3372.4810905296226,306.84513491857695,283.11924309483845,652.8787203867148,1528.7569515962925,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,971,251017_mACmChPOLR2A_7SK,55.419243094838464,0.19810726966263528,162.44513491857694,1.209144097137278,3188.8915144042194,1.2580499196728805,2.0
63,F06,3332.0935071924514,295.87579595968776,323.5299308150845,635.7283303914953,1557.1221804511279,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1064,251017_mACmChPOLR2A_7SK,95.82993081508454,0.34256342897443487,151.47579595968776,1.1274949208890208,3148.503931067048,1.2421166100122656,1.0
64,F07,3144.7612539629495,294.1438500990557,381.4008683039548,642.1688244465957,1564.2380165289255,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1210,251017_mACmChPOLR2A_7SK,153.7008683039548,0.5494347750719947,149.74385009905572,1.1146033552844599,2961.1716778375467,1.1682121435031423,0.5
