,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
35,251017_mACmChPOLR2A_7SK,D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,848,0.0,535.8162278544169,308.1162278544169,1.1014236433098088,304.05040188452455,159.65040188452454,1.1883417816176856,3575.341867693484,3391.752291568081,1.3380805457581506
36,251017_mACmChPOLR2A_7SK,D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1025,0.0,510.05175122892354,282.35175122892355,1.009323321588911,294.53835340840965,150.13835340840964,1.1175398011684534,3394.4710231197564,3210.8814469943536,1.2667251702430773
37,251017_mACmChPOLR2A_7SK,D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,849,0.0,520.9459027504478,293.2459027504478,1.0482666649602177,296.3511099160481,151.95110991604807,1.1310328727329348,3511.712992198436,3328.123416073033,1.3129783115354299
38,251017_mACmChPOLR2A_7SK,D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,966,0.0,512.728178894463,285.028178894463,1.0188907524605704,297.9534193138938,153.55341931389378,1.1429595023064447,3455.353436882557,3271.7638607571544,1.2907438975650358
39,251017_mACmChPOLR2A_7SK,D22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,784,0.0,516.9606596462922,289.26065964629225,1.0340206091460842,294.5014038780591,150.10140387805907,1.1172647710388175,3607.385524317976,3423.7959481925727,1.3507220920322636
40,251017_mACmChPOLR2A_7SK,E03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1799,8.0,263.7362355442712,36.03623554427122,0.12881879711670197,314.0456681556694,169.64566815566937,1.2627405453426064,2976.661465799171,2793.071889673768,1.101895078767254
41,251017_mACmChPOLR2A_7SK,E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1773,4.0,269.16470333643446,41.46470333643447,0.14822395086296766,310.1250170113036,165.7250170113036,1.2335575711001303,3012.0440208923005,2828.4544447668977,1.115853854219999
42,251017_mACmChPOLR2A_7SK,E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2432,2.0,281.12066932226674,53.42066932226675,0.19096296434208118,289.5594110950634,145.1594110950634,1.0804795425698368,2674.067413930467,2490.477837805064,0.9825186682097324
43,251017_mACmChPOLR2A_7SK,E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2196,1.0,320.7614414660596,93.06144146605959,0.33266690503442276,289.8114168176309,145.4114168176309,1.0823553219339896,2884.103771640927,2700.514195515524,1.0653801333152317
44,251017_mACmChPOLR2A_7SK,E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2085,0.5,375.5352875915991,147.83528759159913,0.5284670729703609,287.5344919322118,143.13449193221177,1.0654072595238135,2884.4041744540414,2700.8145983286386,1.0654986452599629
45,251017_mACmChPOLR2A_7SK,E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2441,0.0,513.7045851350698,286.0045851350698,1.022381113634886,283.05615255839393,138.65615255839393,1.0320731887832928,2773.136831038671,2589.5472549132683,1.0216025541531841
46,251017_mACmChPOLR2A_7SK,E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2385,0.0,513.5876444760582,285.88764447605826,1.0219630856472124,283.30960035489005,138.90960035489005,1.0339597020803475,2719.5413412611106,2535.9517651357073,1.0004585919628972
47,251017_mACmChPOLR2A_7SK,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1857,0.0,528.2222872699841,300.52228726998413,1.0742775700119878,293.74031260227514,149.34031260227513,1.1115996643308936,2967.932701534756,2784.343125409353,1.098451493078594
48,251017_mACmChPOLR2A_7SK,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2184,0.0,525.0261510196532,297.3261510196532,1.062852335911636,289.70144003142957,145.30144003142956,1.081536720737197,2956.912990616178,2773.3234144907747,1.0941041057895267
49,251017_mACmChPOLR2A_7SK,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1819,0.0,538.6158687296675,310.91586872966747,1.1114315246676012,296.27183559389783,151.87183559389783,1.1304428022532582,3187.7178120620583,3004.128235936655,1.1851589396615883
50,251017_mACmChPOLR2A_7SK,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,833,8.0,278.57067446881933,50.870674468819345,0.18184749307507492,320.59171898820796,176.19171898820795,1.3114654192989237,2835.27195981296,2651.6823836875574,1.0461154902033032
51,251017_mACmChPOLR2A_7SK,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,289,4.0,282.66014461143635,54.96014461143636,0.19646612947424616,316.78153882058103,172.38153882058103,1.2831047247110257,3186.3427978588147,3002.753221733412,1.1846164826666967
52,251017_mACmChPOLR2A_7SK,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,398,2.0,281.2697142876832,53.56971428768321,0.1914957556525848,314.07134352436776,169.67134352436776,1.2629316573787968,3113.6497667477474,2930.0601906223446,1.1559383474786635
53,251017_mACmChPOLR2A_7SK,E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,211,1.0,297.6980943122369,69.9980943122369,0.25022231577674553,302.03649818438436,157.63649818438435,1.1733514910654448,3076.5678907487945,2892.9783146233913,1.1413091727604012
54,251017_mACmChPOLR2A_7SK,E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,354,0.5,331.16072754650065,103.46072754650066,0.36984125200829376,301.69314151875784,157.29314151875784,1.1707957501030384,3198.766567841409,3015.1769917160063,1.1895177854416696
56,251017_mACmChPOLR2A_7SK,E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,630,0.0,532.268044181824,304.56804418182406,1.088739944645141,292.4390860418992,148.0390860418992,1.1019141147125229,2915.9763146896594,2732.386738564256,1.0779541735549543
57,251017_mACmChPOLR2A_7SK,E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,668,0.0,507.4937816882168,279.7937816882168,1.0001793431927717,284.5351679784422,140.13516797844218,1.0430820919777328,2850.0735930867518,2666.484016961349,1.051954884070109
58,251017_mACmChPOLR2A_7SK,E21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,440,0.0,523.8188122967244,296.11881229672446,1.0585364599703482,288.6548970253132,144.25489702531317,1.0737468826550642,2947.626426729751,2764.036850604348,1.0904404625145565
59,251017_mACmChPOLR2A_7SK,E22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,28,0.0,459.20867368771513,231.50867368771515,0.8275744793014465,249.77429182951832,105.37429182951831,0.7843429907552885,2655.2547218489517,2471.6651457235484,0.9750968711197165
60,251017_mACmChPOLR2A_7SK,F03,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,818,8.0,265.9260211474787,38.22602114747872,0.13664662771798974,323.7481644605705,179.34816446057047,1.3349601051370426,3434.6514651838834,3251.06188905848,1.2825767605787364
61,251017_mACmChPOLR2A_7SK,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1136,4.0,271.62819750165494,43.92819750165495,0.15703020796154424,314.14170345957285,169.74170345957285,1.2634553745117896,3393.9569568132138,3210.3673806878105,1.2665223658915552
62,251017_mACmChPOLR2A_7SK,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,971,2.0,283.11924309483845,55.419243094838464,0.19810726966263528,306.84513491857695,162.44513491857694,1.209144097137278,3372.4810905296226,3188.8915144042194,1.2580499196728805
63,251017_mACmChPOLR2A_7SK,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1064,1.0,323.5299308150845,95.82993081508454,0.34256342897443487,295.87579595968776,151.47579595968776,1.1274949208890208,3332.0935071924514,3148.503931067048,1.2421166100122656
64,251017_mACmChPOLR2A_7SK,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1210,0.5,381.4008683039548,153.7008683039548,0.5494347750719947,294.1438500990557,149.74385009905572,1.1146033552844599,3144.7612539629495,2961.1716778375467,1.1682121435031423
65,251017_mACmChPOLR2A_7SK,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,578,0.0,567.13995057851,339.43995057851004,1.2133966122282076,306.53580713399595,162.13580713399594,1.206841646743832,3973.363681998656,3789.7741058732527,1.4951041726996355
