WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_TIME_MINUTES,PRIMARY,SECONDARY
E15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647
E16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,30,Total Pol II (F12),Goat anti-mouse Alexa647
E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647
E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647
E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647
E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647
E22,HCT116 OsTIRF74G,Media,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647
F03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
F04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,30,Total Pol II (F12),Goat anti-mouse Alexa647
F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647
F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647
F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647
F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647
F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,30,Total Pol II (F12),Goat anti-mouse Alexa647
F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647
F12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647
F13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647
F15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647
F16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,30,Total Pol II (F12),Goat anti-mouse Alexa647
F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647
F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647
F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647
F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647
F22,HCT116 OsTIRF74G,1 mM EU,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647
G03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
G04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,30,Total Pol II (F12),Goat anti-mouse Alexa647
G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,60,Total Pol II (F12),Goat anti-mouse Alexa647
G06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,120,Total Pol II (F12),Goat anti-mouse Alexa647
G07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,Total Pol II (F12),Goat anti-mouse Alexa647
G09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,480,Total Pol II (F12),Goat anti-mouse Alexa647
G10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,30,Total Pol II (F12),Goat anti-mouse Alexa647
G11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,60,Total Pol II (F12),Goat anti-mouse Alexa647
G12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,120,Total Pol II (F12),Goat anti-mouse Alexa647
G13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,Total Pol II (F12),Goat anti-mouse Alexa647
G15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,480,Total Pol II (F12),Goat anti-mouse Alexa647
G16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,30,Total Pol II (F12),Goat anti-mouse Alexa647
G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,60,Total Pol II (F12),Goat anti-mouse Alexa647
G18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,120,Total Pol II (F12),Goat anti-mouse Alexa647
G19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
G20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,Total Pol II (F12),Goat anti-mouse Alexa647
G21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,480,Total Pol II (F12),Goat anti-mouse Alexa647
G22,HCT116 OsTIRF74G,Media,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647
H03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
H04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,30,Total Pol II (F12),Goat anti-mouse Alexa647
H05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647
H06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647
H07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
H08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647
H09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647
H10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,30,Total Pol II (F12),Goat anti-mouse Alexa647
H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647
H12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647
H13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647
H15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647
H16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,30,Total Pol II (F12),Goat anti-mouse Alexa647
H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647
H18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647
H19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647
H21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa647
H22,HCT116 OsTIRF74G,1 mM EU,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647
I03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
I04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,30,Total Pol II (F12),Goat anti-mouse Alexa647
I05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,60,Total Pol II (F12),Goat anti-mouse Alexa647
I06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,120,Total Pol II (F12),Goat anti-mouse Alexa647
I07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
I08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,Total Pol II (F12),Goat anti-mouse Alexa647
I09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,480,Total Pol II (F12),Goat anti-mouse Alexa647
I10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,30,Total Pol II (F12),Goat anti-mouse Alexa647
I11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,60,Total Pol II (F12),Goat anti-mouse Alexa647
I12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,120,Total Pol II (F12),Goat anti-mouse Alexa647
I13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
I14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,Total Pol II (F12),Goat anti-mouse Alexa647
I15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,480,Total Pol II (F12),Goat anti-mouse Alexa647
I16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,30,Total Pol II (F12),Goat anti-mouse Alexa647
I17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,60,Total Pol II (F12),Goat anti-mouse Alexa647
I18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,120,Total Pol II (F12),Goat anti-mouse Alexa647
I19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
I20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,Total Pol II (F12),Goat anti-mouse Alexa647
I21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,480,Total Pol II (F12),Goat anti-mouse Alexa647
I22,HCT116 OsTIRF74G,Media,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647
J03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
J04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,30,Total Pol II (F12),Goat anti-mouse Alexa647
J05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,60,Total Pol II (F12),Goat anti-mouse Alexa647
J06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,120,Total Pol II (F12),Goat anti-mouse Alexa647
J07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
J08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,240,Total Pol II (F12),Goat anti-mouse Alexa647
J09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,480,Total Pol II (F12),Goat anti-mouse Alexa647
J10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,30,Total Pol II (F12),Goat anti-mouse Alexa647
J11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,60,Total Pol II (F12),Goat anti-mouse Alexa647
J12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,120,Total Pol II (F12),Goat anti-mouse Alexa647
J13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
J14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,240,Total Pol II (F12),Goat anti-mouse Alexa647
J15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,480,Total Pol II (F12),Goat anti-mouse Alexa647
J16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,30,Total Pol II (F12),Goat anti-mouse Alexa647
J17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,60,Total Pol II (F12),Goat anti-mouse Alexa647
J18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,120,Total Pol II (F12),Goat anti-mouse Alexa647
J19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
J20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,240,Total Pol II (F12),Goat anti-mouse Alexa647
J21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1,480,Total Pol II (F12),Goat anti-mouse Alexa647
J22,HCT116 OsTIRF74G,1 mM EU,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647
K03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
K04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,30,Total Pol II (F12),Goat anti-mouse Alexa647
K05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647
K06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647
K07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
K08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
K09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
K10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,30,Total Pol II (F12),Goat anti-mouse Alexa647
K11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647
K12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647
K13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
K14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
K15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
K16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,30,Total Pol II (F12),Goat anti-mouse Alexa647
K17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647
K18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647
K19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
K20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
K21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
K22,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
L03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
L04,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,30,Total Pol II (F12),Goat anti-mouse Alexa647
L05,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647
L06,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647
L07,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
L08,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647
L09,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647
L10,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,30,Total Pol II (F12),Goat anti-mouse Alexa647
L11,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647
L12,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647
L13,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
L14,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647
L15,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647
L16,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,30,Total Pol II (F12),Goat anti-mouse Alexa647
L17,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647
L18,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647
L19,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
L20,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647
L21,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647
L22,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
M03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
M04,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,30,Total Pol II (F12),Goat anti-mouse Alexa647
M05,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647
M06,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647
M07,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
M08,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
M09,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
M10,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,30,Total Pol II (F12),Goat anti-mouse Alexa647
M11,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647
M12,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647
M13,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
M14,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
M15,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
M16,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,30,Total Pol II (F12),Goat anti-mouse Alexa647
