WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_TIME_MINUTES,PRIMARY,SECONDARY
M17,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647
M18,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647
M19,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
M20,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647
M21,HCT116 OsTIRF74G mAC-/mChPOLR2A Clone 1,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
M22,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N03,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N04,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N05,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N06,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N07,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N08,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N09,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N10,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N11,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N12,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N13,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N14,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N15,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N16,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N17,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N18,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N19,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N20,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N21,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
N22,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647
