,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT
18,C21,1739.335108254957,995.1922588785561,1165.4704995940854,1609.6097404677987,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3121,250822_PTEFB_SIRNA
19,C22,1830.7344942376606,1048.1421031302282,1112.6088973891308,1611.9536878216124,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2332,250822_PTEFB_SIRNA
20,D03,2037.8476239017375,2530.3546850889093,1517.2840532818977,1387.96269982238,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,250822_PTEFB_SIRNA
21,D04,1971.5576393666418,981.127690612603,1405.1818493624812,1466.7932242990655,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2568,250822_PTEFB_SIRNA
22,D05,2071.457425290172,1213.7668513524186,1386.070374102297,1552.949513381995,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1644,250822_PTEFB_SIRNA
23,D06,2077.8092288841726,2633.386215552232,1456.3505428680016,1375.0063985374773,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1094,250822_PTEFB_SIRNA
24,D07,2020.0273933068231,1267.6456044027882,1349.1590213454801,1536.1870860927152,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1812,250822_PTEFB_SIRNA
25,D08,2145.0084687085996,2296.7672515775716,1526.1089588956968,1503.5657514450868,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1384,250822_PTEFB_SIRNA
26,D09,2438.037107092473,495.24931308505853,1366.7414662419305,1475.7125748502995,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2672,250822_PTEFB_SIRNA
27,D10,1760.572111280433,2027.6405073453743,1724.7344676249545,1013.6310240963855,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,664,250822_PTEFB_SIRNA
28,D11,1184.7174269470638,2596.5200920988773,1224.6603867526942,1151.628205128205,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,156,250822_PTEFB_SIRNA
29,D12,2046.2797516277742,986.8511614761287,1352.7318379656517,1528.2133479212255,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2742,250822_PTEFB_SIRNA
30,D13,1763.7069406263597,1485.6981072860942,1176.0775589029408,1809.8486550399055,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3383,250822_PTEFB_SIRNA
31,D14,2078.1773291576196,2771.336724328266,1468.5484822456267,1407.3092896174862,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,915,250822_PTEFB_SIRNA
32,D15,2736.8198546393633,2049.3459651892445,1377.4782718490928,1163.5659670164916,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1334,250822_PTEFB_SIRNA
33,D16,1811.2292393993987,1071.0966419940182,1113.1925252075562,1612.8944818304171,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3715,250822_PTEFB_SIRNA
34,D17,1750.5224203671582,969.8664144359169,1219.737251565774,1493.7335011185683,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3576,250822_PTEFB_SIRNA
35,D18,1957.2091973543,961.2733746353905,1470.617741198807,1355.2034084661902,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1819,250822_PTEFB_SIRNA
36,D19,1714.0833477442295,969.6478521234653,1188.2725207665494,1725.117663268118,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3629,250822_PTEFB_SIRNA
37,D20,2327.5737429895,1569.5309497873534,1547.0023284279396,1604.9012474012475,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,962,250822_PTEFB_SIRNA
38,D21,1788.0968536659657,965.2474699137214,1205.3927505967417,1607.5512027491409,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,250822_PTEFB_SIRNA
39,D22,1763.5098809039598,1007.6759849253409,1090.573633849886,1678.7247414478918,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2514,250822_PTEFB_SIRNA
40,E03,1800.5973399335585,1059.834682566197,1227.1398893651976,1628.9282341831918,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2118,250822_PTEFB_SIRNA
41,E04,1861.623837901396,2019.1452546408025,1393.2530380101732,1561.792368511516,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2909,250822_PTEFB_SIRNA
42,E05,1931.5206680863032,1012.9976964096293,1443.9706132411584,1419.5191133954386,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3113,250822_PTEFB_SIRNA
43,E06,1938.8327267071602,1140.2328513040682,1335.5725167721505,1566.1253225211942,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2713,250822_PTEFB_SIRNA
44,E07,2037.6226344223276,2694.533667440892,1526.0651888029997,1324.966592427617,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1347,250822_PTEFB_SIRNA
45,E08,1874.8082161341108,1174.2834484185041,1370.1958007578637,1473.5119126406353,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3022,250822_PTEFB_SIRNA
46,E09,1909.052805368498,1755.1842625474985,1424.7313487988226,1524.923392612859,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2193,250822_PTEFB_SIRNA
47,E10,2455.9797976927193,486.57951297293835,1435.9479003170723,1366.4440881763528,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2495,250822_PTEFB_SIRNA
48,E11,1672.1002779512378,1805.709651062006,1694.219629639454,1164.1849206349207,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1260,250822_PTEFB_SIRNA
49,E12,1056.9086139276696,2187.66655272625,1139.1754188571579,1214.4844720496894,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,161,250822_PTEFB_SIRNA
50,E13,1926.1836088637056,917.4135440437307,1379.5776516576077,1494.895416397676,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3098,250822_PTEFB_SIRNA
51,E14,1736.8439178765393,1436.1932531215537,1227.8452260560773,1752.3023909985936,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3555,250822_PTEFB_SIRNA
52,E15,1936.0233099575266,2319.0377738335737,1476.6877278692355,1443.709887507401,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1689,250822_PTEFB_SIRNA
53,E16,2309.6353109741353,1787.511770358364,1438.2522900356912,1259.6675335934115,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2307,250822_PTEFB_SIRNA
54,E17,1865.8658610946216,1061.4416128570144,1135.1931486664625,1553.2306677223542,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3789,250822_PTEFB_SIRNA
55,E18,1793.7120234071194,954.9629886366682,1192.8569602909613,1466.3953672018952,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3799,250822_PTEFB_SIRNA
56,E19,1838.1950106264808,1015.2698104818511,1450.7435001401755,1395.8785391875256,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2437,250822_PTEFB_SIRNA
57,E20,1623.213848951154,947.472499485423,1188.4666979536246,1614.6936594633103,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4211,250822_PTEFB_SIRNA
58,E21,2299.8505881245337,1487.2141613662614,1523.5758937689072,1578.094688221709,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1299,250822_PTEFB_SIRNA
59,E22,1722.3494323694035,952.5368830083958,1217.4896304076567,1608.1216494845362,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,250822_PTEFB_SIRNA
60,F03,1805.4868628846568,1034.700657363093,1287.267210723839,1669.7887617065558,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2883,250822_PTEFB_SIRNA
61,F04,1678.31556911069,1003.1528292081482,1115.537032832276,1653.7204803202135,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2998,250822_PTEFB_SIRNA
62,F05,1859.7694554344193,1712.6127392387555,1303.7962988192442,1592.836960051965,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3079,250822_PTEFB_SIRNA
63,F06,1773.8407890277042,945.8428531398939,1262.3478011180143,1543.5829471733086,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3237,250822_PTEFB_SIRNA
64,F07,1966.7673254938502,1135.5902563787179,1394.3343874582322,1537.7804305283757,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2555,250822_PTEFB_SIRNA
65,F08,1810.0059018805316,2352.2334768204846,1280.6424855183568,1462.474231912785,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2018,250822_PTEFB_SIRNA
66,F09,1920.0426155069367,1162.662086723594,1421.4105875224145,1496.69247219846,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2338,250822_PTEFB_SIRNA
67,F10,1858.3303441709622,1648.4798737848323,1346.818937944417,1545.4166666666667,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2376,250822_PTEFB_SIRNA
68,F11,2316.72128583665,502.4486752465479,1438.1263968337644,1424.2531026701768,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2659,250822_PTEFB_SIRNA
69,F12,1691.6052093870815,2049.8499795416824,1785.0634826588082,1015.7564102564103,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1014,250822_PTEFB_SIRNA
70,F13,1136.298372457349,2253.845908888216,1029.015435549629,1211.8947368421052,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,152,250822_PTEFB_SIRNA
71,F14,1953.2314938036732,989.4480405429548,1303.6234330502643,1519.9399421128799,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2764,250822_PTEFB_SIRNA
72,F15,1801.0496013797285,1413.7238786629734,1184.6017762822378,1690.2663360560093,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3428,250822_PTEFB_SIRNA
73,F16,1879.3039825224437,2271.471662319876,1332.22056976357,1483.3461300309598,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1615,250822_PTEFB_SIRNA
74,F17,2362.4717284099806,1909.3403080340163,1335.7242401699646,1274.3546404425322,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1627,250822_PTEFB_SIRNA
75,F18,1853.2084764455321,1094.987782255291,1137.5759219538359,1596.409389197375,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3962,250822_PTEFB_SIRNA
76,F19,1899.4135071233127,956.1447911235185,1264.180945580775,1505.6077063106795,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3296,250822_PTEFB_SIRNA
77,F20,1866.9975217096824,958.2977550128023,1372.902643869599,1388.890144665461,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2212,250822_PTEFB_SIRNA
78,F21,1770.8187821769739,926.1393736161833,1094.7083813801912,1702.4557616296747,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3289,250822_PTEFB_SIRNA
79,F22,2333.454584764717,1575.2106515115831,1432.502561733241,1564.7182926829269,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,820,250822_PTEFB_SIRNA
80,G03,2237.972029057572,1638.7568061177296,1522.9544466564778,1558.4761904761904,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1029,250822_PTEFB_SIRNA
81,G04,1683.8153542965488,1044.24140630469,1143.8397130015564,1592.4785360484316,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3634,250822_PTEFB_SIRNA
82,G05,1698.6300102913378,971.2424185084286,1132.350154247996,1615.5374958704988,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3027,250822_PTEFB_SIRNA
83,G06,1762.0043717061933,1719.034162836066,1175.8826347543645,1591.3987750935692,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2939,250822_PTEFB_SIRNA
84,G07,1726.7963703376786,977.2418378852161,1274.2864306836607,1460.1413760603205,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3183,250822_PTEFB_SIRNA
85,G08,1830.3976186444959,1104.8091169603763,1178.166811515217,1556.5849125364432,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2744,250822_PTEFB_SIRNA
86,G09,1770.0264539532907,2086.7060384461943,1297.599176730992,1480.4729291994447,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2161,250822_PTEFB_SIRNA
87,G10,1829.0519291657033,1148.7124134546336,1312.244491404509,1433.9766255843604,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2353,250822_PTEFB_SIRNA
88,G11,1761.8618711522192,1451.0434727862644,1387.0949042982493,1577.651491365777,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2548,250822_PTEFB_SIRNA
89,G12,2226.3659597263395,488.0681047702157,1242.6003937193918,1436.3665173957975,HCT116,INTS8 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2903,250822_PTEFB_SIRNA
90,G13,1650.688105682905,1957.111579067411,1736.3458901561598,1017.9337410805301,HCT116,SPT5 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,981,250822_PTEFB_SIRNA
91,G14,1045.3768117075042,2184.2298178643637,1069.6675144791234,1197.7237569060774,HCT116,POLR2B,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,181,250822_PTEFB_SIRNA
92,G15,1817.154100272786,974.4288895735529,1288.1703643300941,1520.8738764044945,HCT116,Scrambled,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3560,250822_PTEFB_SIRNA
93,G16,1758.0144909257388,1336.0780438287045,1183.7342503404575,1675.2311871773975,HCT116,HEXIM1 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3681,250822_PTEFB_SIRNA
94,G17,1873.7210819956863,2201.174016616153,1348.5626965526965,1456.8760226557583,HCT116,HEXIM1 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1589,250822_PTEFB_SIRNA
95,G18,2762.491217518092,2098.5004225321254,1245.549541892019,1199.8359375,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1152,250822_PTEFB_SIRNA
96,G19,1772.9350430235752,994.8812664384328,1114.0532485291008,1591.4397715472483,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3852,250822_PTEFB_SIRNA
97,G20,1770.8730224380438,942.3213229807874,1138.9228443855893,1495.321125109874,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3413,250822_PTEFB_SIRNA
98,G21,1576.9817888482146,884.524525973974,1269.3932284002071,1453.1048906048907,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3108,250822_PTEFB_SIRNA
99,G22,1730.896353557188,883.759351348074,1031.2011986934795,1677.0493482309125,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3222,250822_PTEFB_SIRNA
100,H03,1785.59871032465,961.6898538035736,1137.7094171549966,1664.5769593956563,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2118,250822_PTEFB_SIRNA
101,H04,1815.4276521611216,1025.584562147654,1263.1385222772935,1625.5514764565044,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2506,250822_PTEFB_SIRNA
102,H05,1642.2917730732581,900.3861754282392,1154.4250102009778,1635.9070492825952,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3206,250822_PTEFB_SIRNA
103,H06,153.4092046165217,233.05426687134005,196.83313434532943,43.333333333333336,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3,250822_PTEFB_SIRNA
104,H07,1732.3748924553743,919.6192156516739,1141.226721296835,1649.5236363636363,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3025,250822_PTEFB_SIRNA
105,H08,1668.9093885054515,900.3003403212076,1158.7222537507457,1589.9901426718548,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3855,250822_PTEFB_SIRNA
106,H09,1675.6779380363216,903.9697217899111,1170.185867389144,1566.2540931989925,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3176,250822_PTEFB_SIRNA
107,H10,1675.140725280946,906.3406484862948,1136.9203164497644,1632.173031340532,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3797,250822_PTEFB_SIRNA
108,H11,1720.3521346152074,911.6282000380239,1206.9256761214876,1574.202930005426,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3686,250822_PTEFB_SIRNA
109,H12,1679.7679426260922,947.8165492785478,1168.0961442979929,1573.212319433088,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3669,250822_PTEFB_SIRNA
110,H13,1649.2760627986665,863.6002161440867,1186.0631628194371,1566.780897063569,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3099,250822_PTEFB_SIRNA
111,H14,1692.6645797998603,944.2916459715262,1190.4801080720283,1555.6728888888888,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3375,250822_PTEFB_SIRNA
112,H15,1738.4163282289942,929.7728542663921,1267.8209157123495,1527.4338167232336,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3241,250822_PTEFB_SIRNA
113,H16,1633.5371862046736,911.5691706939701,1119.867425990057,1615.884433305486,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3591,250822_PTEFB_SIRNA
114,H17,1629.6591258394471,938.8474993288734,1208.194937677578,1557.388085106383,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3525,250822_PTEFB_SIRNA
115,H18,1618.9527636521611,958.0071166024011,1062.6504892226176,1603.046145638837,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3749,250822_PTEFB_SIRNA
116,H19,1566.1260185997573,237.20561467898932,1210.3425160730633,1613.7964091054826,HCT116,No transfection,Total Pol II F12,No primary,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3119,250822_PTEFB_SIRNA
