,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells,ROW,COLUMN,FISH_647_Intensity_BGS,IF_488_Intensity_BGS,EXPERIMENT
24,F09,909.9395702803528,350.5654391562063,536.348931112507,5533.002640264026,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3030,F,9,180.14907922345282,656.8924723106481,251117_LARP7_7SK
25,F10,979.8163446427652,359.46420970732714,526.0239468208722,5039.36797188755,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3984,F,10,189.04784977457365,726.7692466730606,251117_LARP7_7SK
26,F11,387.4858238952163,201.1754134553043,183.49506490393867,1035.25,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,52,F,11,30.7590535225508,134.43872592551168,251117_LARP7_7SK
27,F12,906.164520112514,355.00010021795106,471.04193515944684,5474.290120087337,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3664,F,12,184.58374028519756,653.1174221428093,251117_LARP7_7SK
28,F13,873.8582858392963,360.8022237275871,518.3242640128431,5455.378100558659,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4475,F,13,190.3858637948336,620.8111878695917,251117_LARP7_7SK
29,F14,840.0583978806052,355.9839019205471,499.4325774895306,5534.914602683179,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3876,F,14,185.56754198779362,587.0112999109006,251117_LARP7_7SK
30,G05,910.0279707685584,340.8597238538697,530.2462987112635,5536.943925233645,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3852,G,5,170.4433639211162,656.9808727988537,251117_LARP7_7SK
31,G06,875.7331217139534,356.7729729308069,527.452781009125,5553.804612937433,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3772,G,6,186.35661299805338,622.6860237442488,251117_LARP7_7SK
32,G07,1028.1606831860386,222.28647784135683,430.3673292651501,5358.505357908272,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2333,G,7,51.87011790860333,775.113585216334,251117_LARP7_7SK
33,G08,834.0324500135953,394.40475117680023,226.81523255287328,4609.070175438596,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,114,G,8,223.98839124404674,580.9853520438907,251117_LARP7_7SK
34,G09,815.9176557648746,223.54971539080688,477.089347079719,5534.966705836271,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2553,G,9,53.13335545805339,562.8705577951699,251117_LARP7_7SK
35,G10,668.3848454911215,371.8247182287547,515.3317092195548,5419.370497427101,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3498,G,10,201.4083582960012,415.3377475214169,251117_LARP7_7SK
36,G11,504.42679621132754,397.3327854273534,428.60772635410865,5377.442180094787,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4220,G,11,226.91642549459988,251.37969824162292,251117_LARP7_7SK
37,G12,602.5103380506854,281.89487067299086,220.51283435457668,3221.309090909091,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,110,G,12,111.47851074023737,349.46324008098077,251117_LARP7_7SK
38,G13,733.1518798245205,368.7958555763357,480.80998323981225,5674.4379136881125,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3777,G,13,198.37949564358223,480.1047818548159,251117_LARP7_7SK
39,G14,663.1301537334089,368.26899196677334,456.130028371006,5696.80991980992,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3367,G,14,197.85263203401985,410.08305576370424,251117_LARP7_7SK
40,H05,884.2228330651668,350.39514379782213,549.9565258444286,5575.826476793249,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3792,H,5,179.97878386506864,631.1757350954622,251117_LARP7_7SK
41,H06,913.3544557114781,366.36012823052243,532.7287720867408,5541.762273276904,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4135,H,6,195.94376829776894,660.3073577417734,251117_LARP7_7SK
42,H07,871.2992947252415,355.90784700221684,402.73939798388716,5492.419875776398,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4025,H,7,185.49148706946335,618.2521967555368,251117_LARP7_7SK
43,H08,993.229969517675,227.69799530656093,443.64107278292164,5161.3103205354,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2839,H,8,57.28163537380743,740.1828715479704,251117_LARP7_7SK
44,H09,808.3058052930035,382.97124737378414,215.8982779553326,4621.309523809524,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,126,H,9,212.55488744103064,555.2587073232988,251117_LARP7_7SK
45,H10,440.929308136523,225.88645691484047,472.74479640369094,5740.9184608337155,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2183,H,10,55.47009698208697,187.88221016681837,251117_LARP7_7SK
46,H11,321.14309386202694,435.56738401158105,423.9005057308251,5650.2012833502195,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2961,H,11,265.15102407882756,68.09599589232232,251117_LARP7_7SK
47,H12,790.1458703027216,372.60399621488074,495.60373445729306,5163.733147804576,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3234,H,12,202.18763628212724,537.098772333017,251117_LARP7_7SK
48,H13,672.2631473500105,263.07018456438317,211.41845684994797,4069.391304347826,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,92,H,13,92.65382463162967,419.2160493803059,251117_LARP7_7SK
49,H14,756.1414424835376,363.9856555216196,488.994091627033,5538.178708195047,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3917,H,14,193.5692955888661,503.094344513833,251117_LARP7_7SK
50,I05,852.6007536365211,351.6482540904812,534.9926485092607,5556.6108550947265,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3906,I,5,181.2318941577277,599.5536556668164,251117_LARP7_7SK
51,I06,912.7738389711338,356.6335318599102,495.7465761841877,5581.018360240582,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3159,I,6,186.2171719271567,659.7267410014292,251117_LARP7_7SK
52,I07,875.4109583162907,350.98830824265855,438.0189056532719,5620.170487106017,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3490,I,7,180.57194830990505,622.3638603465861,251117_LARP7_7SK
53,I08,724.1837772783219,366.9311760373893,432.1589330510527,5673.43098669623,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3608,I,8,196.51481610463583,471.1366793086173,251117_LARP7_7SK
54,I09,1018.308757262313,225.1099485007033,448.1275993803865,4990.129384965831,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2195,I,9,54.6935885679498,765.2616592926083,251117_LARP7_7SK
55,I10,833.5428588995824,386.7605502667924,235.4622534290905,4712.255319148936,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,141,I,10,216.3441903340389,580.4957609298777,251117_LARP7_7SK
56,I11,971.2481100891206,218.8406386872199,408.1020468964988,5520.719395465995,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1985,I,11,48.4242787544664,718.201012119416,251117_LARP7_7SK
57,I12,901.0645031109085,351.0412616169051,455.4186967269025,5316.396842482956,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2787,I,12,180.6249016841516,648.0174051412039,251117_LARP7_7SK
58,I13,599.9951824186571,386.98900803741907,487.48117301339084,5428.619301361752,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3378,I,13,216.57264810466557,346.9480844489525,251117_LARP7_7SK
59,I14,810.5571838619442,298.5393823028172,219.06379595360715,3419.701923076923,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,104,I,14,128.12302237006372,557.5100858922395,251117_LARP7_7SK
60,J05,818.629713878926,351.3036155751278,515.6930903579133,5492.622772828508,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3592,J,5,180.88725564237433,565.5826159092214,251117_LARP7_7SK
61,J06,819.7240457153804,354.03287340619306,489.03004907886555,5819.729642647921,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3414,J,6,183.61651347343957,566.6769477456758,251117_LARP7_7SK
62,J07,595.8212995215044,372.30757795524755,524.3043209952481,5487.08656089594,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,4286,J,7,201.89121802249406,342.7742015517998,251117_LARP7_7SK
63,J08,524.328821680065,380.2193544503567,479.06023687165776,5593.103083434099,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3308,J,8,209.80299451760322,271.2817237103603,251117_LARP7_7SK
64,J09,845.7412907656751,350.6090800966426,385.0280749856847,5774.71704745167,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3414,J,9,180.19272016388908,592.6941927959705,251117_LARP7_7SK
65,J10,718.6849739506902,366.26954423941527,486.11924118091514,5476.742432735426,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3568,J,10,195.85318430666177,465.63787598098554,251117_LARP7_7SK
66,J11,238.2536264790619,340.7231049091826,479.43169015110095,5501.981604905359,HCT116,OptiMEM only,No primary,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3751,J,11,170.30674497642912,-14.79347149064273,251117_LARP7_7SK
67,J12,409.7909926401257,170.5832558477952,493.608721589026,5592.154396423249,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes,3355,J,12,0.16689591504169243,156.74389467042107,251117_LARP7_7SK
68,J13,238.76349971547637,399.0851749173242,496.22275128529634,5541.594631986718,HCT116,OptiMEM only,No primary,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3614,J,13,228.6688149845707,-14.283598254228252,251117_LARP7_7SK
69,J14,686.0867841893231,170.24946401771177,482.14881889605874,5796.871284094392,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes,3263,J,14,-0.16689591504172085,433.0396862196185,251117_LARP7_7SK
