,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,RFP_Intensity_BGS,RFP_Intensity_Fraction,RFP_Intensity_Fraction2,DRUG_2_TIME_IN,RFP_Intensity_Decay,Log_RFP_Intensity_Decay,TIME_HR,DRUG_2_TIME_HOURS
21,D04,176.53468201818063,175.70326440452976,215.74253723738462,1642.7621604548326,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,04,-0.26844333148829946,42.400123130524236,0.9904171795689812,0.9904171795689812,0,0.9904171795689812,-0.00962903111078786,0.5,0.0
22,D05,172.79532439531684,176.4067767934963,209.29970478883823,1713.1513255883228,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,05,0.43506905747824476,38.66076550766044,0.9030701683625367,0.9030701683625367,30,0.9030701683625367,-0.10195502275625618,0.5,0.5
23,D06,175.20744765694175,175.97125983694085,214.77400451467165,1643.0618695359785,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,06,-0.00044789907721565214,41.072888769285356,0.9594145405285555,0.9594145405285555,30,0.9594145405285555,-0.041432034172700194,0.5,0.5
24,D07,175.95813976872796,175.57502134848292,214.97863816014927,1669.330658105939,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,07,-0.39668638753514074,41.823580881071564,0.9769498283811685,0.9769498283811685,0,0.9769498283811685,-0.023319980989610644,0.5,0.0
25,D08,177.17313623800067,175.90500904209102,217.97843324844803,1728.9233257845358,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,08,-0.06669869392703731,43.03857735034427,1.0053307218181746,1.0053307218181746,30,1.0053307218181746,0.005316563813259133,0.5,0.5
26,D09,176.11747232780593,175.82133327183436,219.19940233502297,1618.3582797155434,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,09,-0.15037446418369882,41.98291344014953,0.9806716502091316,0.9806716502091316,30,0.9806716502091316,-0.019517584711363247,0.5,0.5
27,D10,166.49976524863928,226.51860549418456,282.5752803264519,1411.976370510397,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,10,50.546897758166494,32.36520636098288,0.7560132856580313,0.7560132856580313,0,1.0848919683085516,0.08148041365594764,0.5,0.0
28,D11,160.5402191504617,221.3379220371546,269.87396207708696,1690.9904912836766,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,11,45.36621430113655,26.4056602628053,0.6168052739289532,0.6168052739289532,30,0.8851260955201824,-0.1220251633098692,0.5,0.5
29,D12,165.0721725825466,229.1594364427493,283.2421683605655,1451.8830734966593,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,12,53.187728706731235,30.937613694890217,0.722666394245186,0.722666394245186,30,1.0370386099772042,0.03636916093345719,0.5,0.5
30,D13,176.91602842320208,179.72202229981525,280.8148174354886,1429.1510791366907,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,13,3.7503145637971897,42.78146953554568,0.9993249846179767,0.9993249846179767,0,1.012327858614751,0.012252489361205652,0.5,0.0
31,D14,168.92362437032915,179.52433161796236,264.528625004206,1825.1884262526464,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,14,3.5526238819442995,34.789065482672754,0.8126317937596833,0.8126317937596833,30,0.8232054799805569,-0.19454943755957962,0.5,0.5
32,D15,175.73322352375857,179.95500372313,292.4404980232924,1401.1212367778683,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,15,3.983295987111944,41.59866463610217,0.9716960485207637,0.9716960485207637,30,0.9843394242759581,-0.015784498039294118,0.5,0.5
33,D16,163.78899738431184,225.66349276765945,283.91769610295563,1356.1089430894308,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,16,49.69178503164139,29.654438496655445,0.6926929256112321,0.6926929256112321,0,0.9940261709100502,-0.005991743788811691,0.5,0.0
34,D17,160.52177336624925,217.1042218249288,264.242908858626,1733.2534081796312,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,17,41.13251408891074,26.387214478592853,0.6163744020298696,0.6163744020298696,30,0.8845077869910157,-0.12272396158722841,0.5,0.5
35,D18,163.4894678481136,226.86652316577087,279.0504558969216,1471.5370705244122,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,18,50.89481542975281,29.35490896045721,0.6856962667212136,0.6856962667212136,30,0.9839858459861716,-0.016143766193731413,0.5,0.5
36,D19,180.545034303217,179.6430985756883,315.57932453346643,1310.5704697986578,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,19,3.671390839670238,46.4104754155606,1.084094308453645,1.084094308453645,0,1.0982001718218382,0.09367263232031568,0.5,0.0
37,D20,171.46909472073278,180.60570326939185,282.54183421872244,1733.2449567723343,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,20,4.633995533373792,37.33453583307639,0.8720909976247845,0.8720909976247845,30,0.8834383466157348,-0.12393377277478881,0.5,0.5
38,D21,177.06959074606957,179.59680891769594,292.5867419348693,1474.6230580539657,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase,D,21,3.625101181677877,42.93503185841317,1.0029120204912991,1.0029120204912991,30,1.0159615677687384,0.015835521441557903,0.5,0.5
41,E04,177.47704546460838,176.16086554899192,208.0926076332236,1619.84328817734,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,04,0.18915781297386047,43.342486576951984,1.0124296851427672,1.0124296851427672,0,1.0124296851427672,0.012353070814442799,1.0,0.0
42,E05,173.8048867741472,176.94936357347962,204.30105496509108,1647.5314853871648,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,05,0.9776558374615547,39.67032788649081,0.9266523622340516,0.9266523622340516,60,0.9266523622340516,-0.07617679752278088,1.0,1.0
43,E06,176.45425515658093,176.684733358483,211.52591710586523,1619.1803336883208,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,06,0.7130256224649258,42.31969626892453,0.9885385023495319,0.9885385023495319,60,0.9885385023495319,-0.011527686852282086,1.0,1.0
44,E07,176.8635067006022,176.04610464995136,204.36855636961238,1641.5018393623543,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,07,0.07439691393329895,42.72894781294579,0.9980981387382287,0.9980981387382287,0,0.9980981387382287,-0.0019036720962356563,1.0,0.0
45,E08,172.10986465481596,175.17932114466677,210.5334959461763,1723.2658994548758,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,08,-0.7923865913512884,37.97530576715957,0.8870586322449394,0.8870586322449394,60,0.8870586322449394,-0.11984419711542334,1.0,1.0
46,E09,175.1101731188942,176.57225880684297,213.2767153108643,1622.971183800623,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,09,0.6005510708249062,40.97561423123781,0.9571423213342776,0.9571423213342776,60,0.9571423213342776,-0.043803182458558125,1.0,1.0
47,E10,164.23354768237436,228.3544858056552,277.46141947382847,1356.6025641025642,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,10,52.38277806963714,30.098988794717968,0.7030770995210165,0.7030770995210165,0,1.0089276377042993,0.008888021955592287,1.0,0.0
48,E11,158.77564390916362,220.04671958411666,255.92614984820224,1756.333984375,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,11,44.0750118480986,24.641085021507223,0.5755868645332142,0.5755868645332142,60,0.8259769745348692,-0.19118838171547398,1.0,1.0
49,E12,162.9914333481471,228.8436273317732,275.65860261974603,1438.518607442977,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,12,52.871919595755145,28.8568744604907,0.6740627645432501,0.6740627645432501,60,0.9672915718039562,-0.03325530694649621,1.0,1.0
50,E13,179.92218882979043,180.71659866295056,295.5769412788932,1477.1925795053003,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,13,4.744890926932499,45.78762994213403,1.0695453682253477,1.0695453682253477,0,1.0834619257726246,0.08016140134235612,1.0,0.0
51,E14,166.503163120143,178.80011961087695,248.8851859604428,1742.4984690753215,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,14,2.8284118748588867,32.368604232486604,0.756092655953747,0.756092655953747,60,0.7659306743027142,-0.2666636168584974,1.0,1.0
52,E15,171.87346003462613,179.52104207206062,272.39556412498735,1518.2117834394905,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,15,3.5493343360425627,37.73890114696974,0.8815364974047949,0.8815364974047949,60,0.8930067479996944,-0.11316114158357898,1.0,1.0
53,E16,165.91881177187898,235.03021414715494,289.41604725263187,1391.7282608695652,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,16,59.058506411136875,31.78425288422258,0.7424428933706677,0.7424428933706677,0,1.0654182237611358,0.06336742044282861,1.0,0.0
54,E17,160.0683523413975,222.50059689703826,267.731158277756,1730.007402422611,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,17,46.5288891610202,25.933793453741117,0.6057830183395794,0.6057830183395794,60,0.8693089706251514,-0.14005666958403182,1.0,1.0
55,E18,163.9211096848248,229.62967852859904,276.2180818776707,1411.64010989011,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,18,53.65797079258098,29.786550797168417,0.6957789141037096,0.6957789141037096,60,0.998454617067405,-0.0015465782684589845,1.0,1.0
56,E19,181.69623687335474,180.2759282512385,304.78684851057,1296.598275862069,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,19,4.304220515220436,47.56167798569834,1.110985051179049,1.110985051179049,0,1.1254408076698201,0.11817478795127195,1.0,0.0
57,E20,168.5229808352156,179.06212732853618,260.132160063929,1751.3562119895744,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,20,3.090419592518117,34.38842194755921,0.8032732303697095,0.8032732303697095,60,0.8137251461731276,-0.2061326282629551,1.0,1.0
58,E21,179.06248973133106,179.63648938117328,297.7060728086034,1425.4979702300407,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250512_mACmChPOLR2A_Inhibitors_Chase,E,21,3.664781645155216,44.92793084367466,1.0494638049300478,1.0494638049300478,60,1.0631190680623885,0.061207104434504576,1.0,1.0
61,F04,175.62346641148721,175.27495318481988,210.45310311269313,1600.4563359345968,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,04,-0.6967545511981825,41.48890752383082,0.969132251023318,0.969132251023318,0,0.969132251023318,-0.03135419443997828,2.0,0.0
62,F05,170.7585619665995,175.00742862009233,204.96034124121246,1668.0477679840774,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,05,-0.9642791159257342,36.624003078943105,0.8554937852965625,0.8554937852965625,120,0.8554937852965625,-0.15607645008707263,2.0,2.0
63,F06,170.73268266194037,175.55372715933444,209.00043438813364,1689.3917825946296,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,06,-0.4179805766836182,36.59812377428398,0.8548892750725994,0.8548892750725994,120,0.8548892750725994,-0.15678332127065858,2.0,2.0
64,F07,176.58151354685253,175.45395646122785,213.5677942715202,1686.5306641245631,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,07,-0.5177512747902142,42.44695465919614,0.9915111091879907,0.9915111091879907,0,0.9915111091879907,-0.00852512665944714,2.0,0.0
65,F08,171.683817807781,175.81164994191838,214.14167802311502,1686.0127983396749,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,08,-0.16005779409968568,37.5492589201246,0.8771066772634489,0.8771066772634489,120,0.8771066772634489,-0.13112665516648117,2.0,2.0
66,F09,173.12207573881048,175.44428325733682,218.65791320462756,1696.3760092272203,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,09,-0.5274244786812403,38.98751685115408,0.9107026967645679,0.9107026967645679,120,0.9107026967645679,-0.09353878321304723,2.0,2.0
67,F10,163.8466043298668,229.5403392377894,255.6278338866264,1448.8148148148148,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,10,53.568631501771335,29.71204544221041,0.6940385563388717,0.6940385563388717,0,0.9959571739710013,-0.004051020343063306,2.0,0.0
