,Experiment,TREATMENT_CODE,FIRST_TREATMENT,SECOND_TREATMENT,TIME_HR,GFP_Intensity_BleachCorrected,RFP_Intensity_BleachCorrected
48,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,0.5,0.406762778382031,1.070382637310004
49,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,1.0,0.1524677769916102,1.0615358753430493
50,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,1.5,0.07261311446857069,1.0649040869298374
51,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,2.0,0.051261341357564674,1.0920262922170927
52,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,2.5,0.0481213810768609,1.1199318046314612
53,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,3.0,0.03821429957840263,1.147835417863549
54,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,3.5,0.042660366320333154,1.171277284843413
55,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,4.0,0.040432817146812884,1.2035795677590098
56,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,4.5,0.04436621691961468,1.2171087721108484
57,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,5.0,0.05050570196064066,1.2378520321823947
58,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,5.5,0.048059008795364476,1.2563633671258296
59,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,6.0,0.05212354162853876,1.2628064401643486
60,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,6.5,0.05608155258981603,1.282175994171882
61,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,7.0,0.05766801804412944,1.2925874485632105
62,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,7.5,0.054549514402823594,1.3057628030411352
63,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,8.0,0.05603928252659984,1.3089624473970842
64,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,8.5,0.05215518218528888,1.3239780367665446
65,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,9.0,0.05669287175867843,1.312274196534772
66,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,9.5,0.05577468395597625,1.3187420919825428
67,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,10.0,0.06204323207951394,1.3122145067920825
68,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,10.5,0.061577293429880726,1.3058073701304018
69,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,11.0,0.06837212112665182,1.304525625340122
70,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,11.5,0.06441419988127088,1.3089614221507138
71,220825,VEH_AUX,Vehicle,10 µM 5PhIAA,12.0,0.06842378649933004,1.2996244888282886
72,220825,VEH_VEH,Vehicle,Vehicle,0.5,1.0040764046557848,1.0161121582747605
73,220825,VEH_VEH,Vehicle,Vehicle,1.0,1.0039158565581603,1.0010437702773836
74,220825,VEH_VEH,Vehicle,Vehicle,1.5,1.000260352663655,0.9983118505461129
75,220825,VEH_VEH,Vehicle,Vehicle,2.0,1.0018423955775237,0.9867465001086645
76,220825,VEH_VEH,Vehicle,Vehicle,2.5,0.9980708284810558,0.9869508833154307
77,220825,VEH_VEH,Vehicle,Vehicle,3.0,1.002445813734584,0.9958231625319953
78,220825,VEH_VEH,Vehicle,Vehicle,3.5,0.9906633822568406,0.9959719278412741
79,220825,VEH_VEH,Vehicle,Vehicle,4.0,0.9924742852656765,0.9952381262647528
80,220825,VEH_VEH,Vehicle,Vehicle,4.5,0.9910050411680605,0.996326530120826
81,220825,VEH_VEH,Vehicle,Vehicle,5.0,0.99993613214617,1.0057189735259395
82,220825,VEH_VEH,Vehicle,Vehicle,5.5,0.995263062201608,0.9995570707688898
83,220825,VEH_VEH,Vehicle,Vehicle,6.0,0.9986832218087265,1.0019567297772298
84,220825,VEH_VEH,Vehicle,Vehicle,6.5,0.9950486081381085,1.0036095570834083
85,220825,VEH_VEH,Vehicle,Vehicle,7.0,1.0069361466358735,1.0081259456097904
86,220825,VEH_VEH,Vehicle,Vehicle,7.5,1.0033661415275765,1.0081516778566333
87,220825,VEH_VEH,Vehicle,Vehicle,8.0,1.0060166395289167,1.01369168474364
88,220825,VEH_VEH,Vehicle,Vehicle,8.5,1.0068414020273977,1.0076930656043457
89,220825,VEH_VEH,Vehicle,Vehicle,9.0,1.0161766367597727,1.0103497690558663
90,220825,VEH_VEH,Vehicle,Vehicle,9.5,1.006071285798514,1.0076811253116296
91,220825,VEH_VEH,Vehicle,Vehicle,10.0,1.0072103155280123,1.0004420187999843
92,220825,VEH_VEH,Vehicle,Vehicle,10.5,0.9998437532575154,0.9935035923333295
93,220825,VEH_VEH,Vehicle,Vehicle,11.0,0.9927027153911513,0.9919826175738733
94,220825,VEH_VEH,Vehicle,Vehicle,11.5,0.9912470888023162,0.9886179658217789
95,220825,VEH_VEH,Vehicle,Vehicle,12.0,0.9899063457330114,0.9864123315027266
0,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,0.5,-0.012450084210789934,1.3361096970220454
1,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,1.0,0.03578918723581542,1.2700167193095693
2,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,1.5,0.050670180362654874,1.2600357548829886
3,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,2.0,0.057899295682936655,1.273682710913287
4,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,2.5,0.0653671129929395,1.2866919058804327
5,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,3.0,0.05331726728012235,1.2930882292074433
6,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,3.5,0.059169500829403,1.3064965304935374
7,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,4.0,0.05074101660006586,1.302583825452175
8,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,4.5,0.0630718667663368,1.3109783704691
9,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,5.0,0.05943172897024779,1.2970953139773977
10,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,5.5,0.06656810189456844,1.3053692114289273
11,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,6.0,0.06726868749975023,1.306602997755921
12,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,6.5,0.07184308751790788,1.307150345981571
13,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,7.0,0.07217842466361471,1.2995230582247528
14,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,7.5,0.0789060762896071,1.30168121617501
15,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,8.0,0.07685169698257054,1.2977429405894065
16,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,8.5,0.07638358438427495,1.2958436907673685
17,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,9.0,0.08467787580226344,1.2895055050712116
18,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,9.5,0.09085241162557216,1.284050775366348
19,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,10.0,0.09281726519928674,1.2809674353309488
20,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,10.5,0.09856176894741578,1.2748165952932098
21,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,11.0,0.10349534261772476,1.2782734019904152
22,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,11.5,0.10561715931951612,1.2747935345983292
23,020925,AUX_AUX,10 µM 5PhIAA,10 µM 5PhIAA,12.0,0.09929575405508384,1.26685742092505
24,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,0.5,0.007608981107652552,1.2950353287307552
25,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,1.0,0.10342072440587208,1.2387467351231913
26,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,1.5,0.1592165743649661,1.2300494315340598
27,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,2.0,0.2288647176451933,1.2245354429588566
28,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,2.5,0.2960872857182665,1.223445506272563
29,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,3.0,0.3588823836717191,1.2224191432466602
30,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,3.5,0.4132674145393617,1.2153826002480963
31,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,4.0,0.44752348424090166,1.2086347203256862
32,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,4.5,0.5008509507364465,1.20692618593575
33,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,5.0,0.5367112105834393,1.1935880442248676
34,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,5.5,0.5634180037932784,1.172046725852449
