,DATE,CONDITION,RELATIVE_TOTAL,BOUND,FREE,RELATIVE_TOTAL_FC,BOUND_FC,BOUND_FRACTION,FREE_FRACTION
0,250113,SCRAMBLED VEHICLE,100.0,54.2709384387966,45.7290615612034,1.0,0.542709384387966,0.542709384387966,0.457290615612034
1,250113,ARMC5 VEHICLE,166.23730583491107,71.01078406475051,95.22652177016056,1.6623730583491108,0.7101078406475051,0.4271651522990318,0.5728348477009682
2,250113,ARMC5 TRIPTOLIDE,158.27435588881767,27.118920058744365,131.1554358300733,1.5827435588881766,0.27118920058744367,0.17134121258275398,0.828658787417246
3,250113,ARMC5 AZD4573,155.86604501121047,22.715137688521025,133.15090732268945,1.5586604501121046,0.22715137688521025,0.14573499755438887,0.8542650024456111
4,250113,ARMC5 LDC4297,166.908962691919,27.392400299113362,139.51656239280564,1.66908962691919,0.2739240029911336,0.16411581413800005,0.835884185862
5,250328,SCRAMBLED VEHICLE,100.0,53.2225555457335,46.7774444542665,1.0,0.532225555457335,0.532225555457335,0.46777444454266504
6,250328,ARMC5 VEHICLE,161.55888085416922,67.22884032962816,94.33004052454105,1.615588808541692,0.6722884032962816,0.41612593485536786,0.5838740651446321
7,250328,ARMC5 TRIPTOLIDE,156.32251263389742,24.653263342869124,131.66924929102828,1.5632251263389743,0.24653263342869125,0.1577076962715301,0.8422923037284699
8,250328,ARMC5 AZD4573,141.3451702102793,18.918745503102976,122.42642470717632,1.413451702102793,0.18918745503102977,0.13384783841540215,0.8661521615845978
9,250328,ARMC5 LDC4297,157.0002209036266,25.529351918466816,131.4708689851598,1.570002209036266,0.25529351918466814,0.162607108267305,0.8373928917326949
10,250331,SCRAMBLED VEHICLE,100.0,52.98342052944256,47.016579470557446,1.0,0.5298342052944256,0.5298342052944256,0.4701657947055744
11,250331,ARMC5 VEHICLE,194.79629725512748,72.76600757197824,122.03028968314923,1.9479629725512748,0.7276600757197823,0.37354923372427123,0.6264507662757288
12,250331,ARMC5 TRIPTOLIDE,155.29539257213463,31.00980741862278,124.28558515351185,1.5529539257213463,0.3100980741862278,0.19968272660902506,0.8003172733909749
13,250331,ARMC5 AZD4573,170.9200309944154,27.105538702164257,143.81449229225117,1.7092003099441542,0.27105538702164256,0.15858608581138095,0.841413914188619
14,250331,ARMC5 LDC4297,182.94746734682522,35.20996455999688,147.73750278682834,1.829474673468252,0.35209964559996876,0.19245942603428937,0.8075405739657107
