,EXPERIMENT,TIME_IN_AUXIN_H,TotalPolII_F12_Normed,RFP_Intensity_Normed,GFP_Intensity_Normed
0,241021_mACmChPOLR2A_TotalPolII,0.0,101.58442525804084,61.74806060489308,38.50951005448239
1,241021_mACmChPOLR2A_TotalPolII,0.5,87.21175029440062,62.331263726950624,15.727614507057899
2,241021_mACmChPOLR2A_TotalPolII,1.0,77.88827188702766,62.929694951163796,9.174532005419216
3,241021_mACmChPOLR2A_TotalPolII,2.0,79.11353055721597,68.66126335055998,6.024966192665251
4,241021_mACmChPOLR2A_TotalPolII,4.0,83.14763846829732,72.64278195105186,5.306291324171184
5,241021_mACmChPOLR2A_TotalPolII,8.0,90.46161419129217,83.22928937378296,6.21182978573483
6,241021_mACmChPOLR2A_TotalPolII,24.0,83.8613545520275,83.88004134396883,4.871778065160901
7,241026_mACmChPOLR2A_TotalPolII,0.0,101.15916482820722,61.06336698498408,43.71680643751881
8,241026_mACmChPOLR2A_TotalPolII,0.5,82.31866149939992,59.51528546654732,19.074673000323855
9,241026_mACmChPOLR2A_TotalPolII,1.0,75.04101589869764,59.06913268129773,10.389012254802802
10,241026_mACmChPOLR2A_TotalPolII,2.0,76.16234422729089,65.75342563508306,7.189204454428686
11,241026_mACmChPOLR2A_TotalPolII,4.0,79.56463404901189,75.36395270765888,6.022612355729208
12,241026_mACmChPOLR2A_TotalPolII,8.0,85.22507915077279,81.85964537342015,6.454299159083579
13,241026_mACmChPOLR2A_TotalPolII,24.0,86.71763625258303,82.86393556774988,5.437201527516033
14,241102_mACmChPOLR2A_TotalPolII,0.0,101.85749780331763,59.16385370118031,39.50947788715069
15,241102_mACmChPOLR2A_TotalPolII,0.5,76.05702488289529,58.012561878788325,18.051372498416953
16,241102_mACmChPOLR2A_TotalPolII,1.0,75.27007706520493,62.340534249889856,9.777203211878
17,241102_mACmChPOLR2A_TotalPolII,2.0,71.52342749535288,63.95430315763575,5.029897569887728
18,241102_mACmChPOLR2A_TotalPolII,4.0,84.98645202360456,71.12336944061454,4.078741041205269
19,241102_mACmChPOLR2A_TotalPolII,8.0,97.52343019060372,81.55454057011943,3.1995393582129843
20,241102_mACmChPOLR2A_TotalPolII,24.0,98.82102419134667,78.71351918296006,1.8588734073834206
