,EXPERIMENT,TIME_IN_AUXIN_H,SIRNA,GFP_Intensity_Normed,RFP_Intensity_Normed,TotalPolII_F12_Normed
0,250825,0.0,ARMC5 pool,2.333599208737448,1.4870096606541146,1.6085959064805817
1,250825,0.0,Scrambled,0.9999999999999998,1.0,1.0
2,250825,0.5,ARMC5 pool,0.9642948315852552,1.4920149848963344,1.0936097349513962
3,250825,0.5,Scrambled,0.4206174215794962,1.0255307672570841,0.7640784758916439
4,250825,1.0,ARMC5 pool,0.4708439970549099,1.5175832760522503,1.0271292102496308
5,250825,1.0,Scrambled,0.2074829817409025,1.0734174731420156,0.7640901376352537
6,250825,2.0,ARMC5 pool,0.23252759591847752,1.5114564819370964,1.0007187051045336
7,250825,2.0,Scrambled,0.10149845203052832,1.1098529206221348,0.7421038306764239
8,250825,4.0,ARMC5 pool,0.1882102202906807,1.5904430974349475,0.9861288706526242
9,250825,4.0,Scrambled,0.07944710992051614,1.2353402629821517,0.8100945176208686
10,250825,8.0,ARMC5 pool,0.17762954427211808,1.725476764946417,1.0763884784160929
11,250825,8.0,Scrambled,0.0694582722767146,1.3135235179156566,0.8283187105480759
12,250825,24.0,ARMC5 pool,0.1273850429310733,1.8037526859373727,1.073912482803946
13,250825,24.0,Scrambled,0.04329202430771031,1.312496921728229,0.7982940220190541
14,250908,0.0,ARMC5 pool,2.055535291138535,1.569343042464946,1.7420743154086702
15,250908,0.0,Scrambled,1.0,1.0,1.0
16,250908,0.5,ARMC5 pool,0.9947406458235143,1.6835555614626312,1.471683718992148
17,250908,0.5,Scrambled,0.43936705372179335,1.069676158930946,0.8646133320391924
18,250908,1.0,ARMC5 pool,0.5351430809487764,1.6851992625428434,1.3342487171462396
19,250908,1.0,Scrambled,0.2677576594206404,1.111078619862926,0.8448203699022638
20,250908,2.0,ARMC5 pool,0.29736202707580034,1.7536035453971692,1.3516010359138722
21,250908,2.0,Scrambled,0.1439237460391383,1.1858493040882339,0.8884966707184788
22,250908,4.0,ARMC5 pool,0.23056637744912445,1.7967494915878328,1.3665174296203249
23,250908,4.0,Scrambled,0.12265841045691896,1.2788040975976853,0.924533299254587
24,250908,8.0,ARMC5 pool,0.2149008290348758,1.907425265837575,1.420654443468887
25,250908,8.0,Scrambled,0.10925274047127188,1.3973469411618844,0.9915058541458178
26,250908,24.0,ARMC5 pool,0.16051944600182275,1.9372763788324459,1.3762232717134149
27,250908,24.0,Scrambled,0.09041565978862044,1.3645215023388368,0.9295177726298468
