Primary,Cell,cell_labels,mean_Nuclei_intensity_mean_488,sd_Nuclei_intensity_mean_488,mean_Nuclei_intensity_mean_488_plate_normalised,sd_Nuclei_intensity_mean_488_plate_normalised
Total Pol II F12,HEK293 ARMC5 KO 1A3,ARMC5 K.O. 1,580.3566919783997,154.82885491510788,429.71552140543463,33.77002991745625
Total Pol II F12,HEK293 ARMC5 KO 2B6,ARMC5 K.O. 2,505.9016570442248,147.94536735250648,372.3799083550301,27.40525999926664
Total Pol II F12,HEK293 parental,HEK293,387.0266475710649,108.37775133462786,285.21774449419047,16.55286643457903
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,ARMC5 K.O. 1,1606.4618085543507,228.80742253744816,1414.6686688279146,106.95865693921702
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,ARMC5 K.O. 2,1468.1398848634221,212.19089715133288,1291.0423346042196,72.71590359669914
pSer5 Pol II 3E8,HEK293 parental,HEK293,1095.4577975581794,150.3509086278058,964.3984751497302,58.97399747431031
pSer2 Pol II 3E10,HEK293 ARMC5 KO 1A3,ARMC5 K.O. 1,614.7453410299212,46.79878975786072,607.8099596246948,47.15039446751391
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,ARMC5 K.O. 2,593.7385529802825,47.66441818243637,586.6401872165862,42.2673960906941
pSer2 Pol II 3E10,HEK293 parental,HEK293,476.1490153833386,35.246940064333764,470.8373511871426,36.511299108898825
