,DATE,CONDITION,RELATIVE_TOTAL,BOUND,FREE,mClover_RELATIVE_TOTAL_FC,mClover_BOUND_FC
0,250113,mACPOLR2A VEH,100.0,65.31720707482509,34.68279292517491,1.0,0.6531720707482509
1,250113,mACmChPOLR2A VEH,49.77061100446354,27.41789497896152,22.35271602550202,0.4977061100446354,0.2741789497896152
2,250123,mACPOLR2A VEH,100.0,64.76998304149981,35.23001695850018,1.0,0.6476998304149981
3,250123,mACmChPOLR2A VEH,55.92226942059077,32.31750174534521,23.60476767524556,0.5592226942059078,0.3231750174534521
4,250124,mACPOLR2A VEH,100.0,63.40065175933989,36.599348240660106,1.0,0.6340065175933989
5,250124,mACmChPOLR2A VEH,53.85544086252148,31.375278735032015,22.48016212748947,0.5385544086252149,0.31375278735032014
