,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
0,C03,709.8873123501361,342.8332047332353,542.0237289806661,1711.940730203888,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4218,134.07343068890947,1616.6305988928032,250128_ARMC5mAC_TotalPolII
1,C04,732.9282773616551,345.2668605572173,587.0489149893114,1771.2459165154264,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3306,135.090093764122,1647.1443883984869,250128_ARMC5mAC_TotalPolII
2,C05,700.6996479855655,344.0512909694715,551.6661794724648,1714.9958757217487,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3637,134.11776119576345,1597.7005005561734,250128_ARMC5mAC_TotalPolII
3,C06,709.931460704461,341.2956208398161,560.2473447545336,1715.4301948051948,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3696,134.08810507934717,1636.3472837022132,250128_ARMC5mAC_TotalPolII
4,C07,685.701935132267,339.7770383124041,527.3845775438131,1699.9624191139872,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4018,134.02329947874375,1584.0226424483703,250128_ARMC5mAC_TotalPolII
5,C08,696.5970018052554,333.141746760972,542.7736257077178,1676.5186039803864,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3467,136.35451367979218,1548.1626949102676,250128_ARMC5mAC_TotalPolII
6,C09,686.5481695826808,337.6278199822987,539.8383024681463,1675.7666583478913,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4007,134.37956413016357,1581.593136035812,250128_ARMC5mAC_TotalPolII
7,C10,656.1959532291205,342.20466005112013,547.3101990371293,1711.1895939086294,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3940,134.4782616706743,1584.9066431806743,250128_ARMC5mAC_TotalPolII
8,C11,665.2018451805337,340.64133422037156,532.8758906443495,1673.5855427713857,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3998,134.24103175755238,1567.115157480315,250128_ARMC5mAC_TotalPolII
9,C12,682.6824979317529,341.2454867134108,536.431717623962,1648.4386562804284,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4108,134.49009754670706,1529.6049962898837,250128_ARMC5mAC_TotalPolII
