,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TIME_IN_AUXIN,TotalNumberCells,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
132,250825_mACmChPOLR2A_ARMC5,I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1169,2399.481620437833,2230.471537054077,1.4880067990486374
133,250825_mACmChPOLR2A_ARMC5,I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1204,2719.1268341563487,2550.1167507725927,1.7012506102315885
134,250825_mACmChPOLR2A_ARMC5,I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1414,2309.3055637182697,2140.2954803345137,1.4278479567227098
135,250825_mACmChPOLR2A_ARMC5,I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1561,2070.490033594197,1901.479950210441,1.268527774133709
136,250825_mACmChPOLR2A_ARMC5,I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1189,2790.6335692244643,2621.6234858407083,1.7489546522655246
137,250825_mACmChPOLR2A_ARMC5,I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1882,2560.525751875298,2391.515668491542,1.5954436161273844
138,250825_mACmChPOLR2A_ARMC5,I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,1291,2041.1486022691734,1872.1385188854174,1.2489533260494627
141,250825_mACmChPOLR2A_ARMC5,J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,973,1366.3868638064268,1197.376780422671,0.7988018500541417
142,250825_mACmChPOLR2A_ARMC5,J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1124,1375.5030678584797,1206.4929844747235,0.8048835118846643
143,250825_mACmChPOLR2A_ARMC5,J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1688,1271.9603928769436,1102.9503094931874,0.7358074435266249
144,250825_mACmChPOLR2A_ARMC5,J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1057,1248.5325650668112,1079.522481683055,0.720178117400159
145,250825_mACmChPOLR2A_ARMC5,J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1425,1222.6553513888716,1053.6452680051157,0.7029147409106904
146,250825_mACmChPOLR2A_ARMC5,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1301,1197.0334444468886,1028.0233610631326,0.6858216863251936
147,250825_mACmChPOLR2A_ARMC5,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1271,1186.6741410632187,1017.6640576794626,0.678910719916419
148,250825_mACmChPOLR2A_ARMC5,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1708,1282.660450687763,1113.650367304007,0.7429457362634789
149,250825_mACmChPOLR2A_ARMC5,J12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1325,1312.3952465198906,1143.3851631361345,0.7627826082573563
150,250825_mACmChPOLR2A_ARMC5,J13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1340,1269.8952714168906,1100.8851880331345,0.7344297461552974
151,250825_mACmChPOLR2A_ARMC5,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1297,1200.024417646837,1031.0143342630809,0.6878170439808996
152,250825_mACmChPOLR2A_ARMC5,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1173,1288.4079486537973,1119.3978652700412,0.7467800447981993
153,250825_mACmChPOLR2A_ARMC5,J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1265,1365.9916582209758,1196.9815748372198,0.7985381979122498
154,250825_mACmChPOLR2A_ARMC5,J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1303,1374.452340344366,1205.44225696061,0.8041825436548642
155,250825_mACmChPOLR2A_ARMC5,J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1414,1427.790503567855,1258.780420184099,0.8397658488918113
156,250825_mACmChPOLR2A_ARMC5,J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1264,1282.9618289328039,1113.9517455490477,0.7431467936947243
157,250825_mACmChPOLR2A_ARMC5,J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1146,1245.0758626353097,1076.0657792515535,0.7178720594052851
158,250825_mACmChPOLR2A_ARMC5,J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1152,1257.9141506447208,1088.904067260965,0.7264368222945617
161,250825_mACmChPOLR2A_ARMC5,K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1393,1654.1644529425125,1485.1543695587566,0.9907859225403977
162,250825_mACmChPOLR2A_ARMC5,K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1071,1917.8556484088103,1748.8455650250544,1.1667013221250737
163,250825_mACmChPOLR2A_ARMC5,K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1526,1542.9472917252072,1373.937208341451,0.9165900005961013
164,250825_mACmChPOLR2A_ARMC5,K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1788,1604.3546404950828,1435.3445571113266,0.9575564738118097
165,250825_mACmChPOLR2A_ARMC5,K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1283,1585.6886825784504,1416.6785991946945,0.9451039175566474
166,250825_mACmChPOLR2A_ARMC5,K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,2014,1665.431107990806,1496.4210246070497,0.9983022073420134
167,250825_mACmChPOLR2A_ARMC5,K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1579,1772.9384566896622,1603.928373305906,1.0700232148303561
168,250825_mACmChPOLR2A_ARMC5,K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1866,1664.4122383091144,1495.4021549253584,0.9976224923182998
169,250825_mACmChPOLR2A_ARMC5,K12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1606,1639.8308663159373,1470.8207829321814,0.9812236062315932
170,250825_mACmChPOLR2A_ARMC5,K13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1825,1667.4835589046295,1498.4734755208733,0.9996714518554478
171,250825_mACmChPOLR2A_ARMC5,K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1901,1695.697604192961,1526.6875208092051,1.0184937907735911
172,250825_mACmChPOLR2A_ARMC5,K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1639,1877.1147367730493,1708.1046533892932,1.1395219779790728
173,250825_mACmChPOLR2A_ARMC5,K16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1683,1782.118208933108,1613.1081255493518,1.0761472713470648
174,250825_mACmChPOLR2A_ARMC5,K17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,2083,1649.7356716604443,1480.725588276688,0.9878313649279203
175,250825_mACmChPOLR2A_ARMC5,K18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1504,1523.405111796238,1354.3950284124821,0.9035528933658769
176,250825_mACmChPOLR2A_ARMC5,K19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1305,1675.633595337549,1506.6235119537928,1.0051085576078465
177,250825_mACmChPOLR2A_ARMC5,K20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1395,1680.34299476548,1511.332911381724,1.0082503230380626
178,250825_mACmChPOLR2A_ARMC5,K21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1445,1735.575372251992,1566.5652888682357,1.045097308916259
20,250908_mACmChPOLR2A_ARMC5,D04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,3396,1232.0049986706952,1065.1450751417142,1.4809075787538206
21,250908_mACmChPOLR2A_ARMC5,D05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,3121,1289.3892445568551,1122.5293210278742,1.560690855808902
22,250908_mACmChPOLR2A_ARMC5,D06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,3817,1179.817690688281,1012.9577671592999,1.4083497819714108
23,250908_mACmChPOLR2A_ARMC5,D07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,2516,1239.744083763834,1072.884160234853,1.491667493092743
24,250908_mACmChPOLR2A_ARMC5,D08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,2415,1243.6724705414154,1076.8125470124344,1.4971292634064466
25,250908_mACmChPOLR2A_ARMC5,D09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,2786,1378.8937031578614,1212.0337796288804,1.6851319616900449
26,250908_mACmChPOLR2A_ARMC5,D10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,2964,1229.5498911447598,1062.6899676157789,1.4774941589045767
27,250908_mACmChPOLR2A_ARMC5,D11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,2456,1271.2014779388564,1104.3415544098755,1.5354037826638505
28,250908_mACmChPOLR2A_ARMC5,D12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,2012,1290.1463051816997,1123.2863816527188,1.5617434230535654
29,250908_mACmChPOLR2A_ARMC5,D13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,2672,1195.7305907374498,1028.8706672084688,1.4304740304261399
30,250908_mACmChPOLR2A_ARMC5,D14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,3161,1175.8209374767766,1008.9610139477957,1.4027929594695203
31,250908_mACmChPOLR2A_ARMC5,D15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,3170,1370.8991008856149,1204.039177356634,1.6740167930896386
32,250908_mACmChPOLR2A_ARMC5,D16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,3133,1258.29403380167,1091.434110272689,1.5174581222170256
33,250908_mACmChPOLR2A_ARMC5,D17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,3097,1242.8598059770927,1075.9998824481117,1.4959993881055351
34,250908_mACmChPOLR2A_ARMC5,D18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,2879,1186.9052175473344,1020.0452940183534,1.4182038126430516
35,250908_mACmChPOLR2A_ARMC5,D19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,2507,1244.7583159267185,1077.8983923977376,1.4986389513334517
36,250908_mACmChPOLR2A_ARMC5,D20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,2659,1196.887268621092,1030.027345092111,1.4320821991949197
37,250908_mACmChPOLR2A_ARMC5,D21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,2416,1317.161609019159,1150.301685490178,1.5993037227056175
40,250908_mACmChPOLR2A_ARMC5,E04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,2651,933.5140235602504,766.6541000312693,1.0659053808871457
41,250908_mACmChPOLR2A_ARMC5,E05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,2438,1008.1910213386627,841.3310978096818,1.1697313615442122
42,250908_mACmChPOLR2A_ARMC5,E06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,2303,969.2372469017259,802.377323372745,1.1155725984507892
43,250908_mACmChPOLR2A_ARMC5,E07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,2794,814.9284846980779,648.0685611690969,0.9010318558340146
44,250908_mACmChPOLR2A_ARMC5,E08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,2672,823.3415088384962,656.4815853095151,0.912728770649235
45,250908_mACmChPOLR2A_ARMC5,E09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,2775,830.1546658897332,663.2947423607523,0.9222013356057736
46,250908_mACmChPOLR2A_ARMC5,E10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,3152,888.1189008270013,721.2589772980202,1.0027909912485473
47,250908_mACmChPOLR2A_ARMC5,E11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,2942,906.3813386970498,739.5214151680689,1.0281818823857733
48,250908_mACmChPOLR2A_ARMC5,E12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,2484,908.8027902192485,741.9428666902675,1.0315485091434775
49,250908_mACmChPOLR2A_ARMC5,E13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,2881,967.9986091969524,801.1386856679715,1.1138504781432945
50,250908_mACmChPOLR2A_ARMC5,E14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,2968,842.4694208125783,675.6094972835972,0.9393229599941796
51,250908_mACmChPOLR2A_ARMC5,E15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,2731,851.1947382567072,684.3348147277261,0.9514540668561479
52,250908_mACmChPOLR2A_ARMC5,E16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,2967,860.6929037001053,693.8329801711243,0.964659690688671
53,250908_mACmChPOLR2A_ARMC5,E17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,2596,921.5969862939538,754.7370627649727,1.049336716940967
54,250908_mACmChPOLR2A_ARMC5,E18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,2953,848.228660916789,681.3687373878079,0.9473302282219878
55,250908_mACmChPOLR2A_ARMC5,E19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,2721,850.8573788509199,683.9974553219388,0.9509850245515324
56,250908_mACmChPOLR2A_ARMC5,E20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,2820,821.6543438435211,654.79442031454,0.9103830475304059
57,250908_mACmChPOLR2A_ARMC5,E21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,2716,848.5281179890991,681.668194460118,0.9477465736177888
60,250908_mACmChPOLR2A_ARMC5,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3073,1482.3390224842803,1315.4790989552994,1.8289555223976988
61,250908_mACmChPOLR2A_ARMC5,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2961,1622.7055848467362,1455.8456613177552,2.0241119483695553
62,250908_mACmChPOLR2A_ARMC5,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2659,1627.5731205933714,1460.7131970643904,2.0308794495722324
63,250908_mACmChPOLR2A_ARMC5,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2546,1547.8855980895758,1381.0256745605948,1.9200871652514457
64,250908_mACmChPOLR2A_ARMC5,F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2428,1645.7772414059655,1478.9173178769845,2.0561892605126193
65,250908_mACmChPOLR2A_ARMC5,F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3130,1478.2940861405882,1311.4341626116072,1.8233317092413983
66,250908_mACmChPOLR2A_ARMC5,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3045,1517.0873110738764,1350.2273875448955,1.877267254876217
67,250908_mACmChPOLR2A_ARMC5,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3099,1643.472942062366,1476.613018533385,2.052985514430237
68,250908_mACmChPOLR2A_ARMC5,F12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2592,1656.321438859856,1489.461515330875,2.070849218377294
69,250908_mACmChPOLR2A_ARMC5,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2540,1607.3445440832709,1440.48462055429,2.0027549687288846
70,250908_mACmChPOLR2A_ARMC5,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3119,1568.629419343875,1401.769495814894,1.9489280084612022
71,250908_mACmChPOLR2A_ARMC5,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2668,1573.3664446262314,1406.5065210972505,1.9555140565077151
72,250908_mACmChPOLR2A_ARMC5,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2873,1497.6574854109779,1330.797561881997,1.8502533046176348
73,250908_mACmChPOLR2A_ARMC5,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2807,1560.275554005542,1393.415630476561,1.9373133441491317
74,250908_mACmChPOLR2A_ARMC5,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3412,1641.4045317490693,1474.5446082200883,2.0501097329236417
75,250908_mACmChPOLR2A_ARMC5,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3184,1576.984368787567,1410.124445258586,1.9605441800419818
76,250908_mACmChPOLR2A_ARMC5,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3015,1563.667655892984,1396.807732364003,1.942029499262884
77,250908_mACmChPOLR2A_ARMC5,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2581,1551.866961743116,1385.007038214135,1.9256225911252576
80,250908_mACmChPOLR2A_ARMC5,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2383,959.6649102199492,792.8049866909682,1.102263851812177
81,250908_mACmChPOLR2A_ARMC5,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2391,1057.7252520367886,890.8653285078076,1.2386004943605424
82,250908_mACmChPOLR2A_ARMC5,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2109,1002.3553376753177,835.4954141463368,1.1616178112251558
83,250908_mACmChPOLR2A_ARMC5,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,3042,933.2012602421552,766.3413367131741,1.0654705353633454
84,250908_mACmChPOLR2A_ARMC5,G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.0,2685,939.0182723461197,772.1583488171386,1.0735581259756548
