,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN
31,D14,1704.5576339444392,229.53391321465068,541.205931907597,516.126376421632,1511.6668852459015,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1525,250825_mACmChPOLR2A_ARMC5,283.8306815873551,0.9107962604642496,78.27660816791501,0.9764070587898908,0.0
32,D15,1763.8820343126924,234.01310551394096,568.9439341852741,539.7061586182012,1518.8377219840784,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1633,250825_mACmChPOLR2A_ARMC5,311.5686838650322,0.9998059073634756,82.75580046720529,1.0322796250784363,0.0
33,D16,1879.2001811925206,234.56793256490928,572.6565393567355,552.243711710886,1500.4116899618805,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1574,250825_mACmChPOLR2A_ARMC5,315.2812890364936,1.0117194428834422,83.31062751817362,1.0392004289003258,0.0
34,D17,1726.9947064847354,228.92341912746593,551.0021642658786,516.0458366776672,1545.987663280116,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1378,250825_mACmChPOLR2A_ARMC5,293.6269139456367,0.9422318041787712,77.66611408073027,0.9687918752755773,0.0
35,D18,1795.0338862719173,231.79011131057732,565.9012922341328,526.52112979031,1524.4085257548845,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1689,250825_mACmChPOLR2A_ARMC5,308.52604191389094,0.9900422451140926,80.53280626384165,1.0045504313561289,0.0
36,D19,1930.8845773282126,232.79237882433569,571.269177304267,556.2639877941451,1447.6948436179205,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1183,250825_mACmChPOLR2A_ARMC5,313.89392698402514,1.0072674782042488,81.53507377760002,1.0170525197594764,0.0
37,D20,1769.4621888338118,225.78049847778044,545.9440293895035,511.09011843115536,1574.3359735973597,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1515,250825_mACmChPOLR2A_ARMC5,288.5687790692616,0.9260005415662816,74.52319343104477,0.9295876994765129,0.0
38,D21,1762.9517156676593,234.28493868690754,561.1150751938642,507.20273089887644,1449.3569530558016,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1129,250825_mACmChPOLR2A_ARMC5,303.7398248736223,0.974683551129118,83.02763364017187,1.0356704187664876,0.0
41,E04,2626.6738879145278,267.014950581864,941.0052486069322,448.60461983263724,1632.5080588647513,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1427,250825_mACmChPOLR2A_ARMC5,683.6299982866904,2.193729171555632,115.75764553512835,1.4439381681809524,0.0
42,E05,2734.7265467771463,272.7341271226708,1010.8406423630729,472.1628785579114,1508.822061720289,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1523,250825_mACmChPOLR2A_ARMC5,753.465392042831,2.417826915765027,121.47682207593516,1.5152780547142357,0.0
43,E06,2944.484632380898,278.62854237271233,1037.134597083449,494.3859086137273,1528.5182584269662,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1424,250825_mACmChPOLR2A_ARMC5,779.7593467632072,2.502202697474744,127.37123732597667,1.5888038345389468,0.0
44,E07,2765.046202085095,271.0758423788954,1009.4437385336175,476.08295642915493,1559.5670356703567,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1626,250825_mACmChPOLR2A_ARMC5,752.0684882133756,2.413344332074706,119.81853733215974,1.4945929360408183,0.0
45,E08,2663.6262839134765,264.3040654802764,937.5553466839189,465.22643805444335,1576.4983974358975,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1872,250825_mACmChPOLR2A_ARMC5,680.180096363677,2.1826586355837065,113.04676043354073,1.4101231190786658,0.0
46,E09,2581.38611025034,263.05144249464826,945.2976601192919,455.9976999628306,1528.3245033112582,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1510,250825_mACmChPOLR2A_ARMC5,687.92240979905,2.207503272128433,111.79413744791259,1.3944981456185728,0.0
47,E10,2570.4784521795077,262.71893516027006,954.4427859568938,462.73216903288716,1559.4363532110092,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1744,250825_mACmChPOLR2A_ARMC5,697.0675356366519,2.2368494526321756,111.4616301135344,1.3903505143404031,0.0
48,E11,2663.751524278099,266.2321819516999,1003.9508167022819,463.6850261233941,1562.3746364165213,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1719,250825_mACmChPOLR2A_ARMC5,746.57556638204,2.395717863241163,114.97487690496422,1.4341740658037518,0.0
49,E12,2725.4192871335167,263.4193776120055,971.5593071581623,459.9704550935915,1541.929795467109,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1809,250825_mACmChPOLR2A_ARMC5,714.1840568379204,2.2917753803545957,112.16207256526985,1.3990876961135772,0.0
50,E13,2461.274723658602,260.66667438986883,941.9012979452016,460.6871598744902,1581.5430539609645,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1742,250825_mACmChPOLR2A_ARMC5,684.5260476249597,2.1966045421178384,109.40936934313316,1.3647510159768714,0.0
51,E14,2942.123260942911,280.6382545911679,1081.8692026132771,487.49281949565386,1529.9035532994924,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1182,250825_mACmChPOLR2A_ARMC5,824.4939522930352,2.6457534623252696,129.3809495444322,1.6138725906100693,0.0
52,E15,2603.0906420866777,268.446878733195,978.7772861386359,470.0930310615483,1533.94596069869,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1832,250825_mACmChPOLR2A_ARMC5,721.402035818394,2.3149374579240765,117.18957368645931,1.4617997591129495,0.0
