,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
0,C03,218.58996379326743,274.52980082423505,336.6401265368468,1729.858870967742,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1857,913.3380936242719,1703.9424562509853,241111_mACmChPOLR2A_ActivePolII
1,C04,218.11552371978757,272.5859973146577,324.0598533529117,1715.6130617977528,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2346,908.963737095339,1638.313205043132,241111_mACmChPOLR2A_ActivePolII
2,C05,217.1416837114732,272.1130343444536,318.761400906812,1717.1804511278197,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2332,893.97827929901,1627.0938894610367,241111_mACmChPOLR2A_ActivePolII
3,C06,217.0268628708204,269.0926693470971,351.74010611238583,1717.7878787878788,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1760,901.5138007412173,1665.590909090909,241111_mACmChPOLR2A_ActivePolII
4,C07,217.43373131756215,270.8306681815961,347.94638334709254,1669.8739308293045,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2032,894.84962762476,1629.7338756536897,241111_mACmChPOLR2A_ActivePolII
5,C08,218.16576498613495,271.6308293964845,349.69125987341573,1673.1665928223306,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,1572,1106.1593317968857,1670.8201542047696,241111_mACmChPOLR2A_ActivePolII
6,C09,224.09090880027065,276.48370120976614,395.28341613461146,1715.5170068027212,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2122,1125.638498996387,1660.2613259668508,241111_mACmChPOLR2A_ActivePolII
7,C10,220.7701258703479,274.5423960533381,381.73687203667134,1764.5712314591237,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2218,1085.505945682087,1674.0087040618955,241111_mACmChPOLR2A_ActivePolII
8,C11,221.0995716567601,270.7618036707209,392.07711884649035,1761.1553938356165,HCT116 OsTIRF74G,No addition,No addition,No addition,pSer2 3E10,Goat anti-rat Alexa647,2744,1176.94823110629,1641.3862081382788,241111_mACmChPOLR2A_ActivePolII
9,C12,226.58590723845384,280.0612867119121,411.42329510615326,1739.482638888889,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,1875,862.9813491000273,1659.8052884615386,241111_mACmChPOLR2A_ActivePolII
