,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
34,250128_ARMC5mAC_TotalPolII,D17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2303,458.5132223060979,1.0202335353790466
35,250128_ARMC5mAC_TotalPolII,D18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3435,394.6301699998071,0.8780879458201458
39,250128_ARMC5mAC_TotalPolII,D22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4395,386.8694922848248,0.8608197335267869
40,250128_ARMC5mAC_TotalPolII,E03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4501,399.71562504654435,0.8894035448671025
41,250128_ARMC5mAC_TotalPolII,E04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2300,567.1827055487715,1.2620329986941365
42,250128_ARMC5mAC_TotalPolII,E05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2599,498.1442305406184,1.1084161257051952
43,250128_ARMC5mAC_TotalPolII,E06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4028,429.34562821213103,0.9553329911999239
44,250128_ARMC5mAC_TotalPolII,E07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1937,947.2389094124704,2.107692547093695
45,250128_ARMC5mAC_TotalPolII,E08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1995,832.3229089574023,1.851994016032304
46,250128_ARMC5mAC_TotalPolII,E09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,3473,409.24489540799107,0.9106070363205098
