,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
46,250210_ARMC5mAC_PhosphoPolII,E11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1804,395.0310436094289,1.0801822997399648
47,250210_ARMC5mAC_PhosphoPolII,E12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1789,386.2566321272371,1.0561893398776263
58,250210_ARMC5mAC_PhosphoPolII,F03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1637,437.253682569187,1.1956368899309449
59,250210_ARMC5mAC_PhosphoPolII,F04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1754,380.4182262645525,1.0402246637500325
60,250210_ARMC5mAC_PhosphoPolII,F05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1694,369.3627502696311,1.0099943067234054
61,250210_ARMC5mAC_PhosphoPolII,F06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1833,395.9544428756324,1.0827072646992557
62,250210_ARMC5mAC_PhosphoPolII,F07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1459,357.72385576007963,0.9781686362067653
63,250210_ARMC5mAC_PhosphoPolII,F08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1482,380.0898173832378,1.0393266546785624
64,250210_ARMC5mAC_PhosphoPolII,F09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2160,355.79622180110874,0.9728976679713759
65,250210_ARMC5mAC_PhosphoPolII,F10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1915,392.86244643969275,1.0742524359585979
