,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
16,250505_ARMC5mAC_PhosphoPolII,C19,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4828,113.26452435689072,0.8741303273230391
17,250505_ARMC5mAC_PhosphoPolII,C20,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3657,121.19576430049102,0.9353404671028307
18,250505_ARMC5mAC_PhosphoPolII,C21,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4165,120.36829464945484,0.9289543870745334
19,250505_ARMC5mAC_PhosphoPolII,C22,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4858,130.71525442608,1.0088080869659541
30,250505_ARMC5mAC_PhosphoPolII,D13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3341,129.8723186999549,1.0023026459518878
31,250505_ARMC5mAC_PhosphoPolII,D14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2249,141.27750156322313,1.0903232886558119
34,250505_ARMC5mAC_PhosphoPolII,D17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2857,128.40311494538298,0.9909639186126771
35,250505_ARMC5mAC_PhosphoPolII,D18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2198,140.9597255943076,1.0878708207423082
38,250505_ARMC5mAC_PhosphoPolII,D21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2978,129.4255172312654,0.9988544108024308
39,250505_ARMC5mAC_PhosphoPolII,D22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2461,144.8394442441494,1.1178129385639612
50,250505_ARMC5mAC_PhosphoPolII,E13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3851,124.40784751842546,0.9601300415139208
51,250505_ARMC5mAC_PhosphoPolII,E14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2475,133.51937320814048,1.0304491549237527
52,250505_ARMC5mAC_PhosphoPolII,E15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3620,124.24345623403173,0.958861335287924
53,250505_ARMC5mAC_PhosphoPolII,E16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2399,138.8053580607795,1.071244273216066
54,250505_ARMC5mAC_PhosphoPolII,E17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3565,120.2255106391525,0.9278524371535783
55,250505_ARMC5mAC_PhosphoPolII,E18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2527,130.31880716435094,1.0057484654593154
56,250505_ARMC5mAC_PhosphoPolII,E19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3613,122.32239306968091,0.9440353376315798
57,250505_ARMC5mAC_PhosphoPolII,E20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2050,141.6005978528702,1.0928168166781973
58,250505_ARMC5mAC_PhosphoPolII,E21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3401,119.6695105033834,0.9235614503381473
59,250505_ARMC5mAC_PhosphoPolII,E22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2547,136.74362348803237,1.0553326298558738
70,250505_ARMC5mAC_PhosphoPolII,F13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3715,118.43951424128099,0.9140688308149338
71,250505_ARMC5mAC_PhosphoPolII,F14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2536,138.68002977290104,1.0702770395837522
72,250505_ARMC5mAC_PhosphoPolII,F15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3346,130.86089994076335,1.0099321208339826
73,250505_ARMC5mAC_PhosphoPolII,F16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2258,127.7320558377663,0.9857849526414277
74,250505_ARMC5mAC_PhosphoPolII,F17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3722,112.94425626647984,0.8716586262119316
75,250505_ARMC5mAC_PhosphoPolII,F18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2467,136.72517726121706,1.0551902692502428
76,250505_ARMC5mAC_PhosphoPolII,F19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3513,116.69638329268648,0.9006160428805523
77,250505_ARMC5mAC_PhosphoPolII,F20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2574,130.33779874346908,1.0058950348760431
78,250505_ARMC5mAC_PhosphoPolII,F21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2776,125.26796794486327,0.9667681071763011
79,250505_ARMC5mAC_PhosphoPolII,F22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2280,148.4445933911579,1.1456360387077724
90,250505_ARMC5mAC_PhosphoPolII,G13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4712,102.56315094705911,0.7915414046691378
91,250505_ARMC5mAC_PhosphoPolII,G14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2553,117.46211976007407,0.9065256908721124
92,250505_ARMC5mAC_PhosphoPolII,G15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4067,117.11324229748678,0.9038331940616713
93,250505_ARMC5mAC_PhosphoPolII,G16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2656,128.01520966915035,0.9879702207358808
94,250505_ARMC5mAC_PhosphoPolII,G17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3482,111.04235982519486,0.8569805496632985
95,250505_ARMC5mAC_PhosphoPolII,G18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2625,116.37058206765406,0.8981016392480216
96,250505_ARMC5mAC_PhosphoPolII,G19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3204,117.74598119712462,0.9087164199842706
97,250505_ARMC5mAC_PhosphoPolII,G20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2440,133.70173406214852,1.0318565431056221
98,250505_ARMC5mAC_PhosphoPolII,G21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3058,110.51678384735783,0.852924364338296
99,250505_ARMC5mAC_PhosphoPolII,G22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1986,129.32368456170482,0.9980685069611303
110,250505_ARMC5mAC_PhosphoPolII,H13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4577,102.4163555908111,0.7904084967835031
111,250505_ARMC5mAC_PhosphoPolII,H14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3340,109.98398953299807,0.8488124707771695
112,250505_ARMC5mAC_PhosphoPolII,H15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4252,120.44002665742329,0.9295079860408559
113,250505_ARMC5mAC_PhosphoPolII,H16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3068,138.68266059220775,1.0702973431956269
114,250505_ARMC5mAC_PhosphoPolII,H17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3978,111.37805087737868,0.8595712790288345
115,250505_ARMC5mAC_PhosphoPolII,H18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2115,119.31692108639481,0.9208403061472996
116,250505_ARMC5mAC_PhosphoPolII,H19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4018,121.83605020367972,0.9402819377823093
117,250505_ARMC5mAC_PhosphoPolII,H20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2612,134.1840523719462,1.0355788830387231
118,250505_ARMC5mAC_PhosphoPolII,H21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3080,117.98050900706522,0.9105264118809722
119,250505_ARMC5mAC_PhosphoPolII,H22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2058,131.0761759909745,1.0115935353439922
132,250505_ARMC5mAC_PhosphoPolII,I15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3948,119.59729596382726,0.923004127385898
133,250505_ARMC5mAC_PhosphoPolII,I16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2528,129.83738071081845,1.0020330085163955
136,250505_ARMC5mAC_PhosphoPolII,I19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3580,120.84237316430645,0.9326131355636744
137,250505_ARMC5mAC_PhosphoPolII,I20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1850,133.28420116606384,1.0286341911009238
150,250505_ARMC5mAC_PhosphoPolII,J13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3997,117.67497883785325,0.9081684521549525
151,250505_ARMC5mAC_PhosphoPolII,J14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2824,123.39417853544361,0.9523069494652654
152,250505_ARMC5mAC_PhosphoPolII,J15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4125,120.60096244822591,0.9307500241484723
153,250505_ARMC5mAC_PhosphoPolII,J16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2625,130.72054031991877,1.0088488813818377
154,250505_ARMC5mAC_PhosphoPolII,J17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3173,120.82460540329697,0.9324760110859511
155,250505_ARMC5mAC_PhosphoPolII,J18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2653,133.27688869472072,1.0285777563698817
156,250505_ARMC5mAC_PhosphoPolII,J19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3559,116.25254421830385,0.8971906703062911
157,250505_ARMC5mAC_PhosphoPolII,J20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2355,132.16411284566917,1.0199897971417684
158,250505_ARMC5mAC_PhosphoPolII,J21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2691,129.2232311931817,0.9972932480139322
159,250505_ARMC5mAC_PhosphoPolII,J22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2305,129.88626094345622,1.002410246614537
170,250505_ARMC5mAC_PhosphoPolII,K13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3885,114.57988547768633,0.8842817587054383
171,250505_ARMC5mAC_PhosphoPolII,K14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2324,128.49331774645674,0.9916600677774378
172,250505_ARMC5mAC_PhosphoPolII,K15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3885,113.1752152584759,0.8734410753981885
173,250505_ARMC5mAC_PhosphoPolII,K16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2197,132.27474323818976,1.0208435982924375
174,250505_ARMC5mAC_PhosphoPolII,K17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3749,121.0384583516416,0.9341264426645667
175,250505_ARMC5mAC_PhosphoPolII,K18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1569,144.60665579455062,1.116016370355158
176,250505_ARMC5mAC_PhosphoPolII,K19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3456,116.10836014471542,0.8960779152564973
177,250505_ARMC5mAC_PhosphoPolII,K20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2052,126.55342747601193,0.9766887700414266
178,250505_ARMC5mAC_PhosphoPolII,K21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2499,130.61771501166737,1.0080553167518775
179,250505_ARMC5mAC_PhosphoPolII,K22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2164,138.168027722106,1.066325612402181
190,250505_ARMC5mAC_PhosphoPolII,L13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3986,117.26538370271251,0.9050073606165081
191,250505_ARMC5mAC_PhosphoPolII,L14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1939,139.2386788844922,1.0745884701357862
192,250505_ARMC5mAC_PhosphoPolII,L15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3826,112.82028238299665,0.8707018453313868
193,250505_ARMC5mAC_PhosphoPolII,L16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1607,130.9382755272083,1.010529274683257
194,250505_ARMC5mAC_PhosphoPolII,L17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3652,121.83572352736167,0.9402794166250587
195,250505_ARMC5mAC_PhosphoPolII,L18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2155,136.01077063668842,1.0496767644694056
196,250505_ARMC5mAC_PhosphoPolII,L19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3689,114.62547804147403,0.8846336238894712
197,250505_ARMC5mAC_PhosphoPolII,L20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1708,131.15256974480616,1.0121831118015943
198,250505_ARMC5mAC_PhosphoPolII,L21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3047,127.45950056370836,0.9836814799761899
199,250505_ARMC5mAC_PhosphoPolII,L22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2379,135.9581420086215,1.0492705977535703
210,250505_ARMC5mAC_PhosphoPolII,M13,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3237,128.61097399633056,0.9925680916869342
211,250505_ARMC5mAC_PhosphoPolII,M14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2285,141.1488540754406,1.0893304387653175
212,250505_ARMC5mAC_PhosphoPolII,M15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3152,116.02220411971959,0.8954129974920156
213,250505_ARMC5mAC_PhosphoPolII,M16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2632,122.04832041233453,0.9419201544086176
214,250505_ARMC5mAC_PhosphoPolII,M17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3324,127.60827496000834,0.9848296613019263
215,250505_ARMC5mAC_PhosphoPolII,M18,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1874,141.6918247106394,1.0935208691032192
216,250505_ARMC5mAC_PhosphoPolII,M19,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3038,117.31519220035787,0.9053917626929519
217,250505_ARMC5mAC_PhosphoPolII,M20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1913,131.5395638420982,1.015169777563524
218,250505_ARMC5mAC_PhosphoPolII,M21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3170,119.99719137146334,0.9260903603044283
219,250505_ARMC5mAC_PhosphoPolII,M22,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2128,143.6927915699197,1.1089635315396404
230,250505_ARMC5mAC_PhosphoPolII,N13,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3804,106.54092028639434,0.822240238521585
232,250505_ARMC5mAC_PhosphoPolII,N15,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3382,112.50083730662712,0.868236495913693
234,250505_ARMC5mAC_PhosphoPolII,N17,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3590,107.54600735789842,0.8299970988076324
236,250505_ARMC5mAC_PhosphoPolII,N19,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3717,105.39521134767605,0.8133981148707314
238,250505_ARMC5mAC_PhosphoPolII,N21,HCT116 OsTIRF74G,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3397,108.12984523659577,0.834502926196279
10,260119_ARMC5mAC_TotalPhospho,C13,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3067,1082.416297403164,0.9367708216102181
11,260119_ARMC5mAC_TotalPhospho,C14,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2699,1067.309823610177,0.9236970126693881
12,260119_ARMC5mAC_TotalPhospho,C15,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3194,1055.4532335449742,0.9134357964963479
13,260119_ARMC5mAC_TotalPhospho,C16,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3204,1073.242610812117,0.9288315084774549
14,260119_ARMC5mAC_TotalPhospho,C17,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3652,1033.6946056354489,0.8946049198800056
15,260119_ARMC5mAC_TotalPhospho,C18,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3394,1008.183296980986,0.8725263077730671
16,260119_ARMC5mAC_TotalPhospho,C19,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4357,1021.3083192318587,0.8838852811247246
17,260119_ARMC5mAC_TotalPhospho,C20,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4250,1006.041520669724,0.8706727200549038
18,260119_ARMC5mAC_TotalPhospho,C21,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4528,1023.2266051088817,0.8855454503603628
19,260119_ARMC5mAC_TotalPhospho,C22,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4501,1046.432906230435,0.905629207247917
30,260119_ARMC5mAC_TotalPhospho,D13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1809,1431.4152743498685,1.2388099346204673
31,260119_ARMC5mAC_TotalPhospho,D14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2383,1371.1673707764967,1.1866687406398124
32,260119_ARMC5mAC_TotalPhospho,D15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1644,1330.7411249127697,1.1516820838024802
33,260119_ARMC5mAC_TotalPhospho,D16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1998,1231.4237745769497,1.0657284667907598
34,260119_ARMC5mAC_TotalPhospho,D17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2149,1311.200507196185,1.1347707710690595
35,260119_ARMC5mAC_TotalPhospho,D18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2311,1287.5600812427888,1.114311303397787
