,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
35,250128_ARMC5mAC_TotalPolII,D18,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3435,335.8341609336834,1.195490134288434,0.019431842273193674
39,250128_ARMC5mAC_TotalPolII,D22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4395,334.66323358741505,0.024562788020091375,0.00039925065787381
40,250128_ARMC5mAC_TotalPolII,E03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4501,333.0652126184055,-1.573458180989462,-0.02557544417934663
41,250128_ARMC5mAC_TotalPolII,E04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2300,389.487840186728,54.84916938733306,0.8915342567713656
42,250128_ARMC5mAC_TotalPolII,E05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2599,393.77221529205076,59.1335444926558,0.9611737283972707
43,250128_ARMC5mAC_TotalPolII,E06,HCT116 OsTIRF74G,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4028,331.45589452756195,-3.1827762718330064,-0.051733765700989545
44,250128_ARMC5mAC_TotalPolII,E07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1937,331.79310518783643,-2.845565611558527,-0.04625264613726068
45,250128_ARMC5mAC_TotalPolII,E08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1995,331.5370563776124,-3.1016144217825854,-0.05041453752541025
46,250128_ARMC5mAC_TotalPolII,E09,HCT116 OsTIRF74G,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,3473,330.96542666540677,-3.6732441339881916,-0.05970597213257403
47,250128_ARMC5mAC_TotalPolII,E10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1814,336.14156166119267,1.5028908617977095,0.02442842257134948
48,250128_ARMC5mAC_TotalPolII,E11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2640,392.4030631980047,57.76439239860974,0.9389191344224309
49,250128_ARMC5mAC_TotalPolII,E12,HCT116 OsTIRF74G,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3764,333.8692014688124,-0.7694693305825808,-0.012507176962058589
50,250128_ARMC5mAC_TotalPolII,E13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1782,337.57927613105886,2.940605331663903,0.047797449224971124
51,250128_ARMC5mAC_TotalPolII,E14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2562,336.482203294824,1.8435324954290309,0.029965310167955807
52,250128_ARMC5mAC_TotalPolII,E15,HCT116 OsTIRF74G,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,3880,331.2843107354954,-3.3543600638995485,-0.054522738264161756
53,250128_ARMC5mAC_TotalPolII,E16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2242,391.6788288536809,57.04015805428594,0.9271472200049969
54,250128_ARMC5mAC_TotalPolII,E17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2523,391.68987021052607,57.05119941113111,0.9273266894113464
55,250128_ARMC5mAC_TotalPolII,E18,HCT116 OsTIRF74G,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4333,332.80202742144655,-1.8366433779484055,-0.029853332460699617
56,250128_ARMC5mAC_TotalPolII,E19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2306,336.3018509613174,1.6631801619224689,0.027033811197127503
57,250128_ARMC5mAC_TotalPolII,E20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2447,336.7602627545717,2.1215919551767684,0.03448496901700479
58,250128_ARMC5mAC_TotalPolII,E21,HCT116 OsTIRF74G,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,4143,330.5796825849379,-4.058988214457031,-0.06597596793973319
59,250128_ARMC5mAC_TotalPolII,E22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4837,329.403492436788,-5.235178362606973,-0.08509410265837541
60,250128_ARMC5mAC_TotalPolII,F03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3909,331.23180774351545,-3.406863055879512,-0.05537613707504584
61,250128_ARMC5mAC_TotalPolII,F04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1404,412.6234786817052,77.98480788231024,1.2675876136580044
62,250128_ARMC5mAC_TotalPolII,F05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2253,407.0063714142813,72.36770061488636,1.1762855281605291
63,250128_ARMC5mAC_TotalPolII,F06,HCT116 OsTIRF74G,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3864,330.63331936763484,-4.005351431760118,-0.06510414016674337
64,250128_ARMC5mAC_TotalPolII,F07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,1757,332.6374278829049,-2.001242916490071,-0.03252878094784741
65,250128_ARMC5mAC_TotalPolII,F08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2514,332.759436465133,-1.8792343342619802,-0.030545618178174375
66,250128_ARMC5mAC_TotalPolII,F09,HCT116 OsTIRF74G,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4453,328.5959099628268,-6.0427608365681635,-0.09822078167187467
67,250128_ARMC5mAC_TotalPolII,F10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1793,406.7141714062469,72.07550060685196,1.1715360247514275
68,250128_ARMC5mAC_TotalPolII,F11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2683,402.7931259515534,68.15445515215845,1.107802218309789
69,250128_ARMC5mAC_TotalPolII,F12,HCT116 OsTIRF74G,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4173,335.8035610385221,1.1648902391271463,0.01893446273044711
70,250128_ARMC5mAC_TotalPolII,F13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2113,338.80772809524035,4.169057295845391,0.06776506261090502
71,250128_ARMC5mAC_TotalPolII,F14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2524,336.9548618595815,2.3161910601865543,0.03764803913075822
72,250128_ARMC5mAC_TotalPolII,F15,HCT116 OsTIRF74G,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4118,330.7430297454984,-3.8956410538965542,-0.06332087596636905
73,250128_ARMC5mAC_TotalPolII,F16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1584,336.6648320771705,2.026161277775543,0.0329338111963772
74,250128_ARMC5mAC_TotalPolII,F17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2668,401.2478085090811,66.60913770968614,1.0826841818301238
75,250128_ARMC5mAC_TotalPolII,F18,HCT116 OsTIRF74G,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3888,333.4497928501946,-1.1888779492003323,-0.019324365905110025
76,250128_ARMC5mAC_TotalPolII,F19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2109,337.3484564861435,2.709785686748546,0.044045639983802065
77,250128_ARMC5mAC_TotalPolII,F20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2410,338.53452581710985,3.8958550177148936,0.06332435379613184
78,250128_ARMC5mAC_TotalPolII,F21,HCT116 OsTIRF74G,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4020,329.4934097358243,-5.145261063570672,-0.08363256088367481
79,250128_ARMC5mAC_TotalPolII,F22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4850,328.1660073747346,-6.472663424660368,-0.10520854262869571
80,250128_ARMC5mAC_TotalPolII,G03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3075,331.6911826534685,-2.9474881459264566,-0.04790932447789844
81,250128_ARMC5mAC_TotalPolII,G04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1891,414.4133907184848,79.77471991908982,1.2966813613887573
82,250128_ARMC5mAC_TotalPolII,G05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2088,408.8900795903217,74.25140879092675,1.2069038654564108
83,250128_ARMC5mAC_TotalPolII,G06,HCT116 OsTIRF74G,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4554,333.43060890651856,-1.208061892876401,-0.01963618727192798
84,250128_ARMC5mAC_TotalPolII,G07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2241,337.5055804899889,2.866909690593957,0.04659957896873061
85,250128_ARMC5mAC_TotalPolII,G08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2561,336.79165111674183,2.1529803173468736,0.034995164530467894
86,250128_ARMC5mAC_TotalPolII,G09,HCT116 OsTIRF74G,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,4228,333.1186221378377,-1.5200486615572686,-0.024707310409166093
87,250128_ARMC5mAC_TotalPolII,G10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1877,412.9415688925476,78.30289809315263,1.272757943908714
88,250128_ARMC5mAC_TotalPolII,G11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2422,411.4007189186566,76.76204811926164,1.2477125229549677
89,250128_ARMC5mAC_TotalPolII,G12,HCT116 OsTIRF74G,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4479,334.5933149568642,-0.04535584253073921,-0.0007372269774101643
90,250128_ARMC5mAC_TotalPolII,G13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1944,339.74544906130564,5.1067782619106765,0.08300705029965587
91,250128_ARMC5mAC_TotalPolII,G14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2378,341.6375999658254,6.998929166430457,0.1137626181451352
92,250128_ARMC5mAC_TotalPolII,G15,HCT116 OsTIRF74G,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3855,335.0234912875943,0.38482048819935244,0.006254983471389362
93,250128_ARMC5mAC_TotalPolII,G16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2634,357.8956195299577,23.256948730562726,0.3780251685280837
94,250128_ARMC5mAC_TotalPolII,G17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2669,406.8977983945719,72.25912759517695,1.1745207509084163
95,250128_ARMC5mAC_TotalPolII,G18,HCT116 OsTIRF74G,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4285,334.2618162575117,-0.3768545418832332,-0.006125502676916983
96,250128_ARMC5mAC_TotalPolII,G19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1998,338.2566191930737,3.6179483936787165,0.05880717918292518
97,250128_ARMC5mAC_TotalPolII,G20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2083,338.0772815362282,3.4386107368332546,0.05589217305990154
98,250128_ARMC5mAC_TotalPolII,G21,HCT116 OsTIRF74G,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3296,330.96490641369024,-3.6737643857047146,-0.059714428454385376
99,250128_ARMC5mAC_TotalPolII,G22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4345,330.40253061513505,-4.236140184259909,-0.06885544727365846
100,250128_ARMC5mAC_TotalPolII,H03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3548,331.9376210494238,-2.701049749971162,-0.04390364354175885
101,250128_ARMC5mAC_TotalPolII,H04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1540,410.9821166625213,76.34344586312636,1.2409084408608355
102,250128_ARMC5mAC_TotalPolII,H05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2267,407.1217500420189,72.48307924262394,1.1781609257331145
103,250128_ARMC5mAC_TotalPolII,H06,HCT116 OsTIRF74G,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4300,329.88692220973707,-4.751748589657893,-0.07723629536354258
104,250128_ARMC5mAC_TotalPolII,H07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2111,340.1686023698173,5.52993157042232,0.08988510651487719
105,250128_ARMC5mAC_TotalPolII,H08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1997,338.02881148268415,3.3901406832891894,0.05510432679632519
106,250128_ARMC5mAC_TotalPolII,H09,HCT116 OsTIRF74G,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,4354,331.8067801975488,-2.831890601846169,-0.046030368575787454
107,250128_ARMC5mAC_TotalPolII,H10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1850,407.1083668943034,72.46969609490844,1.177943392180919
108,250128_ARMC5mAC_TotalPolII,H11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2069,411.22422024877335,76.58554944937839,1.244843662546813
109,250128_ARMC5mAC_TotalPolII,H12,HCT116 OsTIRF74G,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4726,336.791695314713,2.153024515318066,0.03499588293706982
110,250128_ARMC5mAC_TotalPolII,H13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2440,342.68804914873346,8.049378349338497,0.1308369228615214
