,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
106,250203_ARMC5mAC_TotalPolII,H09,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4354,292.0796033975994,42.93488169471851,0.8925950280233746
110,250203_ARMC5mAC_TotalPolII,H13,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2440,244.42540248394022,-4.7193192189406545,-0.09811232043058739
111,250203_ARMC5mAC_TotalPolII,H14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2552,292.6238141791287,43.47909247624784,0.9039089019323261
112,250203_ARMC5mAC_TotalPolII,H15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3852,296.6951138188747,47.550392115993816,0.9885492147173882
116,250203_ARMC5mAC_TotalPolII,H19,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1689,241.72070082489384,-7.424020877987033,-0.15434173478689492
117,250203_ARMC5mAC_TotalPolII,H20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2001,287.98047354503143,38.83575184215056,0.80737613883113
118,250203_ARMC5mAC_TotalPolII,H21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3486,289.53272246529855,40.388000762417676,0.8396466287869815
119,250203_ARMC5mAC_TotalPolII,H22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4338,242.4111675611046,-6.733554141776267,-0.13998727166901773
120,250203_ARMC5mAC_TotalPolII,I03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4005,250.8629936399063,1.7182719370254347,0.035722026642259534
121,250203_ARMC5mAC_TotalPolII,I04,HCT116 OsTIRF74G,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1735,249.10912219787969,-0.035599505001187026,-0.0007400961621389912
122,250203_ARMC5mAC_TotalPolII,I05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1890,302.108984491496,52.964262788615144,1.1011009175287132
123,250203_ARMC5mAC_TotalPolII,I06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4738,300.7974114527705,51.652689749889646,1.0738339605220542
124,250203_ARMC5mAC_TotalPolII,I07,HCT116 OsTIRF74G,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1700,245.15270026047997,-3.9920214424008975,-0.0829921581381244
125,250203_ARMC5mAC_TotalPolII,I08,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2593,248.72743450021014,-0.41728720267073527,-0.008675195264541708
126,250203_ARMC5mAC_TotalPolII,I09,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,4801,248.04742366236093,-1.097298040519945,-0.022812285409147343
127,250203_ARMC5mAC_TotalPolII,I10,HCT116 OsTIRF74G,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1858,245.9042475050764,-3.240474197804474,-0.06736786135721691
128,250203_ARMC5mAC_TotalPolII,I11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2463,297.93100691939316,48.78628521651228,1.0142428231110239
129,250203_ARMC5mAC_TotalPolII,I12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4711,298.5223109241723,49.37758922129143,1.0265357419193015
130,250203_ARMC5mAC_TotalPolII,I13,HCT116 OsTIRF74G,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2368,242.46282147175586,-6.681900231125013,-0.1389134123265581
131,250203_ARMC5mAC_TotalPolII,I14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2470,250.1161853878686,0.9714636849877252,0.020196251180819618
132,250203_ARMC5mAC_TotalPolII,I15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,4293,248.71654092820725,-0.4281807746736206,-0.008901667257089116
133,250203_ARMC5mAC_TotalPolII,I16,HCT116 OsTIRF74G,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1782,246.46312158382773,-2.6816001190531438,-0.055749144726493186
134,250203_ARMC5mAC_TotalPolII,I17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2647,299.3142799830392,50.169558280158356,1.0430003882951624
135,250203_ARMC5mAC_TotalPolII,I18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4281,298.6405104517714,49.495788748890504,1.0289930518380714
136,250203_ARMC5mAC_TotalPolII,I19,HCT116 OsTIRF74G,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1791,242.7616053051433,-6.383116397737581,-0.13270184369963925
137,250203_ARMC5mAC_TotalPolII,I20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2109,247.17723115058334,-1.9674905522975337,-0.040903158815033404
138,250203_ARMC5mAC_TotalPolII,I21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3263,245.84696592027854,-3.297755782602337,-0.06855871727132931
139,250203_ARMC5mAC_TotalPolII,I22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4377,242.72896792215883,-6.415753780722042,-0.1333803588050671
140,250203_ARMC5mAC_TotalPolII,J03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3937,248.40364540671283,-0.7410762961680462,-0.015406610924164853
141,250203_ARMC5mAC_TotalPolII,J04,HCT116 OsTIRF74G,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2256,247.52457172803344,-1.6201499748474362,-0.0336821194124522
142,250203_ARMC5mAC_TotalPolII,J05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1962,308.4408853516838,59.29616364880292,1.2327380154465999
143,250203_ARMC5mAC_TotalPolII,J06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4534,309.1392836691909,59.994561966310016,1.247257372230187
144,250203_ARMC5mAC_TotalPolII,J07,HCT116 OsTIRF74G,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1829,243.41256794753647,-5.732153755344399,-0.11916865122083971
145,250203_ARMC5mAC_TotalPolII,J08,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2675,245.69937200138148,-3.4453497014993957,-0.07162712209682125
146,250203_ARMC5mAC_TotalPolII,J09,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,4705,248.18013635659588,-0.9645853462849914,-0.02005325390949195
147,250203_ARMC5mAC_TotalPolII,J10,HCT116 OsTIRF74G,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2007,245.46272058805158,-3.6820011148292906,-0.07654698833553393
148,250203_ARMC5mAC_TotalPolII,J11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2306,311.8486896045092,62.703967901628346,1.3035845861714719
149,250203_ARMC5mAC_TotalPolII,J12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4484,308.04435314587437,58.899631442993496,1.2244943063367604
150,250203_ARMC5mAC_TotalPolII,J13,HCT116 OsTIRF74G,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2520,241.79349949420057,-7.351222208680298,-0.15282828633414414
151,250203_ARMC5mAC_TotalPolII,J14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2020,244.9673816056027,-4.177340097278176,-0.08684484163029264
152,250203_ARMC5mAC_TotalPolII,J15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3990,247.95333855571366,-1.1913831471672154,-0.02476826840221875
153,250203_ARMC5mAC_TotalPolII,J16,HCT116 OsTIRF74G,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1903,245.36395141638909,-3.780770286491787,-0.07860035073151735
154,250203_ARMC5mAC_TotalPolII,J17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2421,305.9488107834517,56.804089080570805,1.1809290135053854
155,250203_ARMC5mAC_TotalPolII,J18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3287,308.80874488481015,59.66402318192928,1.2403856338239898
156,250203_ARMC5mAC_TotalPolII,J19,HCT116 OsTIRF74G,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1728,242.32860362580942,-6.816118077071451,-0.14170373518841275
157,250203_ARMC5mAC_TotalPolII,J20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2357,245.59450601738376,-3.5502156854971076,-0.07380723421616245
158,250203_ARMC5mAC_TotalPolII,J21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3461,245.13539713600858,-4.009324566872294,-0.08335188156725262
159,250203_ARMC5mAC_TotalPolII,J22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4796,243.36736171232414,-5.777359990556732,-0.12010846656895438
160,250203_ARMC5mAC_TotalPolII,K03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3992,249.85493143487912,0.7102097319982477,0.014764910269065208
161,250203_ARMC5mAC_TotalPolII,K04,HCT116 OsTIRF74G,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1362,247.59468132184463,-1.55004038103624,-0.03222457551382047
162,250203_ARMC5mAC_TotalPolII,K05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2203,292.4249349625958,43.28021325971491,0.8997743010472766
163,250203_ARMC5mAC_TotalPolII,K06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4637,294.0380960105357,44.893374307654824,0.933311124114132
164,250203_ARMC5mAC_TotalPolII,K07,HCT116 OsTIRF74G,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,1583,243.67376534043083,-5.470956362450039,-0.11373848616558457
165,250203_ARMC5mAC_TotalPolII,K08,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2553,246.82517318060235,-2.3195485222785237,-0.04822227048315033
166,250203_ARMC5mAC_TotalPolII,K09,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4576,247.2057314041174,-1.9389902987634855,-0.04031065259170715
167,250203_ARMC5mAC_TotalPolII,K10,HCT116 OsTIRF74G,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2167,246.15098022516864,-2.993741477712234,-0.06223840971994577
168,250203_ARMC5mAC_TotalPolII,K11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2802,296.7676758259384,47.622954123057525,0.9900577430787562
169,250203_ARMC5mAC_TotalPolII,K12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4300,296.73468123405485,47.589959531173974,0.989371801776383
170,250203_ARMC5mAC_TotalPolII,K13,HCT116 OsTIRF74G,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,1696,243.00051538438058,-6.144206318500295,-0.12773502090999816
171,250203_ARMC5mAC_TotalPolII,K14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2113,244.35707966493558,-4.7876420379452895,-0.09953271816168396
172,250203_ARMC5mAC_TotalPolII,K15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4211,246.39434898931623,-2.7503727135646443,-0.05717889306868518
173,250203_ARMC5mAC_TotalPolII,K16,HCT116 OsTIRF74G,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2002,244.98860457277917,-4.1561171301017055,-0.08640362660339876
174,250203_ARMC5mAC_TotalPolII,K17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2564,293.7604158439945,44.615694141113636,0.9275382903190442
175,250203_ARMC5mAC_TotalPolII,K18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4379,302.1138560301363,52.969134327255404,1.1012021944158847
176,250203_ARMC5mAC_TotalPolII,K19,HCT116 OsTIRF74G,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2451,242.58332810186351,-6.5613936010173575,-0.1364081388837952
177,250203_ARMC5mAC_TotalPolII,K20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2122,244.95612059951742,-4.188601103363453,-0.08707895239630638
178,250203_ARMC5mAC_TotalPolII,K21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2981,248.38935366408126,-0.7553680387996167,-0.015703729209139625
179,250203_ARMC5mAC_TotalPolII,K22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4501,241.9772086728309,-7.1675130300499745,-0.14900906305984649
180,250203_ARMC5mAC_TotalPolII,L03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4647,248.80955346254171,-0.3351682403391578,-0.0069679825137349116
181,250203_ARMC5mAC_TotalPolII,L04,HCT116 OsTIRF74G,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1483,246.85000935024365,-2.2947123526372195,-0.04770593875794378
182,250203_ARMC5mAC_TotalPolII,L05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2169,288.0931898363306,38.94846813344975,0.809719454969888
183,250203_ARMC5mAC_TotalPolII,L06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3994,291.2713560163618,42.126634313480906,0.8757919633489389
184,250203_ARMC5mAC_TotalPolII,L07,HCT116 OsTIRF74G,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2339,243.8028251480562,-5.341896554824672,-0.11105539637805113
185,250203_ARMC5mAC_TotalPolII,L08,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2005,245.55772457326322,-3.5869971296176573,-0.07457190231002052
186,250203_ARMC5mAC_TotalPolII,L09,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,4025,245.90091336668675,-3.243808336194121,-0.06743717645095587
187,250203_ARMC5mAC_TotalPolII,L10,HCT116 OsTIRF74G,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1531,243.66106853107408,-5.483653171806793,-0.11400244657391134
188,250203_ARMC5mAC_TotalPolII,L11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1881,291.0107942392867,41.86607253640585,0.870375012433275
189,250203_ARMC5mAC_TotalPolII,L12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3611,295.4389869014942,46.294265198613346,0.9624349552443486
190,250203_ARMC5mAC_TotalPolII,L13,HCT116 OsTIRF74G,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1979,244.6991980875745,-4.445523615306371,-0.09242024478365059
191,250203_ARMC5mAC_TotalPolII,L14,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1716,247.08311105089575,-2.06161065198512,-0.04285986929616507
192,250203_ARMC5mAC_TotalPolII,L15,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,4713,246.6385668369937,-2.5061548658871686,-0.0521017243893477
193,250203_ARMC5mAC_TotalPolII,L16,HCT116 OsTIRF74G,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1821,244.9704500096811,-4.174271693199785,-0.08678105102190543
194,250203_ARMC5mAC_TotalPolII,L17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2075,289.35831832008756,40.21359661720669,0.8360208525710627
195,250203_ARMC5mAC_TotalPolII,L18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3460,298.8474837068347,49.70276200395381,1.0332959237946522
196,250203_ARMC5mAC_TotalPolII,L19,HCT116 OsTIRF74G,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1642,249.280627960422,0.13590625754113717,0.002825424106697975
197,250203_ARMC5mAC_TotalPolII,L20,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2025,245.44261765331717,-3.702104049563701,-0.07696491844001632
198,250203_ARMC5mAC_TotalPolII,L21,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,3416,244.9753974161883,-4.169324286692586,-0.08667819687917516
199,250203_ARMC5mAC_TotalPolII,L22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4716,243.04430480775952,-6.100416895121356,-0.12682466038155957
200,250203_ARMC5mAC_TotalPolII,M03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4229,250.08000908189882,0.9352873790179501,0.01944416361084628
201,250203_ARMC5mAC_TotalPolII,M04,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1122,262.7500842313513,13.605362528470437,0.282848780944984
202,250203_ARMC5mAC_TotalPolII,M05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2509,293.0124074809453,43.86768577806441,0.9119875651412042
203,250203_ARMC5mAC_TotalPolII,M06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3635,295.68962013917684,46.544898436295966,0.9676454967197762
207,250203_ARMC5mAC_TotalPolII,M10,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1467,244.87968731261324,-4.26503439026763,-0.08866796275742132
208,250203_ARMC5mAC_TotalPolII,M11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1663,290.68887380872417,41.544152105843295,0.8636824453550098
209,250203_ARMC5mAC_TotalPolII,M12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2932,294.23534988174333,45.09062817886246,0.937411934870994
213,250203_ARMC5mAC_TotalPolII,M16,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1528,244.9584037040335,-4.186317998847386,-0.08703148777874926
214,250203_ARMC5mAC_TotalPolII,M17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2599,292.49993810271843,43.35521639983756,0.9013335793617164
215,250203_ARMC5mAC_TotalPolII,M18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4007,301.63616429935973,52.49144259647886,1.0912712187851432
219,250203_ARMC5mAC_TotalPolII,M22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3742,243.09125830917216,-6.053463393708711,-0.12584852023036006
220,250203_ARMC5mAC_TotalPolII,N03,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,3684,252.4296360432068,3.2849143403259404,0.06829175001589209
221,250203_ARMC5mAC_TotalPolII,N04,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4300,249.2869134167112,0.14219171383032858,0.002956095644877167
222,250203_ARMC5mAC_TotalPolII,N05,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,4490,247.56617434317647,-1.5785473597044017,-0.032817221549370154
223,250203_ARMC5mAC_TotalPolII,N06,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3991,243.72499369306146,-5.4197280098194085,-0.11267347396461806
224,250203_ARMC5mAC_TotalPolII,N07,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,4347,245.97521010088644,-3.1695116019944294,-0.06589258396746996
225,250203_ARMC5mAC_TotalPolII,N08,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4131,245.66695019016822,-3.47777151271265,-0.07230115557138007
226,250203_ARMC5mAC_TotalPolII,N09,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,4051,246.59523105538779,-2.549490647493087,-0.05300265392892317
227,250203_ARMC5mAC_TotalPolII,N10,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3873,243.1391151816542,-6.005606521226667,-0.1248535994398953
228,250203_ARMC5mAC_TotalPolII,N11,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,4077,246.28731722698268,-2.8574044758981927,-0.05940403065212603
229,250203_ARMC5mAC_TotalPolII,N12,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3673,244.2849604111904,-4.859761291690461,-0.10103204189979072
230,250203_ARMC5mAC_TotalPolII,N13,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,3931,245.3948190354769,-3.7499026674039726,-0.07795862814519211
231,250203_ARMC5mAC_TotalPolII,N14,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4313,245.14012652564003,-4.004595177240844,-0.08325355988790963
232,250203_ARMC5mAC_TotalPolII,N15,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,2378,244.97849302972278,-4.166228673158088,-0.08661384059960692
233,250203_ARMC5mAC_TotalPolII,N16,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2791,245.85411319355958,-3.290608509321288,-0.06841012898267511
234,250203_ARMC5mAC_TotalPolII,N17,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,2062,244.87476680789845,-4.269954894982419,-0.08877025762514718
235,250203_ARMC5mAC_TotalPolII,N18,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3339,246.50833323077288,-2.6363884721079955,-0.05480921687112072
236,250203_ARMC5mAC_TotalPolII,N19,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,2815,245.88123016896972,-3.26349153391115,-0.0678463804297334
237,250203_ARMC5mAC_TotalPolII,N20,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3715,242.90581465248488,-6.238907050395994,-0.12970380244854549
238,250203_ARMC5mAC_TotalPolII,N21,HCT116 OsTIRF74G,No addition,No addition,0.0,No primary,Goat anti-mouse Alexa647,2797,246.16011786416217,-2.984603838718698,-0.06204844270917126
239,250203_ARMC5mAC_TotalPolII,N22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3383,245.70436049239396,-3.4403612104869126,-0.07152341382747647
0,250210_ARMC5mAC_PhosphoPolII,C03,HCT116 OsTIRF74G,Vehicle,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3671,277.9496083722829,13.205290520703215,0.2592392580888269
1,250210_ARMC5mAC_PhosphoPolII,C04,HCT116 OsTIRF74G,Vehicle,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1849,279.2019771205502,14.45765926897053,0.2838250969725263
2,250210_ARMC5mAC_PhosphoPolII,C05,HCT116 OsTIRF74G,Vehicle,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2679,281.0948985965144,16.35058074493469,0.3209859271928086
3,250210_ARMC5mAC_PhosphoPolII,C06,HCT116 OsTIRF74G,Vehicle,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2365,284.5946692173953,19.850351365815584,0.38969156739177346
