,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN_HRS
158,K05,426.9400851532453,311.1437480274959,724.7656879871972,1553.818225884634,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2063,250210_ARMC5mAC_PhosphoPolII,46.39943017591622,0.9108889982912923,308.60498193345256,0.8438568170497335,8.0,0.0
159,K06,465.3495765178883,331.9358423640124,768.699682714057,1394.2657004830917,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1242,250210_ARMC5mAC_PhosphoPolII,67.1915245124327,1.3190683640887206,347.01447329809554,0.9488846455844528,8.0,0.0
160,K07,440.33655747417,254.08531654800146,693.3373086185778,1521.9338009644894,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2281,250210_ARMC5mAC_PhosphoPolII,-10.659001303578236,-0.20925185898600826,322.0014542543772,0.8804884502191166,8.0,8.0
161,K08,464.085080431645,255.00993381358336,737.4552004620431,1371.146694214876,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1452,250210_ARMC5mAC_PhosphoPolII,-9.734384037996335,-0.19110026333805372,345.74997721185224,0.9454269773516722,8.0,8.0
162,K09,456.7307444958847,302.1068526031043,713.5765850053664,1510.037757437071,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1748,250210_ARMC5mAC_PhosphoPolII,37.362534751524606,0.7334814613974473,338.39564127609196,0.9253171059057104,8.0,0.0
163,K10,480.6100049578667,327.5068899649636,737.4652921805853,1343.219696969697,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1188,250210_ARMC5mAC_PhosphoPolII,62.7625721133839,1.2321215201521891,362.27490173807394,0.9906131247862316,8.0,0.0
164,K11,480.4545428173699,253.06951620286506,704.2529785248225,1435.9016282225236,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1474,250210_ARMC5mAC_PhosphoPolII,-11.674801648714634,-0.2291935124791047,362.1194395975771,0.9901880254043958,8.0,8.0
165,K12,476.5223174612416,259.7322922479829,744.2133206764282,1339.2826704545455,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1408,250210_ARMC5mAC_PhosphoPolII,-5.012025603596783,-0.0983934277675735,358.1872142414488,0.9794356546806458,8.0,8.0
176,L03,489.62360125586906,260.3885015732914,728.9024878714528,1554.8014464168311,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1521,250210_ARMC5mAC_PhosphoPolII,-4.355816278288273,-0.08551107441251164,371.2884980360763,1.0152601173090021,2.0,2.0
177,L04,441.5237433056409,265.7076201839976,749.3976034186337,1475.045020463847,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2199,250210_ARMC5mAC_PhosphoPolII,0.9633023324179248,0.018911040357630908,323.18864008584814,0.8837347194488454,2.0,2.0
178,L05,478.9227918598893,319.3324939520038,720.2217925410417,1502.9494826536823,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1643,250210_ARMC5mAC_PhosphoPolII,54.58817610042411,1.071646114147179,360.58768864009653,0.985999569082679,2.0,0.0
179,L06,462.6026706597919,338.0520540122994,767.3956266687319,1381.1366728509586,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1617,250210_ARMC5mAC_PhosphoPolII,73.30773616071968,1.4391385865143704,344.26756743999914,0.9413734407437988,2.0,0.0
180,L07,444.3495159581385,253.5737300931486,686.3806481321269,1570.273237997957,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1958,250210_ARMC5mAC_PhosphoPolII,-11.170587758431083,-0.21929505287079396,326.01441273834575,0.8914615795316065,2.0,2.0
181,L08,472.5279376081565,259.5931024644443,754.7570958476699,1372.8172194777699,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1417,250210_ARMC5mAC_PhosphoPolII,-5.15121538713538,-0.10112592775774933,354.19283438836374,0.9685133272191959,2.0,2.0
182,L09,456.12255791208304,308.74701672512504,692.0991559563203,1523.3615337796714,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1643,250210_ARMC5mAC_PhosphoPolII,44.00269887354534,0.8638376408303731,337.7874546922903,0.9236540660170999,2.0,0.0
183,L10,470.3631707121349,339.26341962319947,734.172153367571,1315.8170212765958,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1175,250210_ARMC5mAC_PhosphoPolII,74.51910177161977,1.4629194735574624,352.02806749234213,0.9625939370295542,2.0,0.0
184,L11,470.6763271578894,251.2353224150383,710.5922666733268,1451.7241379310344,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1392,250210_ARMC5mAC_PhosphoPolII,-13.508995436541397,-0.2652014318809433,352.3412239380966,0.9634502394777434,2.0,2.0
185,L12,458.6765570592158,254.48057142240955,752.502173036281,1351.4746666666667,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1875,250210_ARMC5mAC_PhosphoPolII,-10.26374642917014,-0.20149242497454886,340.341453839423,0.9306377821500815,2.0,2.0
198,M05,486.86376452146,325.0512971313982,703.7620473092704,1520.616234124793,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1811,250210_ARMC5mAC_PhosphoPolII,60.306979279818506,1.1839146243369327,368.5286613016672,1.0077135539719995,0.5,0.0
199,M06,460.30982558407123,338.10757632537604,738.0131347757342,1410.1319124423962,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1736,250210_ARMC5mAC_PhosphoPolII,73.36325847379635,1.440228571110075,341.9747223642785,0.9351038305273215,0.5,0.0
202,M09,475.3594131150008,315.4658925362817,708.9918637714563,1551.725677830941,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1881,250210_ARMC5mAC_PhosphoPolII,50.72157468470198,0.9957390463878221,357.02430989520803,0.9762557813227889,0.5,0.0
203,M10,463.4160052502075,336.84963803795506,726.9744236967113,1398.7318321392017,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1954,250210_ARMC5mAC_PhosphoPolII,72.10532018637537,1.4155333939883543,345.08090203041473,0.9435974422306334,0.5,0.0
216,N03,415.4316555156055,257.3445193662893,546.4113611707992,1780.9255247122546,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2954,250210_ARMC5mAC_PhosphoPolII,-7.3997984852903755,-0.1452689182662031,297.0965522958127,0.8123878927879931,24.0,0.0
218,N05,396.37095932428525,254.34910582857538,527.3423575967765,1699.4835333948906,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3249,250210_ARMC5mAC_PhosphoPolII,-10.39521202300432,-0.20407328777013425,278.0358561044925,0.7602678708817106,24.0,0.0
220,N07,396.2500222330061,253.62179140085638,539.7290890689435,1659.395281189399,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3094,250210_ARMC5mAC_PhosphoPolII,-11.122526450723313,-0.21835153877442426,277.91491901321336,0.7599371776172316,24.0,0.0
222,N09,399.02220120263513,251.85394999621593,520.2975799852336,1680.1609236234458,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2815,250210_ARMC5mAC_PhosphoPolII,-12.890367855363763,-0.25305686338952366,280.6870979828424,0.7675174898563508,24.0,0.0
224,N11,400.2994575363516,250.90611716005535,527.0325468080981,1610.4230140568814,HCT116 OsTIRF74G,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3059,250210_ARMC5mAC_PhosphoPolII,-13.83820069152435,-0.2716642148032064,281.96435431655885,0.7710100500139151,24.0,0.0
10,C13,215.75157868196555,208.60122300773742,256.46008677775797,1666.0774225774226,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4004,250505_ARMC5mAC_PhosphoPolII,-1.1817637167181942,-0.06065823511387397,101.00896483702891,0.7795468174778222,48.0,0.0
11,C14,235.05373682403263,206.03748571205364,259.1697502666021,1691.1845777233782,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4085,250505_ARMC5mAC_PhosphoPolII,-3.7455010124019736,-0.19225119016216116,120.31112297909598,0.9285131589741361,48.0,0.0
12,C15,229.31364653478795,205.17041789285776,249.89193840998257,1623.420087135978,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4361,250505_ARMC5mAC_PhosphoPolII,-4.612568831597855,-0.23675653661374763,114.57103268985131,0.8842134364273739,48.0,0.0
13,C16,235.50249942559702,205.01346162527736,258.948135930288,1666.7896715968914,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3989,250505_ARMC5mAC_PhosphoPolII,-4.769525099178253,-0.24481287651215577,120.75988558066038,0.9319765293632597,48.0,0.0
14,C17,228.35645685077682,205.6021443567245,250.82754722118017,1667.178586453513,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4754,250505_ARMC5mAC_PhosphoPolII,-4.180842367731117,-0.21459663698268222,113.61384300584018,0.876826229033482,48.0,0.0
15,C18,232.80056396197023,204.71522760868615,251.44449810857853,1757.223708366116,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3813,250505_ARMC5mAC_PhosphoPolII,-5.067759115769462,-0.26012080045788516,118.05795011703358,0.9111240714146105,48.0,0.0
16,C19,228.00713820182736,204.95398183008513,250.63670740003994,1675.225352112676,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4828,250505_ARMC5mAC_PhosphoPolII,-4.829004894370485,-0.24786588901393986,113.26452435689072,0.8741303273230391,48.0,0.0
17,C20,235.93837814542766,206.15915729857736,255.6657404561863,1742.5252939567952,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3657,250505_ARMC5mAC_PhosphoPolII,-3.623829425878256,-0.18600596228993527,121.19576430049102,0.9353404671028307,48.0,0.0
18,C21,235.11090849439148,206.55521056410896,255.01168215107361,1700.1267707082834,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4165,250505_ARMC5mAC_PhosphoPolII,-3.22777616034665,-0.1656771167192242,120.36829464945484,0.9289543870745334,48.0,0.0
19,C22,245.45786827101665,206.4109190214235,257.23885071063546,1688.7307533964595,HCT116 OsTIRF74G,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4858,250505_ARMC5mAC_PhosphoPolII,-3.3720677030321156,-0.17308339446945376,130.71525442608,1.0088080869659541,48.0,0.0
30,D13,244.61493254489153,228.36973004166606,275.83018736327693,1552.6159832385513,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3341,250505_ARMC5mAC_PhosphoPolII,18.58674331721045,0.9540308525189123,129.8723186999549,1.0023026459518878,0.5,0.0
31,D14,256.02011540815977,224.5513997200434,270.0577696280016,1693.9928857269897,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2249,250505_ARMC5mAC_PhosphoPolII,14.768412995587795,0.758041438463605,141.27750156322313,1.0903232886558119,0.5,0.0
34,D17,243.14572879031962,225.44512072642902,267.54105442909935,1539.1193559677984,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2857,250505_ARMC5mAC_PhosphoPolII,15.662134001973413,0.8039148547520105,128.40311494538298,0.9909639186126771,0.5,0.0
35,D18,255.70233943924424,223.55226611195852,274.1524872924144,1673.1469517743403,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2198,250505_ARMC5mAC_PhosphoPolII,13.769279387502905,0.706757344653642,140.9597255943076,1.0878708207423082,0.5,0.0
38,D21,244.16813107620203,225.5311017422488,271.57329380640914,1557.5779046339826,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2978,250505_ARMC5mAC_PhosphoPolII,15.748115017793197,0.80832813686513,129.4255172312654,0.9988544108024308,0.5,0.0
39,D22,259.58205808908605,223.37808443861002,272.0203083807572,1738.8171475010158,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2461,250505_ARMC5mAC_PhosphoPolII,13.595097714154406,0.6978168494048607,144.8394442441494,1.1178129385639612,0.5,0.0
50,E13,239.1504613633621,228.42529799192283,263.6978644907587,1565.683199169047,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3851,250505_ARMC5mAC_PhosphoPolII,18.64231126746722,0.9568830756357565,124.40784751842546,0.9601300415139208,2.0,0.0
51,E14,248.26198705307712,225.699774204995,267.14491344122564,1666.5680808080808,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2475,250505_ARMC5mAC_PhosphoPolII,15.916787480539398,0.8169858522423699,133.51937320814048,1.0304491549237527,2.0,0.0
52,E15,238.98607007896837,209.11490704218681,262.9516374726365,1526.3867403314916,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3620,250505_ARMC5mAC_PhosphoPolII,-0.6680796822687967,-0.034291571037906934,124.24345623403173,0.958861335287924,2.0,2.0
53,E16,253.54797190571614,208.68010575184096,270.35765607071414,1685.7624010004167,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2399,250505_ARMC5mAC_PhosphoPolII,-1.1028809726146562,-0.05660929709811919,138.8053580607795,1.071244273216066,2.0,2.0
54,E17,234.96812448408915,225.0385485463275,261.7629999289728,1567.377559607293,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3565,250505_ARMC5mAC_PhosphoPolII,15.25556182187188,0.7830460883967136,120.2255106391525,0.9278524371535783,2.0,0.0
55,E18,245.06142100928759,225.60167019369098,262.6785663262124,1670.4665611396913,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2527,250505_ARMC5mAC_PhosphoPolII,15.818683469235367,0.8119503141740497,130.31880716435094,1.0057484654593154,2.0,0.0
56,E19,237.06500691461756,208.51701127380272,254.8251563818022,1561.8026570716856,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3613,250505_ARMC5mAC_PhosphoPolII,-1.2659754506528884,-0.06498070252770115,122.32239306968091,0.9440353376315798,2.0,2.0
57,E20,256.34321169780685,207.83614340708638,264.921724108502,1602.4458536585366,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2050,250505_ARMC5mAC_PhosphoPolII,-1.946843317369229,-0.09992867271539149,141.6005978528702,1.0928168166781973,2.0,2.0
58,E21,234.41212434832005,227.84768463815766,259.660124310733,1551.4010585122023,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3401,250505_ARMC5mAC_PhosphoPolII,18.064697913702048,0.9272350113721993,119.6695105033834,0.9235614503381473,2.0,0.0
59,E22,251.486237332969,225.17426562163027,257.16962380428225,1692.429917550059,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2547,250505_ARMC5mAC_PhosphoPolII,15.391278897174658,0.7900122510451532,136.74362348803237,1.0553326298558738,2.0,0.0
70,F13,233.18212808621763,230.15733291784446,262.0032799226369,1548.114401076716,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3715,250505_ARMC5mAC_PhosphoPolII,20.374346193388845,1.0457859419834872,118.43951424128099,0.9140688308149338,8.0,0.0
71,F14,253.42264361783768,210.34686941874023,261.73678590766986,1637.5650630914827,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2536,250505_ARMC5mAC_PhosphoPolII,0.5638826942846151,0.02894328922328666,138.68002977290104,1.0702770395837522,8.0,8.0
72,F15,245.6035137857,211.0966804087964,266.9007053102923,1533.7797369994023,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3346,250505_ARMC5mAC_PhosphoPolII,1.313693684340791,0.06743001096162203,130.86089994076335,1.0099321208339826,8.0,8.0
73,F16,242.47466968270294,225.01332164020403,255.14698297953348,1662.4849424269264,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2258,250505_ARMC5mAC_PhosphoPolII,15.230334915748415,0.7817512275195476,127.7320558377663,0.9857849526414277,8.0,0.0
74,F17,227.68687011141648,225.7633111356843,254.30761956377464,1537.8723804406234,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3722,250505_ARMC5mAC_PhosphoPolII,15.980324411228679,0.8202471116850504,112.94425626647984,0.8716586262119316,8.0,0.0
75,F18,251.4677911061537,208.69057866884074,259.2654854016336,1626.2683421159302,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2467,250505_ARMC5mAC_PhosphoPolII,-1.092408055614868,-0.05607173730277752,136.72517726121706,1.0551902692502428,8.0,8.0
76,F19,231.43899713762312,210.4381826130947,261.1379036941118,1523.8923996584117,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3513,250505_ARMC5mAC_PhosphoPolII,0.6551958886390992,0.03363026440605408,116.69638329268648,0.9006160428805523,8.0,8.0
77,F20,245.08041258840572,227.4331081768722,265.2781581787034,1656.6076146076146,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2574,250505_ARMC5mAC_PhosphoPolII,17.650121452416585,0.9059553967541715,130.33779874346908,1.0058950348760431,8.0,0.0
78,F21,240.01058178979991,228.8165179882435,264.52991682323517,1502.797190201729,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2776,250505_ARMC5mAC_PhosphoPolII,19.033531263787893,0.976963836436206,125.26796794486327,0.9667681071763011,8.0,0.0
79,F22,263.18720723609454,210.0633108654257,261.6035505222537,1652.5350877192982,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2280,250505_ARMC5mAC_PhosphoPolII,0.2803241409700945,0.014388635740382563,148.4445933911579,1.1456360387077724,8.0,8.0
90,G13,217.30576479199576,225.8872655297158,242.82164799324565,1595.1621392190152,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4712,250505_ARMC5mAC_PhosphoPolII,16.10427880526018,0.8266095127895966,102.56315094705911,0.7915414046691378,24.0,0.0
91,G14,232.20473360501072,224.6830772008728,248.36189628333466,1746.3587935761848,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2553,250505_ARMC5mAC_PhosphoPolII,14.900090476417176,0.7648002545267115,117.46211976007407,0.9065256908721124,24.0,0.0
92,G15,231.85585614242342,208.56296938663738,245.35754312906542,1572.5126628964838,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4067,250505_ARMC5mAC_PhosphoPolII,-1.2200173378182342,-0.06262173857045927,117.11324229748678,0.9038331940616713,24.0,24.0
93,G16,242.757823514087,209.20108503383574,247.13748391629514,1766.3915662650602,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2656,250505_ARMC5mAC_PhosphoPolII,-0.5819016906198726,-0.0298681784382436,128.01520966915035,0.9879702207358808,24.0,24.0
94,G17,225.7849736701315,224.9065300557707,248.01962009180326,1566.185525560023,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3482,250505_ARMC5mAC_PhosphoPolII,15.12354333131509,0.7762697687938315,111.04235982519486,0.8569805496632985,24.0,0.0
95,G18,231.1131959125907,224.41319048167782,250.89621849419655,1694.7078095238096,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2625,250505_ARMC5mAC_PhosphoPolII,14.630203757222205,0.7509473566627433,116.37058206765406,0.8981016392480216,24.0,0.0
96,G19,232.48859504206126,208.94367328453183,245.8600088743554,1600.6083021223471,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3204,250505_ARMC5mAC_PhosphoPolII,-0.8393134399237852,-0.043080754005981804,117.74598119712462,0.9087164199842706,24.0,24.0
97,G20,248.44434790708516,210.30665256934319,248.46047235433787,1733.7868852459017,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2440,250505_ARMC5mAC_PhosphoPolII,0.5236658448875744,0.026879016076502716,133.70173406214852,1.0318565431056221,24.0,24.0
98,G21,225.25939769229447,229.0413057690732,250.29480629411412,1570.4522563767168,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3058,250505_ARMC5mAC_PhosphoPolII,19.258319044617593,0.9885018705350693,110.51678384735783,0.852924364338296,24.0,0.0
99,G22,244.06629840664147,230.00994645018488,247.0241709082565,1693.0548841893253,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1986,250505_ARMC5mAC_PhosphoPolII,20.226959725729273,1.0382208061772153,129.32368456170482,0.9980685069611303,24.0,0.0
110,H13,217.15896943574774,226.02665744864177,246.70856885951662,1590.7091981647368,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4577,250505_ARMC5mAC_PhosphoPolII,16.24367072418616,0.8337642998858419,102.4163555908111,0.7904084967835031,48.0,0.0
111,H14,224.7266033779347,226.2994449254191,254.48055208938075,1715.590119760479,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3340,250505_ARMC5mAC_PhosphoPolII,16.516458200963484,0.8477660894723681,109.98398953299807,0.8488124707771695,48.0,0.0
112,H15,235.18264050235993,209.31834549901407,247.8424592893352,1631.046801505174,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4252,250505_ARMC5mAC_PhosphoPolII,-0.4646412254415395,-0.023849367092349402,120.44002665742329,0.9295079860408559,48.0,48.0
113,H16,253.4252744371444,210.68323815291964,252.80404464857824,1742.0655149934812,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3068,250505_ARMC5mAC_PhosphoPolII,0.9002514284640313,0.04620861347902929,138.68266059220775,1.0702973431956269,48.0,48.0
114,H17,226.12066472231533,227.8493250477982,250.1289322362181,1565.0625942684767,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3978,250505_ARMC5mAC_PhosphoPolII,18.066338323342592,0.9273192112441802,111.37805087737868,0.8595712790288345,48.0,0.0
115,H18,234.05953493133146,227.33724360295554,252.49668635887224,1743.965011820331,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2115,250505_ARMC5mAC_PhosphoPolII,17.554256878499928,0.9010348057921505,119.31692108639481,0.9208403061472996,48.0,0.0
116,H19,236.57866404861636,210.00754125813805,252.36169347098476,1636.9435042309606,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4018,250505_ARMC5mAC_PhosphoPolII,0.22455453368243639,0.011526061857629081,121.83605020367972,0.9402819377823093,48.0,48.0
117,H20,248.92666621688284,210.26380565034327,250.8589894787732,1801.542879019908,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2612,250505_ARMC5mAC_PhosphoPolII,0.48081892588766095,0.024679745232564942,134.1840523719462,1.0355788830387231,48.0,48.0
