,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN_HRS
38,E03,492.43067638617083,329.0174887662829,741.0281764635135,1565.7151898734178,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2370,250210_ARMC5mAC_PhosphoPolII,64.2731709147032,1.2617767944462253,374.0955731663781,1.0229358504414852,24.0,0.0
39,E04,520.5572158044922,349.04494064826474,872.8594142215791,1378.2929092113982,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1509,250210_ARMC5mAC_PhosphoPolII,84.30062279668505,1.654945105219457,402.22211258469946,1.0998457301183036,24.0,0.0
40,E05,548.2785889094541,270.41320674351624,788.5459921986928,1535.3947498761763,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2019,250210_ARMC5mAC_PhosphoPolII,5.668888891936547,0.11128861937793721,429.9434856896614,1.175647713372241,24.0,24.0
41,E06,548.3743759246734,274.1236913862859,873.4860183201355,1395.4545454545455,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1617,250210_ARMC5mAC_PhosphoPolII,9.37937353470619,0.1841308854707217,430.0392727048806,1.1759096356693834,24.0,24.0
42,E07,512.3659939905754,325.3158485359053,791.0620293139106,1479.9216459977451,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1774,250210_ARMC5mAC_PhosphoPolII,60.57153068432558,1.1891081571655553,394.0308907707826,1.0774474579830509,24.0,0.0
43,E08,499.64404519848216,345.7119878064044,881.7972902143323,1402.7098646034817,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2068,250210_ARMC5mAC_PhosphoPolII,80.96766995482471,1.5895143431613037,381.3089419786894,1.0426602580256616,24.0,0.0
44,E09,517.9778973442315,271.4582212880331,795.6073454664385,1523.4171861086377,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2246,250210_ARMC5mAC_PhosphoPolII,6.713903436453393,0.1318037905351223,399.6427941244387,1.0927927802521131,24.0,24.0
45,E10,559.244898100198,274.3453917242912,870.3204564171224,1399.1568276684557,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1677,250210_ARMC5mAC_PhosphoPolII,9.601073872711481,0.1884831888942948,440.9097948804053,1.2056342505645665,24.0,24.0
46,E11,513.3661468292216,323.583512302614,791.8108274424999,1513.7721729490022,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1804,250210_ARMC5mAC_PhosphoPolII,58.8391944510343,1.1550998512388708,395.0310436094289,1.0801822997399648,24.0,0.0
47,E12,504.59173534702984,341.240311485684,869.3689326619523,1399.600894354388,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1789,250210_ARMC5mAC_PhosphoPolII,76.49599363410431,1.5017287658595784,386.2566321272371,1.0561893398776263,24.0,0.0
58,F03,555.5887857889797,338.26104213517175,733.6033832040872,1517.3591936469152,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1637,250210_ARMC5mAC_PhosphoPolII,73.51672428359205,1.4432413304742908,437.253682569187,1.1956368899309449,8.0,0.0
59,F04,498.7533294843453,349.87202199956374,842.7714377707528,1425.5136830102622,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1754,250210_ARMC5mAC_PhosphoPolII,85.12770414798405,1.6711819275410638,380.4182262645525,1.0402246637500325,8.0,0.0
60,F05,487.69785348942384,268.0389861635935,757.0820143055277,1537.2998819362456,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1694,250210_ARMC5mAC_PhosphoPolII,3.294668312013812,0.06467918047816981,369.3627502696311,1.0099943067234054,8.0,8.0
61,F06,514.2895460954252,269.33042770134466,879.3957807586926,1433.6088379705402,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1833,250210_ARMC5mAC_PhosphoPolII,4.586109849764966,0.09003207563688037,395.9544428756324,1.0827072646992557,8.0,8.0
