,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,EU_Intensity_BGS,EU_Intensity_FC
54,250128_ARMC5mAC_TotalPolII,E17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2523,40.4669543754905,1.1420805928199143
55,250128_ARMC5mAC_TotalPolII,E18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4333,31.308485080523553,0.8836052466235141
56,250128_ARMC5mAC_TotalPolII,E19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2306,43.709530766376076,1.233594363102795
57,250128_ARMC5mAC_TotalPolII,E20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2447,36.2061493355294,1.0218298148449814
58,250128_ARMC5mAC_TotalPolII,E21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,4143,29.401132439766286,0.8297748937271755
59,250128_ARMC5mAC_TotalPolII,E22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4837,26.08570956827066,0.736205210093663
60,250128_ARMC5mAC_TotalPolII,F03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3909,24.17759522005565,0.6823533598714614
61,250128_ARMC5mAC_TotalPolII,F04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1404,49.61785317596909,1.4003422803665186
62,250128_ARMC5mAC_TotalPolII,F05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2253,65.64412005291163,1.852644378658215
63,250128_ARMC5mAC_TotalPolII,F06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3864,33.78831191611715,0.9535922803944771
64,250128_ARMC5mAC_TotalPolII,F07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,1757,40.141870681596316,1.1329059024196002
65,250128_ARMC5mAC_TotalPolII,F08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2514,32.41911924816199,0.9149501735684192
66,250128_ARMC5mAC_TotalPolII,F09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4453,31.4553501056038,0.887750151954214
67,250128_ARMC5mAC_TotalPolII,F10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1793,47.142890302292074,1.3304925199978879
68,250128_ARMC5mAC_TotalPolII,F11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2683,33.26240928243993,0.9387499676752522
