WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2
N06,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N07,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N08,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N09,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N10,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N11,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N12,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N13,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N14,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N15,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N16,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N17,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N18,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N19,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N20,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N21,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N22,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
