,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,124.6570787869781,128.87948027349947,209.08838607177265,267.76643724573995,1881.277482631794,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2447,250523_mACmChPOLR2A_90min_IF
1,C04,124.80347317695644,130.69725242025834,214.08129774942776,286.5062092986383,1836.4032576505429,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2026,250523_mACmChPOLR2A_90min_IF
2,C05,124.4745048979743,129.32296126073365,209.69290947305092,268.29826386118486,1861.41627543036,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2556,250523_mACmChPOLR2A_90min_IF
3,C06,124.11711070025416,129.20633641315763,208.17439543483988,267.9146581757666,1785.3695454545455,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2200,250523_mACmChPOLR2A_90min_IF
4,C07,124.08360212768044,128.91650169985004,207.26864696116124,265.84375329636407,1765.753852739726,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2336,250523_mACmChPOLR2A_90min_IF
5,C08,123.99572641250555,128.3668562637917,205.96359584477528,257.68762415509406,1807.5874886672711,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2206,250523_mACmChPOLR2A_90min_IF
6,C09,124.29161865906585,129.46857045368034,208.37317014292591,267.8926602885298,1798.611526616806,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2273,250523_mACmChPOLR2A_90min_IF
7,C10,124.3368255124138,129.38714907533463,209.7405831014759,262.93187857749854,1706.2172631578946,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2375,250523_mACmChPOLR2A_90min_IF
8,C11,124.29522715349076,129.12568593994433,208.99716140150088,262.6153294066502,1784.559493670886,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,2370,250523_mACmChPOLR2A_90min_IF
9,C12,124.2446339733754,129.59904163885133,210.11324842780314,271.48569987266774,1732.222816399287,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK9,DAPI only,1683,250523_mACmChPOLR2A_90min_IF
