,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
0,D03,132.40292067758412,178.61801757664912,206.30689366931105,1669.2701475595914,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
1,D04,152.24580616958946,179.46391085386264,203.42930119029444,1652.108416547789,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
2,D05,149.83772412507844,179.44590068591734,204.70014303752458,1661.7174623937215,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
3,D06,162.94176593092558,180.74725554214373,193.87871003438212,1450.8790446841294,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
4,D07,146.68963155880988,197.7573168409915,210.4532165252368,1616.5221027479092,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
5,D08,145.44468366210734,199.58444049959607,194.6536950857433,1750.9817001180638,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
6,D09,156.61601662961235,219.90255808518094,202.78160239226543,1573.4147997284454,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
7,D10,152.1444736549984,177.19970237371703,213.26009180584091,1581.8963553530753,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
8,D11,151.01911394281316,180.9557946817614,206.15700176281013,1720.502471169687,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
9,D12,164.4519382749967,184.22734175512116,208.17633468969103,1563.8691255205235,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
10,D13,147.99266348932545,201.04029081160033,214.25959611628346,1720.2758620689656,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
11,D14,146.11818697202415,199.63489255527077,203.06692954306948,1731.828244274809,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
12,D15,156.84807886968912,217.95074673180437,212.53916038754542,1555.7824675324675,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
13,D16,154.09970419968806,176.80217708009945,198.92947981742543,1833.067462686567,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
14,D17,153.83134290493027,176.8692433547619,197.52617726260908,1803.8668779714737,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
15,D18,172.50941238654264,177.03674814380648,194.96791472092667,1664.7095318668923,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
16,D19,152.32214512123593,176.8310568718901,194.00634757860837,1818.7994100294986,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
17,D20,154.21315198192443,175.9566472084387,196.15959803684717,1805.6565906838455,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
18,D21,170.22552744687889,176.0014993391983,199.76881311766977,1668.7790189412335,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
