WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2
E22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
F03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120
F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120
F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120
F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120
F08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120
F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120
F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120
F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120
F12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120
F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120
F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120
F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120
F16,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120
F17,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120
F18,HCT116 mChPOLR2A Clone 2,Vehicle,120,Cycloheximide 50 µg/mL,120
F19,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120
F20,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120
F21,HCT116 mChPOLR2A Clone 2,Vehicle,120,Cycloheximide 50 µg/mL,120
F22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
G03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60
G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60
G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60
G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60
G08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60
G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60
G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60
G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60
G12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60
G13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60
G14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60
G15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60
G16,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60
G17,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60
G18,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60
G19,HCT116 mChPOLR2A Clone 2,Vehicle,60,Vehicle,60
G20,HCT116 mChPOLR2A Clone 2,Vehicle,60,Leptomycin 10 ng/mL,60
G21,HCT116 mChPOLR2A Clone 2,Vehicle,60,Cycloheximide 50 µg/mL,60
G22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
H03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30
H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30
H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30
H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30
H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30
H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30
H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Vehicle,30
H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Leptomycin 10 ng/mL,30
H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Cycloheximide 50 µg/mL,30
H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Vehicle,30
H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Leptomycin 10 ng/mL,30
H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Cycloheximide 50 µg/mL,30
H16,HCT116 mChPOLR2A Clone 2,Vehicle,30,Vehicle,30
H17,HCT116 mChPOLR2A Clone 2,Vehicle,30,Leptomycin 10 ng/mL,30
H18,HCT116 mChPOLR2A Clone 2,Vehicle,30,Cycloheximide 50 µg/mL,30
H19,HCT116 mChPOLR2A Clone 2,Vehicle,30,Vehicle,30
H20,HCT116 mChPOLR2A Clone 2,Vehicle,30,Leptomycin 10 ng/mL,30
H21,HCT116 mChPOLR2A Clone 2,Vehicle,30,Cycloheximide 50 µg/mL,30
H22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
I03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480
I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480
I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480
I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480
I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480
I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480
I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480
I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480
I12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480
I13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480
I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480
I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480
I16,HCT116 mChPOLR2A Clone 2,Vehicle,480,Vehicle,480
I17,HCT116 mChPOLR2A Clone 2,Vehicle,480,Leptomycin 10 ng/mL,480
I18,HCT116 mChPOLR2A Clone 2,Vehicle,480,Cycloheximide 50 µg/mL,480
I19,HCT116 mChPOLR2A Clone 2,Vehicle,480,Vehicle,480
I20,HCT116 mChPOLR2A Clone 2,Vehicle,480,Leptomycin 10 ng/mL,480
I21,HCT116 mChPOLR2A Clone 2,Vehicle,480,Cycloheximide 50 µg/mL,480
I22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
J03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240
J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240
J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240
J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240
J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240
J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240
J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240
J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240
