,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells
31,G06,780.4456667379569,386.76679833108597,616.7400098454419,5506.4555940023065,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2601
32,G07,708.8873572236625,373.0001643716375,633.1100366593761,5943.026243634939,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2553
33,G08,699.2429065049147,417.321943426525,410.93060181593677,5019.806201550387,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,387
34,G09,751.0517797532573,237.04509272562376,602.8681840385286,5455.691870629371,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2288
35,G10,644.933503464515,365.8712064108856,597.9287357839826,5397.805147058823,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2720
36,G11,771.0719585472511,362.96992854786015,624.315220427238,5136.489461358314,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2562
37,G12,382.7835070988113,289.07935504778385,348.5274648666355,3532.0,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,139
38,G13,675.3663311948923,362.02334093332877,593.8101363831016,5643.651957737725,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3218
39,G14,413.9553952922398,390.0644244323006,585.1381717066436,5545.89519650655,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2977
40,H05,665.9367234139606,398.46887179840115,596.6901028846395,5477.864297945205,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2336
41,H06,795.1950415838161,375.9823814841338,638.1344331835819,5659.869384934347,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2894
42,H07,515.181033653899,428.53222159193433,659.7937094007676,5579.23236632537,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3516
43,H08,756.6873701947217,235.3943634052839,641.8974075618398,4866.123275068997,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2174
44,H09,600.1891632157535,458.68838444697514,392.6084266954228,4430.628834355828,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,326
45,H10,535.0915714013577,241.57338138602802,582.1755836150514,5716.726537943422,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2227
46,H11,605.9994519125827,370.7660404958956,606.1831814023275,5266.364715513712,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2443
