,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT
0,C03,2171.251279781964,773.8257154883046,1043.0845165783583,1503.8214781058055,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,5047,251010_PTEFB_SIRNA
1,C04,2048.804295327934,740.7533201192244,1066.7047931666434,1488.1949016459253,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4982,251010_PTEFB_SIRNA
2,C05,2105.2312376436807,727.0042036203268,952.2020965874783,1511.9876592356688,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,5024,251010_PTEFB_SIRNA
3,C06,2048.7162525238073,703.1492214586897,1081.877085790832,1497.5152757842936,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4877,251010_PTEFB_SIRNA
4,C07,2076.9827986209866,697.7007576944593,1124.8338119841803,1570.8295531102629,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4453,251010_PTEFB_SIRNA
5,C08,2033.9082317570885,709.8527554809365,975.0197645427512,1482.582448537378,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4615,251010_PTEFB_SIRNA
6,C09,2091.5972633653982,685.6592478894255,948.7921873163162,1520.4905699916178,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4772,251010_PTEFB_SIRNA
7,C10,2051.428614444559,703.2710009534926,1014.3235740240764,1474.5754919150595,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,5133,251010_PTEFB_SIRNA
8,C11,2082.413252108089,681.2528530606467,999.2435427379189,1532.8275785745905,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4518,251010_PTEFB_SIRNA
9,C12,2103.7137139033107,689.3936550725116,1050.4076771063844,1486.193476044852,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4905,251010_PTEFB_SIRNA
10,C13,1991.7704068474275,681.4631405542835,919.5946589744594,1489.444131266358,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4967,251010_PTEFB_SIRNA
11,C14,2008.6102864006998,658.6820808751855,1015.5711709221916,1518.2560770156438,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4155,251010_PTEFB_SIRNA
12,C15,2128.3546625093186,674.6860169436454,956.8386860429075,1472.3634759594177,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,4534,251010_PTEFB_SIRNA
