,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
0,C03,130.1440426190279,166.90736138217528,340.31800983782813,481.21057497544814,1814.7418604651164,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,860,250324_mACmChPOLR2A_90min_IF
1,C04,129.47292730298187,165.29507203812514,342.04831883815746,478.8211907806829,1786.105633802817,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,568,250324_mACmChPOLR2A_90min_IF
2,C05,129.34133226628188,166.92132159737855,340.2824938967532,486.6183618330501,1770.0664206642066,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,813,250324_mACmChPOLR2A_90min_IF
3,C06,129.625931179735,168.10018759074316,337.0411166111206,503.62639480862276,1674.3586387434555,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,764,250324_mACmChPOLR2A_90min_IF
4,C07,129.42095968618983,166.35693112543393,331.1403449578738,476.54939056515485,1809.9293103448276,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1160,250324_mACmChPOLR2A_90min_IF
5,C08,129.30378816061446,164.83236703803433,324.5603180469818,480.5418816783025,1821.0275229357799,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,981,250324_mACmChPOLR2A_90min_IF
6,C09,129.34427663234945,164.28711681951913,331.35070434118694,458.3460698033686,1794.628910463862,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,927,250324_mACmChPOLR2A_90min_IF
7,C10,129.1386663085627,166.71662847661275,333.85934351098734,490.2826754723126,1718.2771739130435,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,920,250324_mACmChPOLR2A_90min_IF
8,C11,128.54289931719066,165.04262524093244,334.6837306184906,468.69254008826016,1720.5225048923678,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,1022,250324_mACmChPOLR2A_90min_IF
9,C12,128.46001055450662,166.38800359517236,341.44193502558704,486.4700345147339,1755.1582887700536,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,935,250324_mACmChPOLR2A_90min_IF
10,C13,127.12064457463602,165.28947891252153,335.5054441733807,471.86682902076194,1725.698644421272,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,959,250324_mACmChPOLR2A_90min_IF
11,C14,127.03063841967497,163.36838197870338,325.11856904848906,469.894725004585,1755.6818181818182,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,946,250324_mACmChPOLR2A_90min_IF
12,C15,127.2092685497207,164.34209892598525,328.8980916472141,465.5062979484293,1754.1188340807175,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,892,250324_mACmChPOLR2A_90min_IF
13,C16,127.08523550678045,162.9294408239216,329.7599730603948,464.85966560084984,1743.0850111856823,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,894,250324_mACmChPOLR2A_90min_IF
14,C17,128.1963885962369,163.9747890254122,335.6921610422815,475.7352403278137,1702.1028037383178,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,DAPI only,749,250324_mACmChPOLR2A_90min_IF
15,D03,381.831518375148,164.35736335040542,334.0210467168362,469.24857306316073,1697.5137067938022,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,839,250324_mACmChPOLR2A_90min_IF
16,D04,406.7166395689619,163.89645001588406,340.1116209651729,461.2755933586859,1588.4562937062938,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,572,250324_mACmChPOLR2A_90min_IF
17,D05,337.75942118728983,166.790322654086,226.4391596715177,461.13560863258215,1691.7421602787456,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,574,250324_mACmChPOLR2A_90min_IF
18,D06,402.3233841497925,164.39456587557507,333.5257787896736,467.26942941009884,1684.3369304556354,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,834,250324_mACmChPOLR2A_90min_IF
19,D07,342.3765031931828,168.35915008747816,225.12150677109483,494.0565001233635,1657.6517357222845,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,893,250324_mACmChPOLR2A_90min_IF
20,D08,381.8661853061513,163.24081916667797,329.13096119999074,465.80136882626306,1667.1997533908755,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,811,250324_mACmChPOLR2A_90min_IF
21,D09,327.5800752831093,165.54843750487336,222.82953232785957,476.1708605884161,1690.857908847185,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1119,250324_mACmChPOLR2A_90min_IF
22,D10,417.42865306364206,164.5029566467473,328.97112411934154,474.1524809354528,1596.9828393135726,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,641,250324_mACmChPOLR2A_90min_IF
23,D11,332.16499647568594,165.99147610388036,223.8609246616573,468.5647448423893,1674.7848258706467,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,804,250324_mACmChPOLR2A_90min_IF
24,D12,400.5485052884231,164.82650950141417,331.2317716129627,470.2399337397452,1789.2472527472528,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1092,250324_mACmChPOLR2A_90min_IF
25,D13,330.6905729864948,167.66821345684627,224.65952182335846,496.0292841346848,1702.1997991967871,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,996,250324_mACmChPOLR2A_90min_IF
26,D14,391.8633831140914,163.95056737871266,329.4179811169357,465.5205622540262,1673.1452095808384,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,668,250324_mACmChPOLR2A_90min_IF
27,D15,322.5040873879201,165.0972903551984,219.3964349872021,471.0243575510545,1565.6357340720222,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,722,250324_mACmChPOLR2A_90min_IF
28,D16,393.2193346613043,160.38378993041357,321.51328624328346,447.695279338265,1667.8245363766048,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,701,250324_mACmChPOLR2A_90min_IF
29,D17,129.81501502147344,168.06823645062934,346.65458781755996,503.31547524425275,1567.2583081570997,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-mouse Alexa647,662,250324_mACmChPOLR2A_90min_IF
30,E03,410.82678658241855,162.8629918558569,323.56503596127624,454.21849976664794,1840.3483033932137,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,CDK7,Goat anti-mouse Alexa647,1002,250324_mACmChPOLR2A_90min_IF
