,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
23,D06,625.8495265978596,236.9974647015301,234.39135986394126,554.6366346913102,1629.9894379479442,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2651,241102_mACmChPOLR2A_TotalPolII
24,D07,411.1209841703546,155.34680153407086,352.37698017278547,553.258295872508,1635.084175084175,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,297,241102_mACmChPOLR2A_TotalPolII
25,D08,660.7054639635588,218.94155484772966,250.73731385500284,569.2562753011457,1738.4044734389563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1073,241102_mACmChPOLR2A_TotalPolII
26,D09,644.4887408248013,241.53097859152817,233.91791247085777,552.07869832133,1614.7953431372548,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2448,241102_mACmChPOLR2A_TotalPolII
27,D10,754.9503493715113,160.04708064625183,823.6736795890642,585.6645814103257,1850.9491279069769,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,688,241102_mACmChPOLR2A_TotalPolII
28,D11,696.2639822689437,200.7303900683666,461.42905633804577,562.8570463121376,1690.8097967691506,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1919,241102_mACmChPOLR2A_TotalPolII
29,D12,642.3255478922065,240.23972349750588,232.7739723038368,549.4125144762271,1580.963684676705,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2258,241102_mACmChPOLR2A_TotalPolII
30,D13,398.5414890610024,154.25046676971098,342.692639786288,537.970428024157,1730.3720930232557,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,258,241102_mACmChPOLR2A_TotalPolII
31,D14,630.5215824637988,218.05033039233535,248.2729151445984,556.860560832713,1824.2635350318471,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1256,241102_mACmChPOLR2A_TotalPolII
32,D15,629.7908495069605,237.73168603391196,233.32460822412733,559.6511235736497,1565.245283018868,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1166,241102_mACmChPOLR2A_TotalPolII
