,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
25,D08,1208.7822738528805,425.647786200158,315.2086364544844,2054.184336198663,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2094,250912_mACPOLR2A_Kinetic_pSer2,D,08
26,D09,1324.6255377011819,439.6169270255648,317.1650048582261,2055.8841594827586,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1856,250912_mACPOLR2A_Kinetic_pSer2,D,09
27,D10,1353.469175710466,426.4014721123952,317.37944757099075,2012.14832793959,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1854,250912_mACPOLR2A_Kinetic_pSer2,D,10
28,D11,1344.335563402269,430.26700953242744,319.8193272002413,2036.8445419103314,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2052,250912_mACPOLR2A_Kinetic_pSer2,D,11
29,D12,1764.6462166912258,272.507710199085,313.28014174462396,1761.0110220440881,HCT116 OsTIRF74G,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1996,250912_mACPOLR2A_Kinetic_pSer2,D,12
30,D13,1410.4328033166767,276.9741052077842,310.27467321335166,1715.2393405343946,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1759,250912_mACPOLR2A_Kinetic_pSer2,D,13
31,D14,716.0286093655502,430.11834070565385,326.8911259180177,2171.3806078147613,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2073,250912_mACPOLR2A_Kinetic_pSer2,D,14
32,D15,750.1916086211891,434.42451471613214,324.0667178807851,2110.1179094964946,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1569,250912_mACPOLR2A_Kinetic_pSer2,D,15
33,D16,739.0924648841378,425.2110841876466,327.0039013148006,2062.4550468836183,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1813,250912_mACPOLR2A_Kinetic_pSer2,D,16
34,D17,731.0812681424835,432.5081654265951,331.3517485774086,2014.5436720142602,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1683,250912_mACPOLR2A_Kinetic_pSer2,D,17
35,D18,756.0210591763375,443.5765884728545,331.395701634861,1846.9203480589022,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1494,250912_mACPOLR2A_Kinetic_pSer2,D,18
36,D19,724.965345704397,423.12333912132016,320.1665569479837,2034.6512292738707,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1749,250912_mACPOLR2A_Kinetic_pSer2,D,19
37,D20,710.1490174321981,420.1620200642492,310.0216862756648,1917.2088495575222,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1695,250912_mACPOLR2A_Kinetic_pSer2,D,20
38,D21,745.8955821332808,424.0368894856973,323.1738486686915,1985.5911413969336,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1761,250912_mACPOLR2A_Kinetic_pSer2,D,21
39,D22,1436.8665396929473,267.82611916507835,327.9219980072308,1700.5741079597437,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2186,250912_mACPOLR2A_Kinetic_pSer2,D,22
40,E03,1774.161367954099,268.5531018833232,322.9230239410507,1589.7638676844783,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1965,250912_mACPOLR2A_Kinetic_pSer2,E,03
41,E04,1291.0114975335248,427.78924467690257,311.52364880049964,2002.8321428571428,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1960,250912_mACPOLR2A_Kinetic_pSer2,E,04
42,E05,1232.907939363345,423.62216433076804,316.25987735390476,2110.4805653710246,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1981,250912_mACPOLR2A_Kinetic_pSer2,E,05
43,E06,1398.1976584594936,453.09938969927595,310.59814384772375,2107.545240893067,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1702,250912_mACPOLR2A_Kinetic_pSer2,E,06
