WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK
E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
E22,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F03,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F04,HCT116 OsTIRF74G,5PhIAA,1000,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F15,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click
F16,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
F22,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click
